SNOMED conceptID;SNOMED term;Google translate vertaalde term;Thot vertaalde term medisch woordenboek;Matecat vertaling
68275008;Temporary suture of anus;Tijdelijke hechting van de anus;tijdelijke hechting van de anus;Tijdelijke hechting van de anus
68287001;Closed atrial septostomy;Gesloten atriale septostomie;gesloten atriale septostomie;Gesloten atriale septostomie
68688001;Curettage;curettage;curettage;Curettage
68795003;Micro cytotoxicity crossmatch;Micro cytotoxiciteit crossmatch;micro cytotoxiciteit crossmatch;Micro cytotoxiciteit crossmatch
68852009;Lithium therapy;lithium therapie;lithium therapie;lithium therapie
68966003;Intubation AND aspiration;Intubatie en aspiratie;intubatie en aspiratie;Intubatie en aspiratie
69130005;Stapedectomy;stapedectomie;stapedectomie;stapedectomie
69162008;Cleidotomy;Cleidotomy;cleidotomy;cleidotomie
69171004;Excision of radial head;Excisie van radiuskop;excisie van radiuskop;Excisie van radiuskop
69179002;Percutaneous arterial cutdown;Percutane arteri ë le cutdown;percutane arteri ë le cutdown;Percutane arteri ë le cutdown
69556006;Otonecrectomy of inner ear;Otonecrectomy van binnenoor;otonecrectomy van binnenoor;Otonecrectomy van binnenoor
69599001;Immunofixation electrophoresis;immunofixatie elektroforese;immunofixatie elektroforese;immunofixatie elektroforese
70031002;Oophorostomy;Oophorostomy;oophorostomy;Oophorostomy
70135008;Electroencephalogram during nonintracranial surgery;Elektro tijdens nonintracranial chirurgie;elektro tijdens nonintracranial chirurgie;Elektro tijdens nonintracranial chirurgie
70172002;Ileoanal anastomosis;ileoanale anastomose;ileoanale anastomose;ileoanale anastomose
70183006;Subcutaneous mastectomy;subcutane mastectomie;subcutane mastectomie;subcutane mastectomie
70627009;Myocardial resection;myocard resectie;myocard resectie;myocard resectie
70711006;Endoscopy of scrotum;Endoscopie van scrotum;endoscopie van scrotum;Endoscopie van scrotum
70878000;Electrocardiogram, rhythm;Elektrocardiogram , ritme;elektrocardiogram ritme;Elektrocardiogram , ritme
71130008;Thrombin titer;trombine titer;trombine titer;trombine titer
71192002;Peritoneal dialysis;peritoneale dialyse;peritoneale dialyse;Peritoneaaldialyse
71212008;Manipulation of adrenal gland;Manipulatie van bijnier;manipulatie van bijnier;Manipulatie van bijnier
71492005;Fenestration of cardiac valve;Fenestration van de hartklep;fenestration van de hartklep;Fenestration van de hartklep
71625005;Word association test;Woordassociatietest;woordassociatietest;Woordassociatietest
71658001;Esophagoscopy for biopsy;Oesofagoscopie voor biopsie;oesofagoscopie voor biopsie;Oesofagoscopie voor biopsie
71722001;Thalamotomy;thalamotomie;thalamotomie;thalamotomie
71827004;Choledochojejunostomy;choledochojejunostomie;choledochojejunostomie;choledochojejunostomie
71861002;Implantation;implantatie;implantatie;Implantatie
71937005;Physiatric manipulation;Physiatric manipulatie;physiatric manipulatie;Physiatric manipulatie
72091008;Myocutaneoosseous transplantation;Myocutaneoosseous transplantatie;myocutaneoosseous transplantatie;Myocutaneoosseous transplantatie
72193009;Cardiosplenopexy;Cardiosplenopexy;cardiosplenopexy;Cardiosplenopexy
72342005;Shave biopsy;Shave biopsie;shave biopsie;Shave biopsie
72397000;Ergonovine provocation test;Ergonovine provocatietest;ergonovine provocatietest;Ergonovine provocatietest
72577009;Excision of nipple;Excisie van tepel;excisie van tepel;Excisie van tepel
72657008;Intelligence test;intelligentietest;intelligentietest;intelligentietest
72791001;Laryngectomy;laryngectomie;laryngectomie;laringectomie
72971003;Gastrojejunostomy with vagotomy;Gastrojejunostomie met vagotomie;gastrojejunostomie met vagotomie;Gastrojejunostomie met vagotomie
73021008;Pyeloileocutaneous anastomosis;Pyeloileocutaneous anastomose;pyeloileocutaneous anastomose;Pyeloileocutaneous anastomose
73293008;Myotenoplasty;Myotenoplasty;myotenoplasty;Myotenoplasty
73570001;Dupuytren shoulder disarticulation;Dupuytren schouder exarticulatie;dupuytren schouder exarticulatie;Dupuytren schouder exarticulatie
73598003;Biofeedback, autogenic training;Biofeedback , autogene training;biofeedback , autogene training;Biofeedback , autogene training
73605004;Electrocardiogram with vectorcardiogram;Elektrocardiogram met vectorcardiogram;elektrocardiogram met vectorcardiogram;Elektrocardiogram met vectorcardiogram
73623007;Platelet morphology;bloedplaatjes morfologie;bloedplaatjes morfologie;bloedplaatjes morfologie
73632009;Laparoscopy;laparoscopie;laparoscopie;laparoscopie
73966002;Hemicystectomy;Hemicystectomy;hemicystectomy;hemicystectomie
74476001;Epidermal occlusion therapy;Epidermale occlusie therapie;epidermale occlusie therapie;Epidermale occlusie therapie
74508004;Vectorcardiogram;vectorcardiogram;vectorcardiogram;vectorcardiogram
74579006;Goniospasis;Goniospasis;goniospasis;Goniospasis
74596007;Resuscitation with artificial respiration;Reanimatie met kunstmatige beademing;reanimatie met kunstmatige beademing;Reanimatie met kunstmatige beademing
74854002;Cauterization of anus;Cauterisatie van de anus;cauterisatie van de anus;Cauterisatie van de anus
74878007;Bronchotracheal anastomosis;Bronchotracheal anastomose;bronchotracheal anastomose;Bronchotracheal anastomose
75014006;Pelvimetry;pelvimetrie;pelvimetrie;pelvigrafie
75404005;Epiploectomy;Epiploectomy;epiploectomy;Epiploectomy
75480003;Planning audit;planning audit;planning audit;planning audit
75513009;Recement bridge;recement brug;recement brug;recement brug
75626002;Pallidoamygdalotomy;Pallidoamygdalotomy;pallidoamygdalotomy;Pallidoamygdalotomy
75732000;Vitrectomy;vitrectomie;vitrectomie;Vitrectomie
75764007;Plasmid fingerprinting;plasmide fingerprinting;plasmide fingerprinting;plasmide fingerprinting
75905004;Sigmoidoproctostomy;Sigmoidoproctostomy;sigmoidoproctostomy;Sigmoidoproctostomy
76075007;Play therapy;speltherapie;speltherapie;speltherapie
76292006;Arthroplasty of carpals;Artroplastiek van carpals;artroplastiek van carpals;Artroplastiek van carpals
76334006;Immunotherapy;immunotherapie;immunotherapie;Immunotherapie
76601001;Intramuscular injection;intramusculaire injectie;intramusculaire injectie;Intramusculaire injectie .
76611008;Atherectomy by laser;Atherectomie door laser;atherectomie door laser;Atherectomie door laser
76735009;Diagnostic laparoscopy;diagnostische laparoscopie;diagnostische laparoscopie;diagnostische laparoscopie
76949005;Gonioscopy;gonioscopie;gonioscopie;gonioscopie
76967003;Ileopancreatostomy;Ileopancreatostomy;ileopancreatostomy;Ileopancreatostomy
76981001;Discogram;discogram;discogram;discogram
77257005;Leukopheresis;leukoferese;leukoferese;leukoferese
77343006;Angiography;angiografie;angiografie;Angiografie
77465005;Transplantation;Transplantatie;transplantatie;transplantatie
77539008;Pancreaticocystoduodenostomy;Pancreaticocystoduodenostomy;pancreaticocystoduodenostomy;Pancreaticocystoduodenostomy
77665000;Ventrohysteropexy;Ventrohysteropexy;ventrohysteropexy;Ventrohysteropexy
77697000;Cryothalamectomy;Cryothalamectomy;cryothalamectomy;Cryothalamectomy
77792003;Intralesional injection;intralesionale injectie;intralesionale injectie;intralesionale injectie
77914005;Aspiration of tendon sheath;Aspiratie van peesschede;aspiratie van peesschede;Aspiratie van peesschede
78002002;Contrast dacryocystogram;contrast dacryocystogram;contrast dacryocystogram;contrast dacryocystogram
78121007;Direct laryngoscopy;directe laryngoscopie;directe laryngoscopie;directe laryngoscopie
78285005;Pleuropexy;Pleuropexy;pleuropexy;Pleuropexy
78384007;Omentectomy;omentectomie;omentectomie;omentectomie
78432000;Intravenous anesthesia;intraveneuze anesthesie;intraveneuze anesthesie;intraveneuze anesthesie
78457005;Pyocin typing;Pyocin typering;pyocin typering;Pyocin typering
78545003;Tenotomy;tenotomie;tenotomie;tenotomie
78601005;Anesthesia for percutaneous liver biopsy;Anesthesie voor percutane leverbiopsie;anesthesie voor percutane leverbiopsie;Anesthesie voor percutane leverbiopsie
78611003;Z-plasty of epicanthus;Z - plasty van epicanthus;z - plasty van epicanthus;Z - plasty van epicanthus
78646006;Ileoentectropy;Ileoentectropy;ileoentectropy;Ileoentectropy
78699000;Radical amputation;radicale amputatie;radicale amputatie;radicale amputatie
78795004;Sign language training;Gebarentaal training;gebarentaal training;Gebarentaal training
79162009;Immunoglobulin typing;immunoglobuline typering;immunoglobuline typering;immunoglobuline typering
79170004;Ileoduodenotomy;Ileoduodenotomy;ileoduodenotomy;Ileoduodenotomy
79486002;Oversewing;Oversewing;oversewing;Oversewing
79548009;Mediate percussion;bemiddelen percussie;bemiddelen percussie;bemiddelen percussie
79572004;Choledocholithotripsy;Choledocholithotripsy;choledocholithotripsy;Choledocholithotripsy
79583008;Intubation for gastric decompression;Intubatie voor maag decompressie;intubatie voor maag decompressie;Intubatie voor maag decompressie
79648003;Anal cryptectomy;anale cryptectomy;anale cryptectomy;anale cryptectomy
79733001;Amputation above-knee;Amputatie boven de knie;amputatie boven de knie;Amputatie boven de knie
79950009;Lymphangiorrhaphy;Lymphangiorrhaphy;lymphangiorrhaphy;Lymphangiorrhaphy
80021004;Clavicotomy;Clavicotomy;clavicotomy;Clavicotomy
80099005;Manipulation of pituitary gland;Manipulatie van hypofyse;manipulatie van hypofyse;Manipulatie van hypofyse
80267006;Duodenoscopy;duodenoscopie;duodenoscopie;duodenoscopie
80329005;Platelet function test;Bloedplaatjes functietest;bloedplaatjes functietest;bepaling van de thrombocytenaggregatie
80332008;Phleborheography;Phleborheography;phleborheography;Phleborheography
80341003;Primary audit;Primaire audit;primaire audit;Primaire audit
80347004;Teleradiotherapy neutrons;Teleradiotherapy neutronen;teleradiotherapy neutronen;Teleradiotherapy neutronen
80677001;Fog inhalation therapy;Mist inhalatietherapie;mist inhalatietherapie;inhalatietherapie
80772001;Hepatogastrostomy;Hepatogastrostomy;hepatogastrostomy;Hepatogastrostomy
80803003;Resection of palate;Resectie van gehemelte;resectie van gehemelte;Resectie van gehemelte
80945002;Cystoproctostomy;Cystoproctostomy;cystoproctostomy;Cystoproctostomy
81188004;Transcatheter therapy;transcatheter therapie;transcatheter therapie;transcatheter therapie
81240005;Bunionectomy with arthrodesis;Bunionectomy met artrodese;bunionectomy met artrodese;Bunionectomy met artrodese
81288008;Lymphocyte transformation, phytomitogen;Lymfocyten transformatie , phytomitogen;lymfocyten transformatie , phytomitogen;Lymfocyten transformatie , phytomitogen
81375008;Physical assessment;lichamelijk onderzoek;lichamelijk onderzoek;lichamelijk onderzoek
81404005;Transcanal tympanolysis;Transcanal tympanolysis;transcanal tympanolysis;Transcanal tympanolysis
81516001;Partial nephrectomy;parti ë le nefrectomie;parti ë le nefrectomie;parti ë le nefrectomie
81633002;Intraperitoneal injection;intraperitoneale injectie;intraperitoneale injectie;intraperitoneale injectie
81723002;Amputation;Amputatie;amputatie;Amputatie
81849003;Pallidoansotomy;Pallidoansotomy;pallidoansotomy;Pallidoansotomy
81870009;Parotidectomy;parotidectomie;parotidectomie;parotidectomie
82124003;Active manipulation;actieve manipulatie;actieve manipulatie;actieve manipulatie
82254000;Refixation;Refixation;refixation;Refixation
82269004;Cauterization of fallopian tube;Cauterisatie van de eileider;cauterisatie van de eileider;Cauterisatie van de eileider
82461003;Red blood cell morphology;Rode bloedcel morfologie;rode bloedcel morfologie;Rode bloedcel morfologie
82463000;Vidianectomy;Vidianectomy;vidianectomy;Vidianectomy
82468009;Subgingival curettage;subgingivale curettage;subgingivale curettage;subgingivale curettage
82480001;Astragalectomy;Astragalectomy;astragalectomy;astragalectomie
82736000;Trabeculotomy;Trabeculotomy;trabeculotomy;Trabeculotomy
82941002;Nasopharyngoscopy;Nasopharyngoscopy;nasopharyngoscopy;Nasopharyngoscopy
83065008;Metacarpocarpal arthrodesis;Metacarpocarpal artrodese;metacarpocarpal artrodese;Metacarpocarpal artrodese
83101004;Laryngoesophagectomy;Laryngoesophagectomy;laryngoesophagectomy;Laryngoesophagectomy
83328003;Biopsy of umbilicus;Biopsie van navel;biopsie van navel;Biopsie van navel
83613005;Cardiopericardiopexy;Cardiopericardiopexy;cardiopericardiopexy;Cardiopericardiopexy
83868006;Iridocapsulectomy;Iridocapsulectomy;iridocapsulectomy;Iridocapsulectomy
83877004;Phlebogoniostomy;Phlebogoniostomy;phlebogoniostomy;Phlebogoniostomy
84041000;Bronchoscopy with bronchial dilation;Bronchoscopie met bronchiale dilatatie;bronchoscopie met bronchiale dilatatie;Bronchoscopie met bronchiale dilatatie
84146007;Schilling test;schillingtest;schillingtest;test van Shilling
84186004;Manipulation of urethra;Manipulatie van urethra;manipulatie van urethra;Manipulatie van urethra
84303004;Neurolysis;neurolyse;neurolyse;zenuwceldestructie
84510006;Temporary gastrostomy;tijdelijke gastrostomie;tijdelijke gastrostomie;tijdelijke gastrostomie
84728005;Neurological examination;neurologisch onderzoek;neurologisch onderzoek;neurologisch onderzoek
84848005;Endoscopy of tongue;Endoscopie van de tong;endoscopie van de tong;Endoscopie van de tong
84962002;Rhinocheiloplasty;Rhinocheiloplasty;rhinocheiloplasty;Rhinocheiloplasty
84985001;Biopsy of perineum;Biopsie van perineum;biopsie van perineum;Biopsie van perineum
85046002;Strapping of elbow;Strapping van de elleboog;strapping van de elleboog;Strapping van de elleboog
85419002;Orchidopexy;orchidopexie;orchidopexie;orchiopexie
85457002;Centrifugation;centrifugeren;centrifugeren;centrifugeren
85472003;Mesenteriopexy;Mesenteriopexy;mesenteriopexy;Mesenteriopexy
85509006;Complex uroflowmetry;complex uroflowmetrie;complex uroflowmetrie;complex uroflowmetrie
85548006;Episiotomy;episiotomie;episiotomie;Episiotomie
85732008;Radiculectomy;Radiculectomy;radiculectomy;Radiculectomy
86250007;Cineplastic amputation;Cineplastic amputatie;cineplastic amputatie;Cineplastic amputatie
86273004;Biopsy;biopsie;biopsie;Biopsie
86481000;Laparotomy;laparotomie;laparotomie;Laparotomie
86974000;Ischiopubiotomy;Ischiopubiotomy;ischiopubiotomy;ischiopubiotomie
87060004;Pallidotomy;pallidotomie;pallidotomie;pallidotomie
87150006;Enterostomy;enterostomie;enterostomie;enterostomie
87258008;Ureteropexy;Ureteropexy;ureteropexy;Ureteropexy
87338009;Tracheography;Tracheography;tracheography;Tracheography
87389009;Epiplorrhaphy;Epiplorrhaphy;epiplorrhaphy;Epiplorrhaphy
87529006;Membrane diffusion capacity;Membraan diffusie capaciteit;membraan diffusie capaciteit;Membraan diffusie capaciteit
87635003;Enteroentectropy;Enteroentectropy;enteroentectropy;Enteroentectropy
87677003;Resection of rectum;Resectie van rectum;resectie van rectum;Resectie van rectum
87879002;Cholangiocholangiostomy;Cholangiocholangiostomy;cholangiocholangiostomy;Cholangiocholangiostomy
88054001;Cardiotopometry;Cardiotopometry;cardiotopometry;cardiotopometrie
88058003;Perfusion;perfusie;perfusie;perfusie
88094004;Cryopreservation;cryopreservatie;cryopreservatie;cryopreservatie
88632002;Splenopexy;Splenopexy;splenopexy;splenopexie
88657007;Manipulation of seminal vesicle;Manipulatie van zaadblaasjes;manipulatie van zaadblaasjes;Manipulatie van zaadblaasjes
88786001;Operculectomy;operculectomy;operculectomy;operculectomy
88908007;Rectal massage for levator spasm;Rectale massage voor levator spasme;rectale massage voor levator spasme;Rectale massage voor levator spasme
88916003;Anoscopy;anoscopie;anoscopie;anoscopie
89053004;Vaginal cesarean section;Vaginale keizersnede;vaginale keizersnede;Vaginale keizersnede
89079008;Venotripsy;Venotripsy;venotripsy;Venotripsy
89770003;Anal sphincterotomy;anale sfincterotomie;anale sfincterotomie;anale sfincterotomie
89915007;Malleostapediopexy;Malleostapediopexy;malleostapediopexy;Malleostapediopexy
90102008;Social psychotherapy;sociale psychotherapie;sociale psychotherapie;sociale psychotherapie
90164007;Trabeculodialysis;Trabeculodialysis;trabeculodialysis;Trabeculodialysis
90278001;Secluding patient;secluding pati ë nt;secluding pati ë nt;secluding pati ë nt
90287005;Thalamectomy;Thalamectomy;thalamectomy;Thalamectomy
90470006;Prostatectomy;prostatectomie;prostatectomie;verwijdering van de prostaat
90976006;Endoscopy of jejunum;Endoscopie van jejunum;endoscopie van jejunum;Endoscopie van jejunum
91172002;Hypnodrama;Hypnodrama;hypnodrama;Hypnodrama
91402007;Salabrasion;Salabrasion;salabrasion;Salabrasion
91625001;Selective vagotomy;selectieve vagotomie;selectieve vagotomie;selectieve vagotomie
91644008;Neurectasis;Neurectasis;neurectasis;Neurectasis
91681007;Anesthesia for vulvectomy;Anesthesie voor vulvectomie;anesthesie voor vulvectomie;Anesthesie voor vulvectomie
103693007;Diagnostic procedure;diagnostische procedure;diagnostische procedure;diagnosticum
103715008;Removal of catheter;Verwijdering van katheter;verwijdering van katheter;Verwijdering van katheter
103723005;Angioscopy;angioscopie;angioscopie;angioscopie
103730004;Cryocardioplegia;Cryocardioplegia;cryocardioplegia;Cryocardioplegia
103744005;Administration of intravenous fluids;Toediening van intraveneuze vloeistoffen;toediening van intraveneuze vloeistoffen;Toediening van intraveneuze vloeistoffen
103747003;Tocolysis;tocolyse;tocolyse;tocolyse
103751001;Peripheral visual field examination;Perifere gezichtsveld onderzoek;perifere gezichtsveld onderzoek;Perifere gezichtsveld onderzoek
103752008;Perimetry;perimetrie;perimetrie;perimetrie
104145007;Hemoglobin electrophoresis;hemoglobine elektroforese;hemoglobine elektroforese;elektroforese van hemoglobine
104208006;Giemsa staining;Giemsa kleuring;giemsa kleuring;Giemsa kleuring
104209003;Gimenez staining;Gimenez kleuring;gimenez kleuring;Gimenez kleuring
104212000;Macchiavello staining;Macchiavello kleuring;macchiavello kleuring;Macchiavello kleuring
104214004;Wright staining;Wright kleuring;wright kleuring;Wright kleuring
104217006;Neisser staining;Neisser kleuring;neisser kleuring;Neisser kleuring
105380005;Cryoanalgesia;Cryoanalgesia;cryoanalgesia;Cryoanalgesia
107962005;Salivary gland manipulation;Speekselklier manipulatie;speekselklier manipulatie;Speekselklier manipulatie
108027000;Kidney manipulation;nier manipulatie;nier manipulatie;nier manipulatie
108049006;Penis manipulation;penis manipulatie;penis manipulatie;penis manipulatie
108055001;Prostate manipulation;prostaat manipulatie;prostaat manipulatie;prostaat manipulatie
108101003;Obstetrics incision;verloskunde incisie;verloskunde incisie;verloskunde incisie
108108009;Obstetrics manipulation;verloskunde manipulatie;verloskunde manipulatie;verloskunde manipulatie
108152001;Lens incision;lens incisie;lens incisie;lens incisie
108180004;Mediastinum excision;mediastinum excisie;mediastinum excisie;mediastinum excisie
108188006;Abdomen incision;buik incisie;buik incisie;buik incisie
112694000;Saucerization;Saucerization;saucerization;Saucerization
112700006;Aspiration of fascia;Aspiratie van fascia;aspiratie van fascia;Aspiratie van fascia
112719001;Xiphoidectomy;Xiphoidectomy;xiphoidectomy;Xiphoidectomy
112737000;Biopsy of radius AND ulna;Biopsie van radius en ulna;biopsie van radius en ulna;Biopsie van radius en ulna
112840007;Dermodesis;Dermodesis;dermodesis;Dermodesis
112884007;Cholecystoduodenostomy;Cholecystoduodenostomy;cholecystoduodenostomy;cholecystoduodenostomie
112947006;Splanchnicectomy;Splanchnicectomy;splanchnicectomy;splanchnicectomie
112963003;Aspiration of cataract;Aspiratie van cataract;aspiratie van cataract;Aspiratie van cataract
112976009;Excision of inner ear;Excisie van binnenoor;excisie van binnenoor;Excisie van binnenoor
113025000;Somnocinematography;Somnocinematography;somnocinematography;Somnocinematography
113068004;Capillary electrophoresis;capillaire elektroforese;capillaire elektroforese;Capillaire electroforese
113076002;Glucose tolerance test;Glucosetolerantietest;glucosetolerantietest;glucosetolerantieproef
115959002;Stereotactic radiosurgery;stereotactische radiochirurgie;stereotactische radiochirurgie;stereotactische radiochirurgie
116033007;Radical nephrectomy;radicale nefrectomie;radicale nefrectomie;radicale nefrectomie
116140006;Total hysterectomy;totale hysterectomie;totale hysterectomie;totale hysterectomie
116141005;Abdominal hysterectomy;abdominale hysterectomie;abdominale hysterectomie;abdominale hysterectomie
116142003;Radical hysterectomy;radicale hysterectomie;radicale hysterectomie;radicale hysterectomie
116143008;Total abdominal hysterectomy;Totale abdominale hysterectomie;totale abdominale hysterectomie;Totale abdominale hysterectomie
116165008;Bronchial sleeve resection with pulmonary resection;Bronchiale sleeve resectie met pulmonale resectie;bronchiale sleeve resectie met pulmonale resectie;Bronchiale sleeve resectie met pulmonale resectie
116234005;Open biopsy of mediastinum;Open biopsie van mediastinum;open biopsie van mediastinum;Open biopsie van mediastinum
116788004;Transfusion of albumin;Transfusie van albumine;transfusie van albumine;Transfusie van albumine
116865006;Administration of albumin;Toediening van albumine;toediening van albumine;Toediening van albumine
117259009;Microscopy;Microscopie;microscopie;Microscopie
118116005;Translocation analysis;translocatie analyse;translocatie analyse;translocatie analyse
118117001;Gene mutation analysis;Genmutatie analyse;genmutatie analyse;mutatie - analyse
118292001;Removal;Verwijdering;verwijdering;Afdoen
118442004;Drainage of abscess;Drainage van abces;drainage van abces;Drainage van abces
118443009;Drainage of abscess, complicated;Drainage van abces , gecompliceerd;drainage van abces , gecompliceerd;Drainage van abces , gecompliceerd
118446001;Percutaneous aspiration;percutane aspiratie;percutane aspiratie;percutane aspiratie
118627006;Marsupialization;marsupialisatie;marsupialisatie;marsupialisatie
118640001;Radioimmunotherapy;radioimmunotherapie;radioimmunotherapie;radioimmunotherapie
118659004;Tenosuspension;Tenosuspension;tenosuspension;Tenosuspension
119256007;Carinal resection;Carinal resectie;carinal resectie;Carinal resectie
119283008;Open biopsy;Open biopsie;open biopsie;Open biopsie
119284002;Biopsy of mediastinum;Biopsie van mediastinum;biopsie van mediastinum;Biopsie van mediastinum
119606006;Vertebral column transplantation;Wervelkolom transplantatie;wervelkolom transplantatie;Wervelkolom transplantatie
119608007;Pelvis incision;bekken incisie;bekken incisie;bekken incisie
119613006;Pelvis closure;bekken sluiting;bekken sluiting;bekken sluiting
119622007;Pelvis manipulation;bekken manipulatie;bekken manipulatie;bekken manipulatie
119628006;Shoulder implantation;schouder implantatie;schouder implantatie;schouder implantatie
119644002;Shoulder manipulation;schouder manipulatie;schouder manipulatie;schouder manipulatie
119645001;Wrist incision;pols incisie;pols incisie;pols incisie
119649007;Hand implantation;Hand implantatie;hand implantatie;Hand implantatie
119650007;Hand injection;Hand injectie;hand injectie;Hand injectie
119651006;Wrist injection;pols injectie;pols injectie;pols injectie
119654003;Hand reconstruction;Hand reconstructie;hand reconstructie;Hand reconstructie
119655002;Wrist reconstruction;pols reconstructie;pols reconstructie;pols reconstructie
119665008;Hand manipulation;Hand manipulatie;hand manipulatie;Hand manipulatie
119668005;Thigh implantation;dij implantatie;dij implantatie;dij implantatie
119671002;Thigh closure;dij sluiting;dij sluiting;dij sluiting
119672009;Thigh reconstruction;dij reconstructie;dij reconstructie;dij reconstructie
119683000;Thigh manipulation;dij manipulatie;dij manipulatie;dij manipulatie
119707005;Nose implantation;neus implantatie;neus implantatie;neus implantatie
119709008;Nose injection;neus injectie;neus injectie;neus injectie
119711004;Nose closure;neus sluiting;neus sluiting;neus sluiting
119720008;Nose manipulation;neus manipulatie;neus manipulatie;neus manipulatie
119733002;Bronchus implantation;bronchus implantatie;bronchus implantatie;bronchus implantatie
119735009;Bronchus injection;bronchus injectie;bronchus injectie;bronchus injectie
119736005;Bronchus closure;bronchus sluiting;bronchus sluiting;bronchus sluiting
119738006;Bronchus reconstruction;bronchus reconstructie;bronchus reconstructie;bronchus reconstructie
119739003;Trachea reconstruction;trachea reconstructie;trachea reconstructie;trachea reconstructie
119743004;Bronchus transplantation;bronchus transplantatie;bronchus transplantatie;bronchus transplantatie
119744005;Bronchus manipulation;bronchus manipulatie;bronchus manipulatie;bronchus manipulatie
119748008;Pleura implantation;pleura implantatie;pleura implantatie;pleura implantatie
119750000;Pleura injection;pleura injectie;pleura injectie;pleura injectie
119752008;Pleura closure;pleura sluiting;pleura sluiting;pleura sluiting
119754009;Pleura reconstruction;pleura reconstructie;pleura reconstructie;pleura reconstructie
119757002;Pleura transplantation;pleura transplantatie;pleura transplantatie;pleura transplantatie
119758007;Pleura manipulation;pleura manipulatie;pleura manipulatie;pleura manipulatie
119776000;Aorta closure;aorta sluiting;aorta sluiting;aorta sluiting
119777009;Aorta reconstruction;aorta reconstructie;aorta reconstructie;aorta reconstructie
119860000;Lip implantation;lip implantatie;lip implantatie;lip implantatie
119864009;Mouth reconstruction;mond reconstructie;mond reconstructie;mond reconstructie
119873001;Tongue closure;tong sluiting;tong sluiting;tong sluiting
119874007;Tongue reconstruction;tong reconstructie;tong reconstructie;tong reconstructie
119881000;Stomach implantation;maag implantatie;maag implantatie;maag implantatie
119882007;Stomach injection;maag injectie;maag injectie;maag injectie
119883002;Stomach closure;maag sluiting;maag sluiting;maag sluiting
119884008;Stomach reconstruction;maag reconstructie;maag reconstructie;maag reconstructie
119896001;Rectum implantation;rectum implantatie;rectum implantatie;rectum implantatie
119897005;Anus implantation;anus implantatie;anus implantatie;anus implantatie
119898000;Rectum injection;rectum injectie;rectum injectie;rectum injectie
119899008;Anus injection;anus injectie;anus injectie;anus injectie
119900003;Anus closure;anus sluiting;anus sluiting;anus sluiting
119901004;Rectum closure;rectum sluiting;rectum sluiting;rectum sluiting
119902006;Anus reconstruction;anus reconstructie;anus reconstructie;anus reconstructie
119903001;Rectum reconstruction;rectum reconstructie;rectum reconstructie;rectum reconstructie
119906009;Anus transplantation;anus transplantatie;anus transplantatie;anus transplantatie
119907000;Anus manipulation;anus manipulatie;anus manipulatie;anus manipulatie
119908005;Salivary gland implantation;Speekselklier implantatie;speekselklier implantatie;Speekselklier implantatie
119909002;Salivary gland closure;Speekselklier sluiting;speekselklier sluiting;Speekselklier sluiting
119910007;Salivary gland reconstruction;Speekselklier reconstructie;speekselklier reconstructie;Speekselklier reconstructie
119911006;Salivary gland transplantation;Speekselklier transplantatie;speekselklier transplantatie;Speekselklier transplantatie
119912004;Liver implantation;lever implantatie;lever implantatie;lever implantatie
119913009;Liver closure;lever sluiting;lever sluiting;lever sluiting
119914003;Liver reconstruction;lever reconstructie;lever reconstructie;lever reconstructie
119919008;Gallbladder implantation;galblaas implantatie;galblaas implantatie;galblaas implantatie
119921003;Gallbladder injection;galblaas injectie;galblaas injectie;galblaas injectie
119923000;Gallbladder endoscopy;galblaas endoscopie;galblaas endoscopie;galblaas endoscopie
119924006;Gallbladder closure;galblaas sluiting;galblaas sluiting;galblaas sluiting
119927004;Gallbladder reconstruction;galblaas reconstructie;galblaas reconstructie;galblaas reconstructie
119931005;Gallbladder transplantation;galblaas transplantatie;galblaas transplantatie;galblaas transplantatie
119933008;Gallbladder manipulation;galblaas manipulatie;galblaas manipulatie;galblaas manipulatie
119944000;Thyroid gland implantation;Schildklier implantatie;schildklier implantatie;Schildklier implantatie
119945004;Thyroid gland closure;Schildklier sluiting;schildklier sluiting;Schildklier sluiting
119946003;Thyroid gland reconstruction;Schildklier reconstructie;schildklier reconstructie;Schildklier reconstructie
119965006;Bone marrow incision;Beenmerg incisie;beenmerg incisie;Beenmerg incisie
119967003;Thymus implantation;thymus implantatie;thymus implantatie;thymus implantatie
119968008;Bone marrow implantation;Beenmerg implantatie;beenmerg implantatie;Beenmerg implantatie
119970004;Thymus injection;thymus injectie;thymus injectie;thymus injectie
119974008;Thymus closure;thymus sluiting;thymus sluiting;thymus sluiting
119976005;Thymus reconstruction;thymus reconstructie;thymus reconstructie;thymus reconstructie
119980000;Kidney implantation;nier implantatie;nier implantatie;nier implantatie
119981001;Kidney injection;nier injectie;nier injectie;nier injectie
119983003;Kidney reconstruction;nier reconstructie;nier reconstructie;nier reconstructie
119989004;Bladder implantation;blaas implantatie;blaas implantatie;blaas implantatie
119990008;Bladder injection;blaas injectie;blaas injectie;blaas injectie
119991007;Bladder closure;blaas sluiting;blaas sluiting;blaas sluiting
119993005;Urethra implantation;urethra implantatie;urethra implantatie;urethra implantatie
119994004;Urethra closure;urethra sluiting;urethra sluiting;urethra sluiting
119998001;Penis closure;penis sluiting;penis sluiting;penis sluiting
119999009;Prostate implantation;prostaat implantatie;prostaat implantatie;prostaat implantatie
