SNOMED conceptID;Matecat vertaling
21784000;Respiratory techniek onderwijs
21789005;Gas endarterectomie van de kransslagader
21795006;Endoscopische borstel biopsie van rectum
21796007;Directe laryngoscopie met verwijding
21805006;Verwijdering van salpingothecal shunt
21808008;ecologische cultuur
21810005;Uitsnijden van letsel van scrotum
21815000;Nasotracheobronchial katheter aspiratie
21820000;Open reductie van orbitale vloer klapband breuk door transantrale aanpak
21824009;Manipulatie van abdominale weefsel
21825005;diatermie
21830009;Verdoving voor de procedure in de lumbale regio
21831008;Incisie en verkenning van bronchus
21832001;Suture van scheuren van het membraan
21837007;Verkorting van endopelviene fascia
21841006;Thrombectomy met catheter van mesenterica door abdominale incisie
21849008;Triple klepvervanging
21862007;Gezichtsveld onderzoek en evaluatie , beperkt
21879001;Injectie van anestheticum in stellatum ganglion
21904006;Nefrostoma met buis drainage
21910006;Badkuip overdracht training
21911005;Biopsie van de lymfeklieren
21915001;Suture van fascia van de hand
21922009;Synchondrotomy van de schaambeenverbinding
21929000;Gesloten reductie van fractuur van het scheenbeen en kuitbeen
21935000;Sluiting van de fistel van cisterna chyli
21943005;Warmwaterbad hydrotherapie
21960000;Scheren van de patella
21965005;Verwijdering van retinale implantaat
21970003;Radiografie van de ribben
21991006;Belsey operatie , esofagogastrische sluitspier
22028008;injectie van de zenuw met medicatie
22031009;Porfyrine kwantitatieve meting , urine
22034001;Echografie van de prostaat , transrectale aanpak
22037008;Introductie van therapeutische substantie in de ader
22047006;Aspiratie van de huid
22048001;Anesthesie voor ruggenmerg procedure
22055004;Replantation van de penis
22057007;Diagnostische procedure op patella
22059005;Gecomputeriseerde tomografie , botdichtheid studie
22060000;Epiphysiodesis van de distale radius en ulna
22074007;Excisie van fistels van traanklier
22082007;Aneurysmectomy met anastomose van abdominale ader
22089003;Pulmonale ventilatie - perfusie studie van radioactieve zuurstof
22094003;lineaire proctotomy
22122007;Transplantatie van urethrale weefsel
22123002;Bediening op de lagere luchtwegen
22127001;Extractie van secundaire membraan door mechanische fragmentatie
22128006;stijgbeugel mobilisatie
22132000;Chemexfoliation van het gezicht
22144002;A ë rosol of damp inademing voor sputum inductie voor diagnostische doeleinden
22148004;Open biopsie van pleura
22156001;Anesthesie voor de procedure op de schouder
22174005;Angiectomy met anastomose van abdominale ader
22189001;methotrexaat meting
22206003;Toepassing van de dressing , afsluitende plastic
22210000;Artrodese van proximale tibiofibulare joint
22211001;Anesthesie voor een pati ë nt met een ernstige systemische ziekte
22213003;Reparatie van omgekeerde baarmoeder door de vaginale benadering
22216006;Sluiting van cholecystoduodenal fistel
22223007;Incisie en drainage van de laterale keelholte ruimte
22238008;Pulmonale stresstests
22241004;Transurethrale cryo - chirurgische verwijdering van de prostaat
22246009;Bunionectomy met weke delen correctie en artrodese
22260006;C1q vaste fase assay
22272000;Ganglionectomy van de zenuw
22276002;Thrombectomy van abdominale ader
22278001;Herziening van fenestratie operatie
22289008;Radiografie van bekken menti
22293002;Injectie van diafragma
22305001;Voorbereiding van de werklieden schadeclaim voor bedrijfspensioenvoorziening / industri ë le ziekte of aandoening
22324003;Jejunectomy , resectie van een deel of het geheel van jejunum
22326001;Fusie van eerste metatarsofalangeale gewricht voor hallux valgus reparatie
22327005;Patch sluiting van endocardiale kussen defect met de reparatie van mitralisklep gespleten
22328000;Reconstructie van het onderhuidse weefsel , zonder huidtransplantatie
22337000;Totaal ostectomy van thorax , ribben of borstbeen
22344009;Osteoclasis van ellepijp
22365003;Reparatie van gescheurde musculotendineuze manchet , acute
22369009;Platinum meting
22370005;Bloeddonor afwijzing , administratief
22394005;Bediening op klier Bartholin
22400007;Gecomputeriseerde tomografie , 3 - dimensionale reconstructie
22401006;Bottransplantatie neus
22411004;Verwijdering van vreemde lichaam van thorax
22415008;Gesloten vermindering van de breuk van fibula
22418005;Bilaterale eenvoudige mastectomie
22431000;Naald biopsie van hersenzenuw
22432007;interne hemorrhoidectomy
22446007;Diagnostische radiografie van de borst , minifilm
22456006;Hemovac pomp gebruik , zorg en aanpassing
22458007;epidurale venografie
22480005;intracrani ë le microdissectie
22489006;Manipulatie van weefsel van lippen
22491003;Fimbrioplasty
22494006;onmiddellijke percussie
22505000;Sekwesterectomie van fibula
22510001;Osteotomie van femurhals
22523008;Vasectomie
22529007;Verwijdering van vreemde lichaam van liesstreek
22530002;Artrografie van de heup met positieve contrast
22531003;Anesthesie voor kunststof reparatie van gespleten lip
22532005;Training in braille of Moon
22546005;Esophagogastroscopy door de stoma
22547001;Ligatie van de ader van het hoofd en de nek
22569008;Glucosemeetsysteem , serum
22588001;Craniocervicaal spinale fusie voor pseudoartrose
22595005;Transplantatie van weefsel van de slokdarm
22597002;Sluiting van de fistel van mediastinum
22600001;Creatie van arterioveneuze fistel met nonautogenous graft
22612002;Verwijdering van intracrani ë le neurostimulator elektroden
22615000;Body alignment onderwijs
22619006;Frommel operatie op uteriene ligamenten
22621001;Vervanging van subarachno ï dale / subdural katheter
22622008;Muscle omzetting
22623003;Reconstructie van het hoornvlies
22633006;Vaginale bevalling , medisch personeel aanwezig
22638002;Photochemotherapy met teer en vaseline
22642004;Bacteri ë le bacteriofaag typering
22644003;Low density lipoprotein meting
22647005;Reparatie van blepharoptosis door orbicularis oculi spier sling
22648000;Suture van de lumbale plexus
22656002;Sluiting van ureterorectal fistel
22665009;Verwijdering van interne fixatie - apparaat van vingerkootjes van de hand
22673000;Incisiebiopsie van de slokdarm
22677004;Autopsie , bruto onderzoek , onderwijs , beperkt
22699007;Gedeeltelijke salpingo - oophorectomy
22700008;Incisie en drainage van hematoom van de onderarm
22701007;Operation procedure op slagader van extremiteit
22705003;Nasale endoscopie met het verwijderen van vreemd lichaam
22709009;Vermindering van de breuk van het strottenhoofd
22714008;Antigen capture assay
22715009;Kidner samenwerking met pees overdracht
22733003;Chemotherapie voor niet - maligne neoplasma
22737002;blepharectomie
22748009;Gedeeltelijke uitsnijden van falanx van teen
22759000;Sociale dienst interview van familie
22760005;xeroradiografie
22761009;Perineogram
22766004;IL - 6 assay
22768003;Suture van het netvlies voor herbevestiging
22773009;Open curettage van de blaas
22778000;Venapunctie
22781005;cerclage
22783008;Bouw van anus naar aangeboren afwezigheid met de reparatie van urine fistels
22791004;X - ray van de lumbosacrale wervelkolom
22793001;Anterior spinale instrumentatie
22800003;Het verwijderen van trombus uit arterioveneuze shunt of canule
22815002;Verpleegkundige zorg kwaliteitsborging procedure
22820002;Cortisol meting , gratis , urine
22821003;Intermitterende mechanische tractie
22822005;Secundaire sluiting van amputatiestomp
22829001;Reparatie van vesicoperineal fistel
22833008;Afdeling aorta
22847007;Medische procedure op strottenhoofd
22849005;Lokale excisie van letsel of weefsel van opperarmbeen
22850005;Immunisatie autoimmuunziekte
22853007;Omzetting van de galwegen fistulous tract in darm
22855000;Elektrocauterisatie laesie van de slokdarm
22856004;Injectie van sympathiek
22860001;Gedeeltelijke submuceuze laryngectomie
22867003;Dilatatie van de vagina onder verdoving
22870004;Reparatie van de sinus van Valsalva fistel met cardiopulmonale bypass
22871000;Injectie van het voorste deel van het oog
22872007;Stimulatie van carotis sinus met ECG monitoring
22873002;pulmonale flebografie
22874008;trifluoperazine meting
22890008;Augmentation mammoplasty
22891007;Radiografie van de tanden
22895003;Aanpassing van het deksel positie
22900004;gecombineerde therapie
22901000;Diagnostische radiografie , survey
22914004;Ligatie van dermale aneurysma
22923001;Factor D complement assay
22928005;Ligatie van carotis interna
22948003;Radiologische onderzoek van de pols , achterwaartse en laterale uitzicht
22953008;Reparatie van het hart
22960002;Insnijden van fascial compartimenten van de nek
22977002;Strippen van het bot
22981002;- test Ortolani ' s
22982009;Ghormley verrichting voor hippe fusion
22989000;Vaccinatie voor geleedpotigen overgedragen virus
22997007;Reparatie van de slokdarm
22998002;Digitaal onderzoek van stoma stoma
23017004;Embolisatie van de slagader van de onderste ledematen
23025002;Maaglediging studie
23027005;Fysische geneeskunde dienst aan twee delen van het lichaam
23036009;Open reductie van fractuur van radius en ulna
23044009;Pati ë nt transfer naar geschoold verplegend faciliteit voor niveau 1 zorg
23049004;Gedeeltelijke excisie van proximale fibula
23051000;Sluiting van de stoma van de urineleider
23054008;Kaakholte endoscopie met het verwijderen van vreemd lichaam
23075000;Oprichting van vasculaire bypass
23084000;Herziening van exenteration van de holte van de baan
23093004;Microbi ë le identificatie , Minitek biochemische differentiatie disk methode
23102000;Anesthesie voor een pati ë nt met milde systemische ziekten
23112007;Reparatie van het netvlies voor retinale scheur of defect door xenon arc lichtcoagulatie
23121008;Vernietiging van letsel van het rectum door electrocoagulatie
23136006;Operatie op keelholte
23137002;Anesthesie voor niertransplantatie , ontvanger
23140002;LOOP electro excisie van baarmoederhals
23143000;Stolling of electrocoagulatie van binnenoor
23147004;Sekwesterectomie van het bot van de bovenarm
23162002;Elektro wakker en slaap met stimulatie
23163007;Injectie van de huid van de extremiteiten
23167008;Esophagotomy door thoracale benadering
23170007;Fosfofructokinase meting , erytrocyten
23175002;Insnijding van bursa
23183008;Excisie van lingual Torus
23197000;Air cultuur schimmel
23199002;Root amputatie , per wortel
23204008;Interne fixatie van carpaal of middenhandsbeentje
23210008;Ligatie van de schildklier slagader
23214004;Irrigatie van ureterale katheter
23225008;Gastro - intestinale eiwitverlies studie
23235002;Het enten van de oorschelp van het oor
23244001;Foetaal hemoglobine bepaling
23248003;Specimen collectie voor microbiologie , swab
23253008;Gesloten vermindering van de breuk van vingerkootjes van de voet met interne fixatie
23258004;Vervanging van laryngeale stent
23262005;Fasciocutaneous flap van de romp
23281002;Anastomose van cystic duct
23297007;Katalasereactie
23304006;Operatie op zaadleiders
23306008;Medische procedure op hematopoietische systeem
23316000;Periostale hechtdraad van schouderblad
23322009;Verwijdering van coronaire obstructie , percutane transluminale , verschillende vaartuigen
23325006;Reparatie van de pacemaker
23327003;Full - thickness graft aan lip en mond
23331009;Verwijdering van vreemde lichaam van de huid met een incisie
23338003;Excisie van diepe lymfeklieren
23341007;Reparatie van de slagader met synthetisch , dacron of teflon patch graft
23348001;Diepe snede met het openen van het bot cortex van opperarmbeen
23350009;Eenvoudige reparatie van wonden van het gezicht en oren
23352001;Arthrotomie pols
23363003;Omzetting van de dikke darm
23379002;Cyclotomy
23391006;Resectie van letsel van gehemelte , uitgebreid
23393009;Sekwesterectomie van de tibia
23394003;Radiografie van het borstbeen
23399008;vestibulaire revalidatie
23404005;Diathermie nasale turbinates
23405006;Schamroth - test
23411009;maxillary antrectomy
23419006;Intelligentietest / WB2
23425005;Amputatie van de arm door de elleboog
23426006;Meting van de ademhalingsfunctie
23445002;Sekwesterectomie van carpals of metacarpals
23454004;Anesthesie voor intraperitoneale procedure in bovenbuik
23457006;Chiropractie vibratietherapie
23461000;Diagnostische radiografie , posteroanterior ( PA )
23463002;gentamicine meting
23473000;Ziekenhuisopname , voor onderzoek onderzoek
23476008;Vernietiging van letsel van borstwand
23478009;Intra - abdominale manipulatie van dunne darm
23479001;hogedrukvloeistofchromatografie
23481004;Gas - vloeistofchromatografie , magnetron plasmatype
23491005;Vervanging van Nefrostoma buis
23500003;Bunionectomy met osteotomie van de eerste middenvoetsbeentje
23516001;Alfa - n - acetylglucosaminidase meting , fibroblasten
23518000;Decompressie van craniale ganglion
23523000;Correctie van Clawfinger
23529001;Kwik meting , bloed
23541008;Argon laserfotocoagulatie
23567003;biotinidase meting
23572007;Transmission botdichtheid studie
23575009;Lokale vernietiging van eierstok
23576005;Plant identificatieprocedure
23580000;Hemisectie van de tand
23598001;Discission van glasvocht strengen door posterieure benadering
23617000;Reparatie van gescheurde aneurysma van de abdominale aorta met graft
23619002;Child apperceptie - test
23625003;Aneurysmectomy met anastomose van thoracale slagader
23638006;Elektrocardiogram met maximale inspanningstest
23648008;Restauratie , kroon , hars met hoge edelmetaal
23650000;Cast post en kern in aanvulling op de brug retainer
23656006;Insnijding van de mond
23673008;Excisie van de tumor van de enkel gebied , diep , subfascial
23676000;Gedeeltelijke excisie van hypofyse door transsfenoidale aanpak
23683007;Medische procedure op peritoneum
23690002;Heimlich manoeuvre
23719005;Transplantatie van beenmerg
23724008;Verpletterende van gehoorzenuw
23726005;gedeeltelijke thymectomie
23738001;Echografie van het spijsverteringsstelsel
23739009;Aangeboren ruggenmerg ziekte revalidatie
23745001;In kaart brengen van de pati ë nt informatie
23748004;Thrombectomy oplopende aorta
23763001;Tubo - ovari ë le lysis van verklevingen
23770001;Sluiting van uteroureteric fistel
23779000;Crystal identificatie , urine
23796004;IL - 7 assay
23797008;Esophagojejunostomy
23799006;Injectie van contrastmiddelen voor radiografie door de katheter , niet - selectieve
23804001;Incisie en drainage van diepe hematoom van de knie regio
23805000;Curettage van het ooglid
23818008;Scannen of beeldvorming , perfusie studie , gasvormige
23823008;Avulsion van de zenuw
23828004;Immunodiffusie , kwalitatieve door Ouchterlony techniek
23835007;Elektroconvulsietherapie
23846005;Radiografie van zacht weefsel van de dij
23852006;hartbewaking
23864003;Oesofagoscopie voor biopsie en verzamelen van specimen door borstelen of wassen
23881007;Uitsnijden van letsel van de gezamenlijke van de wervelkolom
23897002;Open reductie van breuk van de baan
23908002;Sluiting van pleuropericardial fistel
23915005;In combinatie alcohol en drugs rehabilitatie en ontgifting ( regime / therapie ) ( procedure )
23918007;Anamnese , eigen beheer , door de computer terminal
23928003;Costochondrectomy
23931002;Echografie van het hoofd en de nek
23933004;Excisie van lingual frenum
23941004;Open reductie van gesloten radiale breuk
23943001;Open reductie van het borstbeen fractuur
23953000;Transplantatie van de slagader van het hoofd en de nek
23965001;Uitsnijding van de knie vet pad
23968004;Colectomie
23970008;Uitbreiding van atriumseptumdefect in de reparatie van de totale abnormale pulmonale veneuze verbinding
23976002;Reconstructie van de neus , in totaal met arm flap
23979009;pleurectomy
23984003;Passing van inferieure vena cava
23999003;Implantatie van tempo - gevoelige cardiale single - kamer - apparaat
24026006;Intra - abdominale veneuze shunt
24044003;Beenmerg aspiratie procedure , anterior bekkenkam
24046001;Ethyleen glycol meting
24050008;Post - cardiale revalidatie training
24053005;Heterofiele scherm antilichaam
24058001;Echocardiografie voor het bepalen van posterieure linker ventrikel wanddikte
24068006;Hysterectomie voor het verwijderen van mola hydatidosa
24088005;Coronaire atherectomie
24093008;Correctie van ingetrokken tepels
24103002;Endoscopie van de huid van het hoofd
24105009;Reparatie van blepharoptosis door andere levator spier techniek
24112000;Operatieve procedure op de pols
24132004;Resectie van hartzakje voor chronische constrictieve pericarditis
24135002;Echografie van het gehele lichaam
24138000;Totaal ostectomy van femur
24139008;Endoscopie van de urineblaas
24165007;alcoholisme begeleiding
24168009;Fijne naald aspiratie biopsie van pouch Rathke ' s
24172008;crisisinterventie
24173003;implantaat van Davis
24177002;Vervanging van contactlenzen
24191008;Toepassing van de vinger spalk , dynamische
24198002;Herziening van gewrichtsvervangende
24200008;Calculus analyse , kwantitatieve r ö ntgendiffractie
24204004;Vervanging van vaginale verpakking
24205003;Urinezuur meting , urine
24214008;Bepalend histochemie voor chemische stoffen
24218006;Onderhoud van persoonlijke bezittingen pati ë nt
24221008;Reparatie van rectovesical fistel met een stoma
24222001;Direct reparatie van slagader van de nek
24223006;Uitsnijden van letsel van lymfe structuur
24229005;Oesofagoscopie voor het verwijderen van polypoid laesie
24242005;Cobalt - 60 - therapie
24247004;euglobulinestolsel - lysistijd
24252009;Porfyrine meting , in totaal , plasma
24260005;Reparatie van de breuk met osteotomie en correctie van aanpassing aan intramedullaire staaf
24262002;Thrombectomy met catheter van polsslagader door arm incisie
24263007;Neurolyse van tarsale tunnel
24265000;Operatie op anus
24267008;Radiografie van de bovenste ledematen zacht weefsel
24274003;Decompressie van pees of peesschede
24277005;Inhalatie - anesthesie , machine - systeem , gesloten , circulatie van de primaire middel
24278000;fragmentatie procedure
24293001;Excision van cervicale stomp door abdominale benadering
24298005;Vermindering van batwing armen
24312009;Reparatie van scheuring van grote vaten
24322003;Onmiddellijke isogeneic transplantatie , kadaver donor
24323008;Herziening stapedectomie met aambeeld vervanging door homograft of prothese
24324002;Reparatie van properitoneal hernia
24349003;Vernietiging van letsel van buikwand of navel
24355008;Thromboendarterectomy van de kransslagader door open kist aanpak
24365002;Percutane aspiratie van de lever
24376003;Extracorporele schokgolf lithotripsy van de nier
24394009;Percutane ballon valvuloplasty van het hart
24395005;Controleer pacemaker voor golfvorm artefact
24396006;Uitsnijden van de tumor uit voorarm , diepe , intramusculaire
24401005;Radicale resectie van de tumor van zacht weefsel van de vinger
24420007;Sigmo ï doscopie
24426001;Arseen meten , maag
24429008;Herziening van Nefrostoma
24431004;Esophagoduodenostomy met volledige gastrectomie
24433001;Vermindering van gesloten grotere knobbel breuk met manipulatie
24437000;Excisie van palmar fascia
24442008;Fulguration laesie van de slokdarm
24443003;totale thyreo ï dectomie
24447002;Laag sluiting van de wonden van het gezicht en oren
24452007;Verwijdering van bloedstolsel uit urineblaas door incisie
24456005;Injectie van zacht weefsel
24459003;Strapping van de vinger
24462000;trocar cholecystotomy
24464004;Operatieve procedure op femur
24468001;Profylactische behandeling van humerus met methylmethacrylaat
24469009;Het verzamelen van routine urinemonster voor laboratorium
24475000;Restauratie , inlay , metaal , twee oppervlakken
24485004;Trochanterplasty
24496007;hemorrhoidectomy
24502001;Verandering in het bot lengte van de fibula
24506003;Esophagogastrectomy
24509005;Ureum stikstof meting
24512008;Speciale chemische test , te verklaren door het verslag
24518007;Sluiting van laryngotracheale fistel
24519004;Vrije radicalen assay techniek meting
24524001;Uitsnijden van appendix van de bijbal
24530001;Het maken van de pati ë nt bed
24538008;Profylactische behandeling van femur met methylmethacrylaat
24580007;Immuun complex assay , Raji cel
24587005;Beeldanalyse
24592007;Serologische test voor Ehrlichia sennetsu
24593002;plasmine assay
24598006;Artroplastiek van metacarpofalangeale en interfalangeale gewricht
24599003;Pulmonale arteri ë le druk toezicht
24600000;Insnijding van anus
24602008;Embolectomie met catheter van femoropopliteale slagader door been incisie
24611008;Suture van scheuren van het strottenhoofd
24619005;Skin schrapen voor het onderzoek
24621000;Interpretatie van de resultaten van de psychiatrische onderzoeken en data
24622007;Sluiting van sigmoidovaginal fistel
24623002;screening mammografie
24625009;#NAAM?
24633005;Verwijdering van vreemde lichaam van fascia van de hand
24636002;Sluiting van colovaginal fistel
24641005;Aspiratie van de spier
24642003;Psychiatrie procedure of dienst
24643008;Circulerende remmermeting , factor IX
24644002;Leukocyten migratie factor assay
24646000;Abdominale aortography , translumbale met serialography
24670001;Transplantatie van conjunctiva voor pterygium
24677003;Sluiting van cervicovesical fistel
24683000;opname meting
24689001;CT leidraad voor de planning van de behandeling , teletherapie
24698003;Thermocauterization voor de vernietiging van laesie van huig
24711004;Gedeeltelijke substernale thyroidectomy
24714007;Microbi ë le groei , de snelle
24715008;Splenoportogram door milt arteriografie
24717000;Restauratie , hars , drie of meer oppervlakken , posterior , permanente
24719002;Excision been decubitus met lokale huidflap
24723005;Operatieve procedure op de perifere zenuwen
24727006;Temperatuurgradi ë nt studies
24728001;Insnijding van myocard
24737001;Echografie van scrotum en inhoud
24742009;Sluiting van de fistel van middenoor
24753003;Geslachtshormoon bindende globuline meting
24755005;Open vermindering van de ontwrichting van de hand
24759004;Anesthesie voor de procedure op de lagere achterste buikwand
24788003;Biopsie van de schildklier
24792005;Choledochotomy met het verwijderen van tandsteen met cholecystotomy
24799001;Bicarbonaat belastingtest
24806008;Anesthesie bij keizersnede hysterectomie
24808009;Total body ijzer met chelatable radioiron studie
24831009;Intestinale alkalische fosfatase meting
24832002;Gesloten vermindering van mandibulafracturen
24846002;overlapping
24848001;Pelvic echografie
24855004;Anesthesie voor volledige amputatie van de penis
24856003;Diagnostische radiografie van stuitbeen
24870003;Uitbreiding van de onderkaak ridge
24878005;intersex chirurgie
24882007;Medische raadpleging over ziekenhuis opname
24883002;Biliopancreatic bypass naar de dunne darm met gedeeltelijke gastrectomie
24892004;Antineuronal nucleaire antilichaam - type I meting
24893009;Verwijdering van pessarium vanuit de vagina
24899008;Infectie controle cultuur ' s nachts
24902006;Sluiting van intestinovaginal fistel
24906009;Incisie en drainage van puisten en cysten
24909002;Vermindering van gesloten schouder dislocatie met manipulatie vereisen anesthesie
24910007;Anesthesie voor biopsie van het sleutelbeen
24914003;Bouw van canthorrhaphy met de omzetting van de tarsale plaat
24933008;Decompressie van het hart
24955000;Verwijdering van mechanische nier
24959006;Vervanging van de afvoer van de vulva
24968008;Endoscopie van de huid van de extremiteiten
24977001;Topical chemotherapie voor kwaadaardige gezwellen
24985005;Gezichtsveld onderzoek en evaluatie , verlengd
24993005;Ureterolysis met het vrijmaken en herpositionering van de urineleider
24994004;Implantatie van cineplastic prothese van de bovenarm
24998001;Radionuclide ablatie van de schildklier
25017002;Tracheostomie , spoedprocedure door cricothyroid membraan aanpak
25019004;Herpositioneren van de iris
25022002;Sluiting van enteroenteric fistel
25025000;Restauratie , inlay , composiet / kunsthars , drie vlakken , laboratorium verwerkt
25028003;Dermatologie overleg en verslag , uitgebreide
25039000;Tenectomy van oog , meerdere , twee of meer pezen
25041004;Orchiopexy , elk type , met hernia
25048005;Cingulumotomy van de hersenen door percutane radiofrequente
25051003;Uitneembare prothetische procedure
25060006;Gesloten vermindering van de nasale fractuur
25073005;Handmatige vermindering van verzakte stoma
25084003;Therapeutische ruggenprik
25092007;Anesthesie voor de procedure op de neus
25096005;Fosfatidylglycerol meting , semi - kwantitatieve , vruchtwater
25101005;Verwijdering van therapeutische inrichting
25104002;haloperidol meting
25117004;Incisie en verkenning van de bijnier
25119001;Reparatie van het bloedvat met synthetisch , dacron of teflon patch graft
25131004;Wig osteotomie van de calcaneus
25140000;Herziening van fenestratie van binnenoor
25150004;Excision laesie van de zenuw
25156005;Intraveneuze voeding van de pati ë nt
25164004;Ketonlichamen meting , kwantitatieve
25168001;Uitsnijding van de tatoeage van de huid
25179006;bloedinzameling
25184000;Herziening van de stoma van bronchus
25187007;Incisie en drainage van omental abces
25196007;Proctectomy door abdominoperineale resectie met een stoma , twee fasen
25197003;natrium meting
25212003;Heropening van blepharorrhaphy
25219007;Antilichaam nucleaire matrix meting
25228008;kalmerend vullen
25232002;Reconstructie van de duim met teen
25236004;Vervanging van tricuspidalisklep
25240008;Cerebral ventriculotomy
25261001;Het inbrengen van nasale septum prothese
25263003;Enten van hart voor revascularisatie
25267002;Het inbrengen van intracardiale pacemaker
25269004;Enten van de huid , gratis duim voor pollicization
25276009;Wig osteotomie van de tibia
25279002;Verwijdering van Abrams bar van borstwand
25284008;Kooldioxide meting , parti ë le
25290007;Restauratie , inlay , composite / hars , twee oppervlakken , laboratorium verwerkt
25291006;Dissectie van orbitale vezelachtige bands
25296001;Levering door Scanzoni manoeuvre
25302008;Biopsie van iris
25303003;Reparatie van aneurysma door occlusie
25304009;hypochondrische hernioplasty
25306006;Diepe veneuze thermografie
25314000;Diepe snede met het openen van het bot cortex van de onderarm
25316003;Vernietiging van letsel van het hoornvlies
25321000;thoracoscopic pneumonectomy
25325009;Dental alveoplasty
25328006;Creatie van arteri ë le bypass graft met nonautogenous
25340006;Neutrofielen band count
25344002;Fimbriectomy van de eileider
25347009;Venografie van de onderste extremiteiten , bilaterale
25353009;craniotomie
25355002;Verlenging van het bot met bottransplantatie
25381003;Ligatie slagader
25383000;IL - 1 alfa assay
25387004;Wig resectie van de huid
25389001;vochtbeperking
25392002;Reparatie van omphalocele met gefaseerde sluiting van de prothese
25405009;Drainage van postzygomatic ruimte
25406005;Radicale excisie van bursa van synovia van flexoren van de pols
25410008;Chirurgische occlusie van de onderste ledematen slagader
25411007;Hysterogram
25429002;Vernietiging door neurolytic agent van de nervus vagus , infraorbitale
25431006;Voorschrijven , montage en revisie van de contactlens
25433009;Arrestatie van botgroei van ellepijp
25434003;parti ë le controle
25444001;Vernietiging van letsel van choroidea door diathermie
25450006;Vlek , zuurfosfatase , bloed of beenmerg
25459007;Coated deeltje agglutinatietest remmingstest
25460002;Excisie van overtollige slijmvlies van perineum
25461003;Planning van de behandeling voor chemotherapie , voor primaire
25464006;Tromboplastine generatie test , Hicks - Pitney modificatie
25466008;Anastomose van de urineblaas
25469001;Anion gap meting
25473003;Gedeeltelijke uitsnijding van de vagina
25477002;Insnijding van fibula
25485006;Verkenning van slagader van de onderste ledematen
25514001;digoxine meting
25517008;Warm genieten van een extremiteit
25521001;Versoepeling van litteken contractuur van de huid
25522008;Sekwesterectomie van patella
25528007;Microbi ë le identificatie kit , Enterotube II methode
25547005;Endoscopische procedure op de milt
25558001;Verwijdering van een trombus uit thoracale ader
25570002;Endoscopie van de neus
25576008;Anesthesie voor totale heup revisie
25578009;HIV - 1 passieve hemagglutinatie assay
25579001;Zuurstof meting , parti ë le druk , arteri ë le
25600005;Ventriculaire shunt tot cervicale subarachno ï dale ruimte
25605000;Gesloten vermindering van gescheiden epiphysis van opperarmbeen
25621005;Dagelijkse volledige psychiatrische zorg van klinische
25627009;Diagnostische procedure op papillaire spier van het hart
25630002;testis imaging
25639001;Malar vergroting met been
25643002;Cryoglobulin meting , type I
25645009;Endoscopie van perineum
25652006;alpha - L - iduronidase meting
25653001;Gedeeltelijke ostectomy van femur
25656009;Lichamelijk onderzoek , compleet
25662004;Elliptische excisie van huidlaesie
25663009;Diagnostische procedure op hersenzenuw ganglion
25675004;Pati ë nt transfer naar geschoold verplegend faciliteit ( SNF )
25676003;Bouw van kunstvagina
25679005;Cardiolysis
25696006;VDRL , kwalitatieve
25697002;Renine , lage inname van zout meten , rechtop , 4 uur
25704007;Antigen capture EIA - test
25713009;Reinsertion van interne fixatie apparaat
25732003;Glasvezel coloscopie met biopsie
25736000;Excisie van coarctatio aorta met end - to - end anastomose
25737009;Kern naald biopsie van eierstok
25741008;Speciale audiometrische functietest
25757008;Excisie van de huid van het hoofd en de nek
25759006;Radionuclide scanning voor hot spot
25760001;Angiografie van cervicocerebral slagaders
25769000;Verwijdering van interne fixatie apparaat patella
25775009;Maagsap analyse , vrij en totaal zuur meting
25777001;Verdeling van ligament van de pols
25789004;lumbosacrale artrodese
25798001;Subcutane injectie vulmateriaal
25799009;Uitsnijden van letsel van perivesicaal weefsel
25806002;Insnijding van de wenkbrauw
25811000;Bilaterale compleet salpingectomy
25814008;Enten van radius en ulna
25827007;Reparatie van macrodactyly
25828002;Mid tangverlossing met episiotomie
25830000;Open reductie van gesloten acromioclaviculaire dislocatie , acute
25839004;Filtratiesnelheid meting
25846008;Cystourethroscopy interne mannelijke urethrotomy
25850001;Echografie van de thorax
25852009;Chirurgische sluiting van de buidel
25853004;Herbevestiging van de choroidea en het netvlies door laserfotocoagulatie
25855006;neurologische revalidatie
25871006;Cricothyroidectomy
25877005;Etenstijd bijstand
25884002;immuno
25891004;Uitsnijden van segment van de urineleider voor ureteral vernauwing
25901006;Tandverplaatsing voor parodontale doeleinden
25902004;individuele oefeningen
25918005;Cystourethroscopy met biopsie van blaas
25925003;Concentratie voor eicellen en cysten
25927006;Insnijding van thoracale slagader
25928001;Fysische geneeskunde eerste onderzoek voor prothetische programma
25935009;Cauterisatie van het gehemelte
25936005;Ureterolithotomy , middelste een derde van de urineleider
25953003;Colostoma beheer en onderhoud
25975001;Sekwesterectomie van schouderblad
25983007;Sluiting van de fistel van de vagina
25986004;Ziekenhuisopname , onder voorlopige hechtenis
25988003;Verandering van dressing , grote
26004008;Systemische onderkoeling in een open hartoperatie
26007001;Hemi - uitsnijding
26040005;Excisiebiopt van bursa
26046004;Hart - en stress - test met de fiets ergometer
26047008;Aspirine tolerantietest
26050006;Suture van oude verloskundige scheuren van de vagina
26052003;mangaan meting
26054002;Incisie en drainage van diepe abces van zachte weefsels van de thorax
26055001;Opgewekte stimulus reactie testen
26058004;Thoracoscopy met biopsie
26059007;Injectie van binnenoor voor de vernietiging
