SNOMED conceptID;Thot vertaalde term medisch woordenboek
103718005;stentverwijdering
103719002;vervanging stentplaatsing
103720008;gestegen
103721007;manueel optrekking
103722000;instrumental optrekking
103723005;angioscopie
103724004;destructieve verrichting huid using laserchirurgie
103725003;netvlies laser resurfacing huid
103726002;microvascular decompressie chirurgie van de craniale zenuwen
103727006;nervus vestibularis keizersnede
103729009;middenoorprothese plaatsing
103730004;cryocardioplegia
103734008;uitwendige camera medische photography
103735009;palliatieve zorg -
103736005;anamnese met lichamelijke symptomen en onderzoek atletiek participation
103737001;anamnese met lichamelijke symptomen en onderzoek pre werk
103738006;anamnese met lichamelijke symptomen en onderzoek , immigration
103739003;anamnese met lichamelijke symptomen en onderzoek beroepen
103740001;periodieke lichamelijk onderzoek
103741002;diafanoscopie
103742009;renewal van medicatie
103743004;zichzelf toediening antibioticatherapie thuis
103744005;toediening van intraveneuze vloeistoffen
103745006;opnames , intraorale
103746007;heparine - therapie
103747003;tocolyse
103748008;klonen nao
103749000;#NAAM?
103750000;slaap onderzoek
103751001;perifere gezichtsveld onderzoek
103752008;perimetrie
103753003;computertomogram perimetrie
103754009;prescribing van de zonnebrillen
103755005;druk en fistel
103759004;metamyelocytentelling bloed
103760009;monsters gezwel -
103761008;monsters droge gewichts -
103762001;monsters volume
103763006;monsters volume voor , maximale urine subduraal
103764000;laboratorium , reporting - service comment
103766003;evocative en onderdrukking test panel
103768002;choriongonadotropine stimulatie panel , testosteron respons
103769005;choriongonadotropine stimulatie panel , oestradiol respons
103770006;niervene renine stimulatie panel
103771005;perifere vena renine stimulatie panel
103774002;glucagontolerantietest
103798009;chromogenic substraat spiegel
103799001;protrombinedefici fractuurdeel 1 , 2 - assay
103800002;stollingsfactor
103801003;factor viii - assay , xa activation methoden
103802005;kallikrein test
103803000;lupus anticoagulans , trombocyten neutralization methoden
103804006;factor v anticoagulans
103805007;factor anticoagulans
103806008;factor x anticoagulans
103807004;factor xi anticoagulans
103808009;defici anticoagulans
103810006;geactiveerde eiwit c anticoagulans
103811005;fibrinogeen antigeen test , immunologisch
103812003;soluble fibrine spiegel
103813008;fibrine afgesplitste producten semi - quantitative
103814002;fibrineafbraakproducten kwantitatief
103815001;fibrinogeen scherven spiegel
103816000;fibrine scherven spiegel
103817009;fibrine monomer test
103818004;fibrinopeptide spiegel
103819007;fibrinopeptides - assay
103820001;fibrinopeptides b - assay
103821002;fibrinopeptide b è ta - 1 14 - assay
103822009;fibrinopeptide b è ta - 1 42 - assay
103823004;fibrinopeptide b è ta 810976 - 42 - assay
103824005;fibrinopeptide b è ta - 43 - 47 - assay
103825006;fibrine d dimeer , knie - quantitative
103826007;fibrine d dimeer kwantitatief
103827003;alfa - 2 - antiplasmin antigeen test
103828008;urokinase type plasminogen eiwitactivatordefici spiegel
103829000;plasminogen eiwitactivatordefici remmers antigeen test
103830005;plasminogen eiwitactivatordefici remmers 1 spiegel
103831009;plasminogen eiwitactivatordefici remmers 1 antigeen test
103832002;plasminogen eiwitactivatordefici remmers ii spiegel
103833007;plasminogen eiwitactivatordefici remmers 2 antigeen test
103834001;tpa - pai complex
103835000;weefsel plasminogen eiwitactivatordefici spiegel
103836004;weefsel plasminogen eiwitactivatordefici activiteit spiegel
103837008;weefsel plasminogen eiwitactivatordefici antigeen test
103838003;unfractionated heparine spiegel
103839006;verlaagd moleculaire gewicht heparine spiegel
103840008;heparine neutralization test
103841007;aggregatie met calcium ionophore test
103842000;aggregatie met noradrenaline test
103843005;aggregatie , met ristocetin test
103844004;aggregatie met arachidonaat test
103845003;aggregatie met maligne carcino ï d -
103846002;plaatjes factor iii test
103847006;plaatjes factor - 4
103848001;bloedplaatjes antistof igg -
103850009;bloedplaatjes geassocieerd antistof igm -
103851008;heparine geassocieerd trombocytopenie spiegel
103852001;russell ' s viper venom time
103853006;trombinetijd
103854000;tromboglobuline -
103855004;thrombomodulin -
103857007;heparine cofactor ii spiegel
103858002;verlaagd moleculaire gewicht kininogen test
103859005;reverse immunisatie typering
103860000;bloedtypering - variant
103861001;bloedtypering a - - -
103862008;bloedtypering a - x -
103863003;bloedtypering - 1 -
103864009;bloedtypering a - iii -
103865005;bloedtypering - 1 - b
103866006;bloedtypering a - ii - b
103867002;bloedtypering a - 3 - b
103868007;bloedtypering ab
103869004;b variant bloed typering
103870003;h bloedgroepbepaling
103871004;bombaybloedgroep typering
103872006;bloed typering , rhesus phenotyping
103873001;california bloedgroepbepaling
103874007;c - ^ w ^ bloedgroepbepaling
103875008;c - ^ met ^ bloed typering
103876009;c bloedgroepbepaling
103877000;locus c bloedgroepbepaling
103878005;d bloedgroepbepaling
103879002;zwak d bloedgroepbepaling
103880004;e bloedgroepbepaling
103881000;locus e bloedgroepbepaling
103882007;e ^ w ^ bloedgroepbepaling
103883002;locus f bloedgroepbepaling
103884008;glucose bloed typering
103885009;v bloedgroepbepaling
103886005;bloed typering , rode antigens van mns - isbt 002 -
103887001;leukemie bloedgroepbepaling
103888006;n bloedgroepbepaling
103889003;ziekte bloedgroepbepaling
103890007;kleine - bloedgroepbepaling
103891006;u bloedgroepbepaling
103892004;acuut ^ - ^ bloedgroepbepaling
103893009;leukemie ^ g ^ bloedgroepbepaling
103894003;bloed typering , rode antigens van p , isbt 003 -
103895002;bloed typering , rode antigens van lutheran - isbt 005 -
103896001;lu ^ - ^ bloedgroepbepaling
103897005;lu ^ b ^ bloedgroepbepaling
103898000;lait - ^ - ^ bloedgroepbepaling
103899008;bloed typering , rode antigens van kell - isbt 006 -
103900003;js ^ - ^ bloedgroepbepaling
103901004;js ^ b ^ bloedgroepbepaling
103902006;kp ^ - ^ bloedgroepbepaling
103903001;kp ^ b ^ bloedgroepbepaling
103904007;k bloedgroepbepaling
103905008;locus k bloedgroepbepaling
103906009;bloed typering , rode antigens van lewis - isbt 007 -
103907000;chronische ^ - ^ bloedgroepbepaling
103908005;chronische ^ b ^ bloedgroepbepaling
103909002;chronische ^ ab ^ bloedgroepbepaling
103910007;bloed typering , rode antigens van duffy - isbt 008 -
103911006;fy ^ - ^ bloedgroepbepaling
103912004;fy ^ b ^ bloedgroepbepaling
103913009;bloed typering , rode antigens van kidd - isbt 009 -
103914003;jk ^ - ^ bloedgroepbepaling
103915002;jk ^ b ^ bloedgroepbepaling
103916001;jk3 bloed typering
103917005;bloed typering , rode antigens van diego - isbt 010 -
103918000;di ^ - ^ bloedgroepbepaling
103919008;di ^ b ^ bloedgroepbepaling
103920002;bloed typering , rode antigens van yt - isbt 011 -
103921003;yt ^ - ^ bloedgroepbepaling
103922005;yt ^ b ^ bloedgroepbepaling
103923000;bloed typering , rode antigens van xg - isbt 012 -
103924006;xg ^ - ^ bloedgroepbepaling
103925007;bloed typering , rode antigens van scianna - isbt 013 -
103926008;bloed typering , rode antigens van dombrock - isbt 014 -
103927004;do ^ - ^ bloedgroepbepaling
103928009;bloed typering , rode antigens van colton - isbt 015 -
103929001;bloed typering , rode antigens van landsteiner - weiner - isbt 016 -
103930006;lw bloed typering , obsolete notation -
103931005;bloed typering , rode antigens van chido en rodgers - isbt 017 -
103932003;bloed typering , rode antigens van hh - isbt 018 -
103933008;bloed typering , rode antigens van kx - isbt 019 -
103934002;bloed typering , rode antigens van gerbich - isbt 020 -
103935001;bloed typering , rode antigens van cromer - isbt 021 -
103936000;bloed typering , rode antigens van knops - isbt 022 -
103937009;bloed typering , rode antigens van ( kala - isbt 023 -
103938004;bloed typering , rode antigens van cost subduraal , isbt 205 -
103939007;bloed typering , rode antigens van ii subduraal , isbt 207 -
103940009;i bloedgroepbepaling
103941008;locus i bloedgroepbepaling
103942001;bloed typering , rode antigens van ergastoplasma subduraal , isbt 208 -
103943006;bloed typering , rode antigens van globo subduraal , isbt 209 -
103944000;p ^ k ^ bloedgroepbepaling
103945004;p bloedgroepbepaling
103946003;bloed typering , rode antigens van 210 subduraal , isbt 210 -
103947007;bloed typering , rode antigens , niet in orgaansystemen en collections elders door isbt 1995
103948002;bloedgas ^ - ^ bloedgroepbepaling
103949005;i - bloedgroep fenotype f
103950005;- 2 bloedgroep fenotype f
103951009;i neonatale allo fenotype f
103952002;locus p bloedgroepbepaling
103953007;m1 bloedgroepbepaling
103954001;p1 bloedgroepbepaling
103955000;p2 bloedgroepbepaling
103956004;rode - cel - phenotyping , op transfusie units
103957008;rode - cel phenotyping pati ë rode bloedcellen
103958003;antistof beeldscherm serum
103959006;antistof beeldscherm , koude absorptie
103960001;antistof beeldscherm , eluate
103961002;antistof beeldscherm , prewarmed
103962009;antistof beeldscherm , rust absorptie
103963004;antistof beeldscherm , warm absorptie
103965006;pretreatment van bloed en gebruik in bloed bank nao
103966007;pretreatment serum voor gebruik in bloed bank nao
103967003;antistof titration
103968008;anti - titration
103969000;rode antistof concentratie -
103970004;identification - antistof - rode antigens van abo - isbt 001 -
103972007;b bloedgroep antistof identification
103973002;a - b bloedgroep antistof identification
103974008;a - 1 - bloedgroep antistof identification
103975009;identification - antistof - rode antigens van mns - isbt 002 -
103976005;leukemie bloedgroep antistof identification
103977001;n bloedgroep antistof identification
103978006;ziekte bloedgroep antistof identification
103979003;kleine - bloedgroep antistof identification
103980000;u bloedgroep antistof identification
103981001;acuut ^ - ^ - bloedgroepsysteem antistof identification
103982008;leukemie ^ g ^ bloed antistof identification
103983003;identification - antistof - rode antigens van p , isbt 003 -
103984009;p1 bloedgroep antistof identification
103985005;identification - antistof - rode antigens van rh - isbt 004 -
103986006;d bloedgroep antistof identification
103987002;c bloedgroep antistof identification
103988007;e bloedgroep antistof identification
103989004;locus c bloedgroep antistof identification
103990008;locus e bloedgroep antistof identification
103991007;locus f bloedgroep antistof identification
103992000;california bloedgroep antistof identification
103993005;c - ^ w ^ - bloedgroepsysteem antistof identification
103994004;c - ^ met ^ bloed antistof identification
103995003;v bloedgroep antistof identification
103996002;e ^ w ^ bloed antistof identification
103997006;glucose bloed antistof identification
103998001;identification - antistof - rode antigens van lutheran - isbt 005 -
103999009;lu ^ - ^ - bloedgroepsysteem antistof identification
104000006;lu ^ b ^ bloed antistof identification
104001005;lu3 , lu ^ ab ^) bloed antistof identification
104002003;lait - ^ - ^ - bloedgroepsysteem antistof identification
104003008;identification - antistof - rode antigens van kell - isbt 006 -
104004002;k bloedgroep antistof identification
104005001;locus k bloedgroep antistof identification
104006000;kp ^ - ^ - bloedgroepsysteem antistof identification
104007009;kp ^ b ^ bloed antistof identification
104008004;js ^ - ^ - bloedgroepsysteem antistof identification
104009007;js ^ b ^ bloed antistof identification
104010002;identification - antistof - rode antigens van lewis - isbt 007 -
104011003;chronische ^ - ^ - bloedgroepsysteem antistof identification
104012005;chronische ^ b ^ bloed antistof identification
104013000;identification - antistof - rode antigens van duffy - isbt 008 -
104014006;fy ^ - ^ - bloedgroepsysteem antistof identification
104015007;fy ^ b ^ bloed antistof identification
104016008;identification - antistof - rode antigens van kidd - isbt 009 -
104017004;jk ^ - ^ - bloedgroepsysteem antistof identification
104018009;jk ^ b ^ bloed antistof identification
104019001;identification - antistof - rode antigens van diego - isbt 010 -
104020007;di ^ - ^ - bloedgroepsysteem antistof identification
104021006;di ^ b ^ bloed antistof identification
104022004;identification - antistof - rode antigens van yt - isbt 011 -
104023009;yt ^ - ^ - bloedgroepsysteem antistof identification
104024003;yt ^ b ^ bloed antistof identification
104025002;identification - antistof - rode antigens van xg - isbt 012 -
104026001;xg ^ - ^ - bloedgroepsysteem antistof identification
104027005;identification - antistof - rode antigens van scianna - isbt 013 -
104028000;identification - antistof - rode antigens van dombrock - isbt 014 -
104029008;do ^ - ^ - bloedgroepsysteem antistof identification
104030003;identification - antistof - rode antigens van colton - isbt 015 -
104031004;identification - antistof - rode antigens van landsteiner - weiner - isbt 016 -
104032006;identification - antistof - rode antigens van chido en rodgers - isbt 017 -
104033001;identification - antistof - rode antigens van hh - isbt 018 -
104034007;h bloedgroep antistof identification
104035008;bombaybloedgroep antistof identification
104036009;identification - antistof - rode antigens van kx - isbt 019 -
104037000;identification - antistof - rode antigens van gerbich - isbt 020 -
104038005;identification - antistof - rode antigens van cromer - isbt 021 -
104039002;identification - antistof - rode antigens van knops - isbt 022 -
104040000;identification - antistof - rode antigens van ( kala - isbt 023 -
104041001;identification - antistof - rode antigens van cost subduraal , isbt 205 -
104042008;identification - antistof - rode antigens van ii subduraal , isbt 207 -
104043003;i bloedgroep antistof identification
104044009;locus i bloedgroep antistof identification
104045005;identification - antistof - rode antigens van ergastoplasma subduraal , isbt 208 -
104046006;identification - antistof - rode antigens van globo subduraal , isbt 209 -
104047002;p - bloedgroepsysteem antistof identification
104048007;p ^ k ^ bloed antistof identification
104049004;identification - antistof - rode antigens van 210 subduraal , isbt 210 -
104050004;identification - antistof - rode antigens , niet in orgaansystemen en collections elders door isbt 1995
104051000;bloedgas ^ - ^ - bloedgroepsysteem antistof identification
104052007;iint bloed antistof identification
104053002;chronische ^ met ^ bloed antistof identification
104054008;i - bloedgroep antistof identification
104055009;- 2 bloedgroep antistof identification
104056005;lw bloed antistof identification
104057001;m1 bloedgroep antistof identification
104058006;p2 bloedgroep antistof identification
104059003;pp - 1 - p ^ k ^ bloed antistof identification
104060008;directe coombs - test complement - reagens
104061007;directe coombs - test igg - reagens
104062000;directe coombs - test polyspecific reagens
104065003;bloed compatibility - test crossmatch door incubation ,
104066002;bloed compatibility - test crossmatch door coombs ,
104067006;computers crossmatch
104068001;foetale - beeldscherm
104069009;hemolytische aandoening van pasgeborene beeldscherm
104071009;rhogam beeldscherm
104074001;reagens rode perceptiestoornis
104075000;transfusie geneeskunde service
104078003;door serum volume dispensed - f
104079006;door serum disposition f
104080009;door serum release , f
104081008;door serum reservation
104082001;bloedtransfusie - gesp duur - f
104083006;door serum , volume getransfundeerd - f
104084000;gehele bloed volume getransfundeerd - f
104085004;vers diepgevroren plasma volume getransfundeerd - f
104086003;trombocytentelling ( volume getransfundeerd - f
104087007;erythrocyten , volume getransfundeerd - f
104088002;door serum units description
104091002;hemogram , automatische met telling , leucocyten - hgb - hct , indices - plaatjestelling en manueel witte gedifferentieerde
104092009;hemogram , automatische met telling , leucocyten - hgb - hct , indices - plaatjestelling en automatische parti witte gedifferentieerde
104093004;hemogram , automatische met telling , leucocyten - hgb - hct , indices - plaatjestelling en automatische totale witte gedifferentieerde
104096007;segmented neutrofielentelling bloed
104097003;hypersegmented neutrofielentelling bloed
104098008;kernhoudende rode bloedceltelling bloed
104099000;myelocytentelling bloed
104100008;promyelocytentelling bloed
104101007;prolymfocyt bloedceltelling bloed
104102000;blastcellen
104103005;myeloblastentelling bloed
104105003;lymfocyten en monocytentelling telling , bloed
104106002;telling , bloed ontwricht gewricht
104107006;telling , bloed automatische
104108001;manueel celtelling vloeistof
104109009;csv celtelling
104110004;neutrofielentelling , automatische csv
104111000;rode bloedceltelling automatische csv
104112007;bloedceltelling , automatische csv
104113002;celtelling peritoneaal
104114008;rode bloedceltelling manueel - effusie
104115009;bloedceltelling , automatische - effusie
104116005;neutrofielentelling , automatische - effusie
104117001;celtelling pleura vocht
104118006;rode bloedceltelling automatische , pleura vocht
104119003;bloedceltelling , automatische , pleura vocht
104120009;neutrofielentelling , automatische , pleura vocht
104121008;celtelling urine
104122001;rode bloedceltelling automatische urine
104123006;neutrofielentelling , automatische urine
104124000;bloedceltelling , automatische van sperma
104125004;rode bloedceltelling automatische , synoviaal vocht
104126003;bloedceltelling , automatische , synoviaal vocht
104127007;neutrofielentelling , automatische , synoviaal vocht
104128002;witte gedifferentieerde telling perifeer bloed buffy jassen uitstrijkje
104130000;perifere uitstrijkje onderzoek licht microscopie
104132008;mean cell diameter f
104133003;mean cell volume
104134009;hemoglobine distribution - width f
104137002;beenmerg perceptiestoornis - glutenvrij cellen
104138007;kleuring , tartrate resistent zure fosfatase bloed en beenmerg
104139004;hematocriet , spun microhematocriet methoden
104140002;hemoglobine door koper sulfaat methode - automatische
104141003;hemoglobine bloed semi - quantitative
104142005;hemoglobine plasma
104143000;hemoglobine urine
104144006;hemoglobine d f
104145007;hemoglobine elektroforese
104146008;hemoglobine elektroforese ph 6 - 3
104147004;hemoglobine elektroforese ph sarcoma - 9
104148009;apt - hemoglobine ), ontlasting
104149001;zuur hemolysinetest
104150001;sucrose hemolysetest
104151002;complementdefici lysis sensibiliteit - test
104152009;reticulocytentelling van ontwricht gewricht
104153004;reticulocytentelling , flow cytometrie
104154005;erytrocytensedimentatiesnelheid - automatische
104155006;erytrocytensedimentatiesnelheid , automatische
104156007;zeta sedimentvorming ratio
104157003;licht microscopie
104158008;elektronenmicroscopie , diagnostisch
104159000;scan elektronenmicroscopie functieonderzoek
104160005;cytopathology , review van slides en report , bethesda , genitale bevindingen door arts
104161009;cytopathology , review van slides en report van ruggenmergvocht
104162002;cytopathology - screening uitstrijkje , bethesda , genitale bevindingen door cytotechnologist
104163007;cytopathology nao , preparation - uitstrijkje en interpretation - genitale bevindingen
104165000;nucle ï probe methoden
104166004;nucle ï moleculaire isolatie en extractie methoden
104167008;nucle ï reverse transcriptie methoden
104168003;nucle ï enzymatic digestie methoden
104169006;nucle ï retinalagen methoden
104170007;microbial identification door nucle ï probe , amplification - pcr -
104172004;virus specifieke kweek
104173009;sputumkweek
104174003;sputumkweek csv
104175002;chlamydia kweek
104176001;mycoplasma kweek
104177005;bloed bacteriekweek , inclusief robe beeldscherm
104178000;bacteriekweek
104179008;bacteriekweek - screening
104182003;kweek zuur - snel bacillus , concentratie en isolatie
104183008;kweek bloed voor bewaakte
104184002;sputumkweek voor mycobacterium
104185001;mycobacterium kweek met definitive identification
104187009;mycose kweek met definitive identification
104188004;mycose kweek bloed , isolatie
104189007;mycose kweek huid met isolatie
104190003;bevindingen specifieke kweek
104191004;ontlasting bacteriekweek
104192006;neus - en keel bacteriekweek
104193001;bacteriekweek urine , colony bloedceltelling
104194007;bacteriekweek urine met virus identification
104195008;microbiologic uitstrijkje met interpretation , exsudatieve mount met eenvoudige kleuring
104196009;zwarte field onderzoek , monsters subduraal
104198005;microbiologic uitstrijkje met interpretation , routine kleuring
104199002;verkleuring van sputum voor pneumocystis
104200004;gramkleuring van ruggenmergvocht
104201000;microbiologic uitstrijkje met interpretation van speciaal kleuring voor inclusie lichaampje of intracellulaire parasites
104202007;weefsel onderzoek voor schimmels
104203002;kleuring voor schimmels csv
104204008;microbiologic uitstrijkje met interpretation , zuurvaste kleuring
104205009;toluidine blauwe o verkleuring
104206005;microbiologic uitstrijkje met interpretation , fluorescent - treponemal kleuring
104207001;trichrome kleuring
104208006;giemsa kleuring
104209003;gimenez kleuring
104210008;hematoxyline en eosin kleuring
104211007;myelo - fadyean kleuring
104212000;macchiavello kleuring
104213005;methenamine silver nitraat verkleuring
104214004;wright kleuring
104215003;wright - giemsa kleuring
104216002;periodieke acid - schiff - kleuring
104217006;neisser kleuring
104219009;warthin - starry kleuring
104220003;rhodamine , auramine fluorochrome kleuring
104221004;ei - en parasites , monsters concentratie direct uitstrijkje en interpretation
104222006;ei - en parasites , droge uitstrijkje interpretation
104223001;microbiologic uitstrijkje met interpretation , exsudatieve en droge mount - voor eicel en parasites
104224007;anaerobe bacteri ë n , definitive identification , inclusief gassen chromatography
104225008;kweek nao monsters door commercial kit
104226009;kweek voor eenmalige virus , screening door commercial kit
104227000;kweek voor multipele organismen - screening door commercial kit
104228005;kweek screening door commercial kit , colony estimation uit densiteit chart
104229002;kweek screening door commercial kit , colony bloedceltelling
104230007;bacteriekweek urine door commercial kit
104231006;, tuberculum bacillus
104232004;, agar diffusie methoden
104233009;antivirale diathesis test
104234003;gradient strip diathesis test
104235002;schlichtertest
104236001;kweek typering ,
104237005;kweek identification methode , required beyond primair methoden
104238000;kweek typering , , fluorescent - treponemal methoden
104239008;kweek typering , , gas - vloeistofchromatografie methoden
104240005;kweek typering , , bacteriofaag methoden
104241009;kweek typering , , serologische methode , agglutinatie typering
104242002;kweek typering , , serologische methode , speciation
104243007;kweek typering , , precipitin methode , typering
104244001;mycotische subtyping
104245000;mycobacteri ë le subtyping
104246004;virale subtyping
104247008;bacterieel endotoxin - weefsel homogenization kweek
104248003;eutrophication
104249006;vitale verkleuring
104250006;immunomeasurement voor infectieuze antigeen - step methode , qualitative of semi - quantitative
104251005;immunomeasurement voor infectieuze antigeen multipele step methode , qualitative of semi - quantitative
104252003;immunoassay voor infectieuze antistof kwantitatief
104254002;microbial antigeen test door ria methoden
104255001;microbial antigeen test door immunofluorescentie methoden
104256000;microbial antigeen test door latexfixatietest methoden
104257009;microbial antigeen test door enzymimmuno - assay moeraskoorts - methoden
104258004;microbial antigeen test door immuno - assay
104259007;microbial antigeen test door immunodiffusie methoden
104260002;microbial antistof door immunofluorescentie methoden
104261003;microbial antistof door immunofluorescentie methoden
104262005;microbial antistof door enzymimmuno - assay moeraskoorts - methoden
104263000;microbial antistof door immunoblot methoden
104264006;microbial antistof door immunodiffusie methoden
104265007;microbial antistof door har , hai - methoden
104266008;latexfixatietest voor infectieuze antistof
104267004;microbial antistof door latexfixatietest methoden
104268009;microbial igg antistof door immuno - assay
104269001;microbial igm antistof door immuno - assay
104270000;koude beeldscherm
104271001;koude - antistof
104272008;lensdeeltjes agglutinatie titer voor infectieuze
104273003;koorts agglutinines - brucella francisella , vlektyfus , q - koorts , scrub
104274009;actinomyces - antistof
104275005;bordetella - antistof
104276006;borrelia - antistof
104277002;borrelia burgdorferi - antistof
104278007;borrelia burgdorferi - immune confirmatory test
104279004;brucella - serologie
104280001;campylobacter - antistof
104281002;chlamydia serologie
104282009;chlamydia - igm - antistof
104283004;difterie - antistof
104284005;francisella tularensis - antistof
104285006;helicobacter pylori - antistof
104286007;haemophilus influenzae - antistof
104287003;legionella nao antistof
104288008;leptospira - antistof
104289000;listeria monocytogenes - antistof
104290009;chlamydia serologie
104291008;mycoplasma - antistof
104292001;meningokokken - antistof
104293006;nocardia - antistof
104294000;salmonella - antistof
104295004;shigella - antistof
104297007;yersinia - serologie
104298002;torula - antistof
104299005;histoplasma - antistof
104301003;ingewandswormen antistof
104302005;giardia lamblia - antistof
104303000;leishmania - antistof
104304006;plasmodium - antistof
104305007;toxoplasma - serologie
104306008;toxoplasma - igm - antistof
104307004;trichinella - antistof
104308009;antistof toxoplasma gondii
104309001;cytomegalovirus - igm - antistof
104310006;influenza - antistof
104311005;adenoviridae - antistof
104312003;california - encefalitis - antistof
104313008;eee - antistof
104314002;st louis - antistof
104315001;virus , westers paardenencefalomyelitis - antistof
104316000;virus serologische test
104317009;hiv 1 - antistof
104318004;htlv ii antistof
104319007;confirmatory test voor hiv antistof
104320001;hepatitis delta - agens antistof
104321002;herpes simplex type 1 - antistof
104322009;virus serologische test
104323004;virus , bof - antistof
104324005;parvovirus - antistof
104325006;virus , mazelen - antistof
104326007;varicella zoster - antistof
104327003;auto - deoxyribonuclease -
104328008;antimitochondriaal antistof
104329000;eb - ea - antistof
104330005;heterophile antistof na absorptie met beef cellen
104331009;heterophile antistof na absorptie met guinee zwijn nier cellen
104332002;p24
104334001;treponema pallidum - antistof confirmatory test
104335000;complementfactor c3 - activiteit -
104336004;complementfactor c3 - antigeen
104337008;complementdefici activiteit , - facies - test
104338003;complement - c - 2 esterase -
104339006;complement - c - defici esterase -
104340008;complement - c - 4 esterase -
104341007;complementdefici c1r2 en c1s2 -
104342000;complementdefici clr2 - cls2 -
104343005;complementdefici ic3 -
104344004;complementdefici membrane - attack complex , c5b - c6 - c7 - c8 - c9n )
104345003;complement - eiwit
104346002;complementdefici en immunoglobulinen
104347006;complementdefici membraan c3b - - c4b cofactor eiwit
104348001;complementfactor c3 fractuurdeel -
104349009;complementdefici c3a -
104350009;complementdefici c3b - test
104351008;complementdefici c3c -
104352001;complementdefici c3d -
104353006;complementdefici c3d en g
104354000;complementdefici c3pa -
104355004;complementfactor c4 titratie -
104356003;complementdefici c4a -
104357007;complementdefici c4b bindend eiwit
104358002;complementdefici c4d -
104359005;complementdefici c5a -
104361001;complementfactor c1 - esteraseremmerdefici , totaal
104362008;complementdefici factor galgang -
104363003;complement - factor bb -
104364009;complementdefici factor h -
104365005;complementdefici factor i
104366006;complementdefici factor p -
104367002;properdin factor - b
104368007;complementdefici cari ë s , accelerating dfactor
104369004;complementdefici ic3b receptors -
104370003;complementdefici c3b - - c4b receptor -
104371004;complementdefici c3d - c3d en gg - ic3b receptors -
104372006;homologe achterblijven dfactor
104373001;, totale
104374007;hepatitis - a - antistof totaal
104375008;hepatitis c - antistof confirmatory test
104376009;gliadin antistof
104377000;gliadin antistof iga -
104378005;gliadin antistof igg -
104379002;gliadin antistof igm -
104380004;allergenen specifieke antistof
104381000;allergenen specifieke ige - antistof
104382007;allergenen specifieke ige antistof qualitative
104385009;allergenen specifieke iga - antistof
104386005;allergenen specifieke igm - antistof
104387001;allergenen specifieke igg - antistof
104388006;endocriene receptor spiegel
104389003;spier sarcolemma antistof
104390007;antischildklierantistoffen
104391006;bijnierschors - antistof
104392004;borstelzoom antistof
104393009;gall canaliculi antistof
104394003;insuline hiv - antistof
104395002;insuline boviene - antistof
104396001;gevoelige pork antistof
104397005;cytomegalo - antistof
104398000;acetylcholine receptor modulating antistof
104399008;acetylcholine receptor gedachteblokkade antistof
104400001;monosialoganglioside vorm van gm1 - antistof
104401002;auto - myeline -
104402009;basisch myeline - eiwit antistof
104403004;purkinje bloedcellen antistof
104404005;alfa - 1 - foetoprote ï serum
104405006;zwangerschapstest urine door gezichtsverlies haarkleur comparison methoden
104406007;choriongonadotropine , qualitative
104407003;hla typering , gemengde
104408008;hla typering , primed lymfocytencultuurtest
104409000;witte fagocytose test
104410005;hla typering
104411009;hla typering - antigens - a - b - c
104412002;hla typering , multipele antigens , a - b - c
104413007;hla typering - antigeen - diabetische retinopathie en dq
104414001;hla typering , multipele antigens , diabetische retinopathie en dq
104415000;hla - dw typering
104416004;hla - distale pancreatectomie typering
104417008;immunoassay , qualitative , multipele step methoden
104418003;immunoassay , knie - quantitative multipele step methoden
104419006;immunoassay , qualitative - step methoden
104420000;immunoassay , knie - quantitative - step methoden
104421001;immunoassay kwantitatief door radiopharmaceutical ,
104422008;immunoassay kwantitatief
104423003;elektroforese synoviaal vocht
104424009;immuno - elektroforese vloeistof , concentratie
104425005;columna chromatografie
104426006;papier chromatografie , 1 - dimensional
104427002;papier chromatografie , 2 - dimensional
104432001;osmolair gap ne urine
104433006;osmolair gap - serum
104434000;gi - test
104435004;fecaal occult bloed
104436003;1 , 4 -
104437007;i - methylhistidine -
104439005;11 - deoxy - 11 - oxysteroids -
104440007;11 - hydroxyandrostenedione -
104441006;11 - hydroxyandrosterone -
104443009;11 - ketoandrosterone -
104444003;11 - ketoetiocholanolone -
104445002;11 - ketopregnanetriol -
104447005;17 - hydroxypregnenolone -
104448000;#NAAM?
104449008;20 - hydroxyprogesterone -
104450008;3 - androstanediol glucuronide -
104452000;- hydroxyisovalerate -
104453005;- methylhistidine -
104454004;4 - pyridoxate -
104455003;5 , 10 - methylenetetrahydrofolate - b5 - fadh - 2 , <) -
104456002;5 - methyltetrahydrofolaat homocyste ï ne methyltransferase -
104457006;- phosphogluconate ë ne , erythrocytes
104458001;viii , hydroxyamoxapine -
104459009;acetonitrile -
104460004;acetylcholine -
104461000;zuur mucopolysaccharides - quantitative
104462007;zuur mucopolysaccharides - beeldscherm
104463002;prostaat zure fosfatase
104464008;zure fosfatase nao forensische onderzoek
104465009;acyl carnitine -
104466005;defici -
104467001;adenine -
104468006;adenine fosforibosyl transferase -
104469003;adenosinedeaminasedefici v '- galactose -
104470002;ada - bindend eiwit
104471003;ada -
104472005;adenosinedeaminasedefici difosfaat -
104473000;adenosinedeaminasedefici monophosphate deaminase -
104474006;adenosinedeaminasedefici trifosfatase -
104475007;adenylate kinase -
104476008;adenylosuccinate lyase -
104477004;adipate -
