conceptid b;term b;conceptid m;term m
233134001;Damus - Stansel - Kaye operatie;233134001;Damus - Stansel - Kaye operatie
233168007;corridor operatie;233168007;corridor operatie
233170003;implantatie van automatische cardiale defibrillator;233170003;Implantatie van automatische cardiale defibrillator
233227005;gemodificeerde Blalock - Taussig shunt;233227005;Gemodificeerde Blalock - Taussig shunt
233229008;bidirectionele Glenn shunt;233229008;Bidirectionele Glenn shunt
233240000;take - down van Waterston shunt;233240000;Take - down van Waterston shunt
233451003;laparoscopische ligatie van varicocele;233451003;Laparoscopische ligatie van varicocele
233461005;sclerotherapie van veneuze flares;233461005;Sclerotherapie van veneuze flares
233480007;embolectomie van arterioveneuze fistel;233480007;Embolectomie van arterioveneuze fistel
233491000;banding van arterioveneuze fistel;233491000;Banding van arterioveneuze fistel
233492007;excisie van arterioveneuze fistel;233492007;Excisie van arterioveneuze fistel
233503009;revascularisatie van de vinger;233503009;Revascularisatie van de vinger
233545006;hysteroscopie;233545006;Hysteroscopie
233554009;verwijdering van Hickman lijn;233554009;Verwijdering van Hickman lijn
233560009;percutane intraperitoneale foetale bloedtransfusie;233560009;Percutane intraperitoneale foetale bloedtransfusie
234262008;excisie van okselklier;234262008;Excisie van okselklier
234263003;excisie van mediastinale lymfeklier;234263003;Excisie van mediastinale lymfeklier
234264009;excisie van abdominale lymfeknopen;234264009;Excisie van abdominale lymfeknopen
234267002;excisie van femorale lymfeklier;234267002;Excisie van femorale lymfeklier
234271004;biopsie van okselklier;234271004;Biopsie van okselklier
234272006;biopsie van mediastinale lymfeklier;234272006;Biopsie van mediastinale lymfeklier
234273001;biopsie van abdominale lymfeknopen;234273001;Biopsie van abdominale lymfeknopen
234283002;fijne naald aspiratie van mediastinale lymfeklier;234283002;Fijne naald aspiratie van mediastinale lymfeklier
234319005;splenectomie;234319005;Splenectomie
234681007;gingivectomie;234681007;Gingivectomie
234738004;mcCauley operatie;234738004;McCauley operatie
235147008;enteroscopie;235147008;enteroscopie
235159007;percutane endoscopische gastrostomie;235159007;Percutane endoscopische gastrostomie
235169001;gastric pull - up;235169001;Gastric pull - up
235183004;oesofagomyotomie;235183004;oesofagomyotomie
235245007;nieten van de maag;235245007;Nieten van de maag
235249001;maagspoeling met water;235249001;Maagspoeling met water
235376003;anterieure fixatie van het rectum;235376003;Anterieure fixatie van het rectum
235378002;mesh rectopexie;235378002;mesh rectopexie
235384004;gracilis sling operatie;235384004;Gracilis sling operatie
235523007;fijne naald aspiratie van de galblaas;235523007;Fijne naald aspiratie van de galblaas
235543001;gelman operatie;235543001;Gelman operatie
235566000;galwegdrainage;235566000;galwegdrainage
236138007;xenograft niertransplantatie;236138007;Xenograft niertransplantatie
236222006;exploratie en drainage van de blaas;236222006;Exploratie en drainage van de blaas
236358002;vasculaire procedure op de penis;236358002;Vasculaire procedure op de penis
236359005;penis revascularisatie voor impotentie;236359005;Penis revascularisatie voor impotentie
236363003;sperma aspiratie;236363003;sperma aspiratie
236886002;hysterectomie;236886002;Hysterectomie
236887006;laparoscopische hysterectomie;236887006;laparoscopische hysterectomie
236911001;excisie van tubo - ovari ë le massa;236911001;Excisie van tubo - ovari ë le massa
236921009;cornuale - ampullaire anastomose;236921009;Cornuale - ampullaire anastomose
236990004;postmortem keizersnede;236990004;Postmortem keizersnede
237172007;turco operatie;237172007;turco operatie
237378001;incisiebiopsie van de borst;237378001;Incisiebiopsie van de borst
237393002;excisie van tepel en tepelhof;237393002;Excisie van tepel en tepelhof
237396005;biopsie van letsel van tepelhof;237396005;Biopsie van letsel van tepelhof
237927003;goldner operatie;237927003;Goldner operatie
239308005;triple osteotomie van het bekken;239308005;Triple osteotomie van het bekken
239342001;excisie van het trapezium;239342001;Excisie van het trapezium
239430005;ligament reconstructie;239430005;ligament reconstructie
239457007;chondroplastiek;239457007;chondroplastiek
239503002;resurfacing van de patella;239503002;Resurfacing van de patella
239564006;excisie van odontoid peg;239564006;Excisie van odontoid peg
239609009;correctie van clinodactyly;239609009;Correctie van clinodactyly
240288004;percutane insertie van peritoneale - amniotische shunt;240288004;Percutane insertie van peritoneale - amniotische shunt
240926008;percutane embolectomie;240926008;percutane embolectomie
240929001;percutane trombolyse;240929001;percutane trombolyse
240940009;vervanging van arteri ë le stent;240940009;Vervanging van arteri ë le stent
240970004;subperiostale facelift;240970004;subperiostale facelift
240971000;mini - facelift;240971000;Mini - facelift
240977001;biopsie van de huid;240977001;Biopsie van de huid
241568005;CT pols;241568005;CT pols
241611001;MRI speekselklieren;241611001;MRI speekselklieren
241616006;MRI longen;241616006;MRI longen
241705007;intraveneuze sedatie;241705007;intraveneuze sedatie
242113002;debridement van de schedel;242113002;Debridement van de schedel
243685008;bronchoscopie met transbronchiale longbiopsie;243685008;Bronchoscopie met transbronchiale longbiopsie
244422009;dickson - diveley operatie;244422009;Dickson - Diveley operatie
244604004;biopsie van nagel;244604004;Biopsie van nagel
251966007;eenvoudige excisie van neuspoliepen;251966007;Eenvoudige excisie van neuspoliepen
252464001;capillaroscopie;252464001;capillaroscopie
252632002;gastro - intestinale manometrie;252632002;Gastro - intestinale manometrie
252718007;goniometrie van de pols;252718007;Goniometrie van de pols
252720005;goniometrie van de duim;252720005;Goniometrie van de duim
260648008;hemilaminectomie;260648008;hemilaminectomie
260649000;lumbale microdiscectomie;260649000;lumbale microdiscectomie
261479009;mediastinoscopie;261479009;Mediastinoscopie
261540001;laminotomie;261540001;laminotomie
262457001;cervicale mediastinoscopie;262457001;cervicale mediastinoscopie
265011000;excisie van cystische hygroma;265011000;Excisie van cystische hygroma
265292003;goniotomie;265292003;goniotomie
265294002;chirurgische iridotomie;265294002;chirurgische iridotomie
265348003;drainage van de slokdarm;265348003;Drainage van de slokdarm
265459006;pancreaticoduodenectomie met distale gastrectomie;265459006;Pancreaticoduodenectomie met distale gastrectomie
265467003;atriale inversie operatie;265467003;Atriale inversie operatie
265540006;Palma operatie;265540006;Palma operatie
265554003;percutane pyelolysis;265554003;percutane pyelolysis
265589001;transurethrale cryotherapie van de prostaat;265589001;Transurethrale cryotherapie van de prostaat
268367003;gastro - intestinale ademtest;268367003;Gastro - intestinale ademtest
274031008;rectale poliepectomie;274031008;rectale poliepectomie
274314005;percutane naaldbiopsie;274314005;Percutane naaldbiopsie
274387006;diagnostische aspiratie van de borst;274387006;Diagnostische aspiratie van de borst
275006003;oppervlakkige parotidectomie;275006003;oppervlakkige parotidectomie
275196007;Ramstedt operatie;275196007;Ramstedt operatie
275218004;pyeloscopie;275218004;pyeloscopie
275231009;incisie en drainage van anorectaal abces;275231009;Incisie en drainage van anorectaal abces
276908008;intracaverneuze injectie;276908008;intracaverneuze injectie
276916004;paramediane incisie;276916004;paramediane incisie
276976008;percutane arteri ë le embolectomie;276976008;Percutane arteri ë le embolectomie
276983001;percutane embolectomie van arterioveneuze fistel;276983001;Percutane embolectomie van arterioveneuze fistel
277516000;percutane embolisatie van arterioveneuze fistel;277516000;Percutane embolisatie van arterioveneuze fistel
277667006;echogeleide biopsie;277667006;Echogeleide biopsie
277762005;lumbaalpunctie;277762005;Lumbaalpunctie
277837003;detrusor myotomie;277837003;detrusor myotomie
278446003;aspiratie van ventriculaire shunt;278446003;Aspiratie van ventriculaire shunt
278728008;occipitale incisie;278728008;occipitale incisie
278734001;intraorale incisie;278734001;intraorale incisie
281558001;drainage van het middenoor;281558001;Drainage van het middenoor
281788007;spinale decompressie met discectomie;281788007;Spinale decompressie met discectomie
282191000;laminotomie voor decompressie en exploratie;282191000;Laminotomie voor decompressie en exploratie
284025004;myotomie van de hand;284025004;Myotomie van de hand
284182000;lijmen van wond;284182000;Lijmen van wond
286079005;choledochostomie;286079005;choledochostomie
287235008;traanzak drainage;287235008;Traanzak drainage
287528001;bronchoscopie via tracheostomie;287528001;Bronchoscopie via tracheostomie
287551001;niet - chirurgische vasculaire biopsie;287551001;Niet - chirurgische vasculaire biopsie
287761006;urethrale anastomose;287761006;urethrale anastomose
287762004;reconstructie van de urethra;287762004;Reconstructie van de urethra
287784004;lokale excisie van rectum;287784004;Lokale excisie van rectum
287793003;darm bypass shunt;287793003;Darm bypass shunt
287829003;enterotomie voor drainage;287829003;Enterotomie voor drainage
287858000;drainage van de lever;287858000;Drainage van de lever
287903004;hechten van de hand;287903004;Hechten van de hand
298110006;aspiratie van de lever;298110006;Aspiratie van de lever
298111005;diagnostische aspiratie van de lever;298111005;Diagnostische aspiratie van de lever
300012004;intercostale neurectomie;300012004;intercostale neurectomie
300018000;drainage van empyeem;300018000;Drainage van empyeem
300022005;diathermie van perineale wratten;300022005;Diathermie van perineale wratten
300034002;injectie voor tenosynovitis;300034002;Injectie voor tenosynovitis
300036000;subcutaan infuus;300036000;subcutaan infuus
300977003;open mediale meniscectomie;300977003;Open mediale meniscectomie
301298001;chirurgische dilatatie van de dunne darm;301298001;Chirurgische dilatatie van de dunne darm
302369001;clitoridectomie;302369001;clitoridectomie
302389000;marsupialisatie van huidletsel;302389000;Marsupialisatie van huidletsel
302395004;cauterisatie van huidletsel;302395004;Cauterisatie van huidletsel
302447007;biopsie van het nagelbed;302447007;Biopsie van het nagelbed
302615005;abdominale sacrocolpopexie;302615005;abdominale Sacrocolpopexie
302697001;drainage van huidletsel;302697001;Drainage van huidletsel
302761001;wandelen inspanningstest;302761001;Wandelen inspanningstest
303272002;Jatene procedure;303272002;Jatene procedure
303438008;excisie van pectoralis minor;303438008;Excisie van pectoralis minor
303648002;excisie van papilloma;303648002;Excisie van papilloma
303840006;excisie van craniale cyste;303840006;Excisie van craniale cyste
304502009;biopsie van de mond;304502009;Biopsie van de mond
307099006;biopsie van de wervelkolom;307099006;Biopsie van de wervelkolom
307285000;open reductie maxillaire fractuur;307285000;Open reductie maxillaire fractuur
307288003;gesloten reductie maxillaire fractuur;307288003;Gesloten reductie maxillaire fractuur
307520009;intramusculaire antibiotica therapie;307520009;Intramusculaire antibiotica therapie
308001003;epididymogram;308001003;Epididymogram
308679001;resectie van onderbroken aortaboog;308679001;Resectie van onderbroken aortaboog
308963000;intravasculaire injectie;308963000;Intravasculaire injectie
313315002;Hey - groves operatie;313315002;Hey - Groves operatie
314118002;laparoscopische totale splenectomie;314118002;Laparoscopische totale splenectomie
314121000;bilaterale guillotine tonsillectomie;314121000;Bilaterale guillotine tonsillectomie
354408004;pneumonolysis;354408004;Pneumonolysis
359548007;open biopsie van de dunne darm;359548007;Open biopsie van de dunne darm
359558006;heyman operatie;359558006;Heyman operatie
359561007;brockman operatie;359561007;Brockman operatie
359595006;miller operatie;359595006;Miller operatie
359608009;implantatie van cochleaire prothese , elektrode en ontvanger;359608009;Implantatie van cochleaire prothese , elektrode en ontvanger
359612003;implantatie van cochleaire prothese;359612003;Implantatie van cochleaire prothese
359659005;echografie;359659005;echografie
359672006;mediane sternotomie;359672006;mediane sternotomie
359886007;mcBride operatie;359886007;McBride operatie
359887003;Nissen fundoplicatie;359887003;Nissen fundoplicatie
360343009;dunn operatie;360343009;Dunn operatie
360351007;lambrinudi operatie;360351007;Lambrinudi operatie
360354004;open fijne naald aspiratie biopsie van de lever;360354004;Open fijne naald aspiratie biopsie van de lever
363051003;decompressie fasciotomie;363051003;decompressie fasciotomie
363157001;incisie en drainage van zacht weefsel;363157001;Incisie en drainage van zacht weefsel
363269004;radicale resectie van zacht weefsel;363269004;Radicale resectie van zacht weefsel
367446003;achillotomie;367446003;achillotomie
371345007;laser iridotomie;371345007;laser iridotomie
371348009;argon laser iridotomie;371348009;Argon laser iridotomie
373844007;ovari ë le ablatie;373844007;ovari ë le ablatie
386527002;controle van antepartum bloeding;386527002;Controle van antepartum bloeding
386607008;iridotomie;386607008;iridotomie
386690000;excisie van letsel van ruggenmerg;386690000;Excisie van letsel van ruggenmerg
386770004;dissectie van vasculaire bundel;386770004;Dissectie van vasculaire bundel
386785005;ballondilatatie van de slokdarm;386785005;Ballondilatatie van de slokdarm
387628008;tepelreconstructie;387628008;tepelreconstructie
387644004;supracervicale hysterectomie;387644004;supracervicale hysterectomie
387656003;Bilaterale vulvectomie;387656003;bilaterale vulvectomie
387670003;Fowler - Stephens orchidopexie;387670003;Fowler - Stephens orchidopexie
387731002;laminectomie;387731002;laminectomie
387829002;endomyocardbiopsie;387829002;endomyocardbiopsie
387865007;gastrocentesis;387865007;Gastrocentesis
388990007;synovectomie;388990007;synovectomie
391935006;pericardiolysis;391935006;Pericardiolysis
395218007;implantatie van interne cardiale defibrillator;395218007;Implantatie van interne cardiale defibrillator
395724000;choledocholithotomie;395724000;choledocholithotomie
397112000;eenvoudige excisie van pterygium;397112000;Eenvoudige excisie van pterygium
397167004;mazet amputatie;397167004;Mazet amputatie
397219003;guyon amputatie;397219003;Guyon amputatie
397840008;bronchorrafie;397840008;bronchorrafie
398740003;colostomie;398740003;Colostomie
399141000;mannelijke sterilisatie;399141000;Mannelijke sterilisatie
399334003;manipulatie van de cervicale wervelkolom;399334003;Manipulatie van de cervicale wervelkolom
404637003;gonioplastiek;404637003;gonioplastiek
405347000;trombolyse van aorta;405347000;Trombolyse van aorta
405487006;aorto - iliacale bypass met prothese;405487006;Aorto - iliacale bypass met prothese
408693007;vitropressie;408693007;vitropressie
410023005;directionele atherectomie;410023005;Directionele atherectomie
410574009;intravitreale antivirale injectie;410574009;Intravitreale antivirale injectie
418844005;echografie en drainage van de prostaat;418844005;Echografie en drainage van de prostaat
422246005;conjunctivale resectie;422246005;Conjunctivale resectie
425806003;translocatie van retina;425806003;Translocatie van retina
426220008;externe ventriculaire defibrillatie;426220008;Externe ventriculaire defibrillatie
427043003;echografie van de bovenarm;427043003;Echografie van de bovenarm
427074001;laparoscopische sleeve gastrectomie;427074001;Laparoscopische sleeve gastrectomie
427472005;echografie van de rechter heup;427472005;Echografie van de rechter heup
427684001;injectie van therapeutische substantie in de blaaswand;427684001;Injectie van therapeutische substantie in de blaaswand
428545002;fototherapie van de huid;428545002;Fototherapie van de huid
428555003;transveneuze implantatie van automatische cardiale defibrillator;428555003;Transveneuze implantatie van automatische cardiale defibrillator
428604001;fotodynamische therapie van de huid;428604001;Fotodynamische therapie van de huid
429386000;fotodynamische ablatie van het endometrium;429386000;Fotodynamische ablatie van het endometrium
429500007;monofasische defibrillatie;429500007;monofasische defibrillatie
429813006;fluoroscopische angiografie en atherectomie;429813006;Fluoroscopische angiografie en atherectomie
429893007;biopsie van ligament;429893007;Biopsie van ligament
429915000;transvaginale echografie van het bekken;429915000;Transvaginale echografie van het bekken
430064008;transvaginale verloskundige echografie;430064008;Transvaginale verloskundige echografie
430103002;fijne naald aspiratie biopsie van zacht weefsel;430103002;Fijne naald aspiratie biopsie van zacht weefsel
430113005;fijne naald aspiratie biopsie van de mond;430113005;Fijne naald aspiratie biopsie van de mond
430457001;incisiebiopsie van het hart;430457001;Incisiebiopsie van het hart
431046008;fijne naald aspiratie biopsie van eileider;431046008;Fijne naald aspiratie biopsie van eileider
431052009;fijne naald aspiratie biopsie van de lip;431052009;Fijne naald aspiratie biopsie van de lip
431648005;transcrani ë le doppler echografie;431648005;Transcrani ë le doppler echografie
431748001;intracardiale echografie;431748001;intracardiale echografie
431756003;echografie van de schedelholte;431756003;Echografie van de schedelholte
431894006;echografie van transjugulaire intrahepatische portosystemische shunt stent;431894006;Echografie van transjugulaire intrahepatische portosystemische shunt stent
433016000;excisie van ligament;433016000;Excisie van ligament
438319004;inductie van involutie van schildklier;438319004;Inductie van involutie van schildklier
439526007;incisie en drainage van het heupgewricht;439526007;Incisie en drainage van het heupgewricht
440258006;excisie van de huid;440258006;Excisie van de huid
441802002;beeldvorming van de lever;441802002;Beeldvorming van de lever
443068005;tatoe ë ren van permanente make - up;443068005;Tatoe ë ren van permanente make - up
443497002;excisie van sentinel lymfeklier;443497002;Excisie van sentinel lymfeklier
444001009;rechter Glenn shunt procedure;444001009;Rechter Glenn shunt procedure
445716005;endoscopische dilatatie van de dunne darm;445716005;Endoscopische dilatatie van de dunne darm
447346005;cardiopulmonale inspanningstest;447346005;Cardiopulmonale inspanningstest
447421006;profylactische mastectomie;447421006;Profylactische mastectomie
