conceptId; Engelse term;Nl;Nl;Nl
119921003;Gallbladder injection;galblaas injectie;galblaas injectie;galblaas injectie
119923000;Gallbladder endoscopy;galblaas endoscopie;galblaas endoscopie;galblaas endoscopie
119924006;Gallbladder closure;galblaas sluiting;galblaas sluiting;galblaas sluiting
119927004;Gallbladder reconstruction;galblaas reconstructie;galblaas reconstructie;galblaas reconstructie
119931005;Gallbladder transplantation;galblaas transplantatie;galblaas transplantatie;galblaas transplantatie
119933008;Gallbladder manipulation;galblaas manipulatie;galblaas manipulatie;galblaas manipulatie
119944000;Thyroid gland implantation;Schildklier implantatie;schildklier implantatie;Schildklier implantatie
119945004;Thyroid gland closure;Schildklier sluiting;schildklier sluiting;Schildklier sluiting
119946003;Thyroid gland reconstruction;Schildklier reconstructie;schildklier reconstructie;Schildklier reconstructie
119965006;Bone marrow incision;Beenmerg incisie;beenmerg incisie;Beenmerg incisie
119967003;Thymus implantation;thymus implantatie;thymus implantatie;thymus implantatie
119968008;Bone marrow implantation;Beenmerg implantatie;beenmerg implantatie;Beenmerg implantatie
119970004;Thymus injection;thymus injectie;thymus injectie;thymus injectie
119974008;Thymus closure;thymus sluiting;thymus sluiting;thymus sluiting
119991007;Bladder closure;blaas sluiting;blaas sluiting;blaas sluiting
119994004;Urethra closure;urethra sluiting;urethra sluiting;urethra sluiting
120004002;Epididymis injection;bijbal injectie;bijbal injectie;bijbal injectie
120008004;Testis reconstruction;testis reconstructie;testis reconstructie;testis reconstructie
120013000;Vas deferens excision;Vas deferens excisie;vas deferens excisie;Vas deferens excisie
120018009;Vas deferens injection;Vas deferens injectie;vas deferens injectie;Vas deferens injectie
120019001;Seminal vesicle injection;Zaadblaasjes injectie;zaadblaasjes injectie;Zaadblaasjes injectie
120021006;Scrotum closure;scrotum sluiting;scrotum sluiting;scrotum sluiting
120031004;Vulva implantation;vulva implantatie;vulva implantatie;vulva implantatie
120033001;Vulva reconstruction;vulva reconstructie;vulva reconstructie;vulva reconstructie
120071009;Obstetrics reconstruction;verloskunde reconstructie;verloskunde reconstructie;verloskunde reconstructie
120113002;Cornea injection;cornea injectie;cornea injectie;cornea injectie
120122001;Lens reconstruction;lens reconstructie;lens reconstructie;lens reconstructie
120139004;Middle ear implantation;Middenoor implantatie;middenoor implantatie;Middenoor implantatie
120142005;Inner ear implantation;Binnenoor implantatie;binnenoor implantatie;Binnenoor implantatie
120144006;Inner ear reconstruction;Binnenoor reconstructie;binnenoor reconstructie;Binnenoor reconstructie
120162002;Mediastinum implantation;mediastinum implantatie;mediastinum implantatie;mediastinum implantatie
120163007;Mediastinum injection;mediastinum injectie;mediastinum injectie;mediastinum injectie
120164001;Mediastinum closure;mediastinum sluiting;mediastinum sluiting;mediastinum sluiting
120165000;Mediastinum reconstruction;mediastinum reconstructie;mediastinum reconstructie;mediastinum reconstructie
120167008;Diaphragm closure;diafragma sluiting;diafragma sluiting;diafragma sluiting
120184002;Mesentery closure;mesenterium sluiting;mesenterium sluiting;mesenterium sluiting
120188004;Mesentery reconstruction;mesenterium reconstructie;mesenterium reconstructie;mesenterium reconstructie
120201000;Perineum closure;perineum sluiting;perineum sluiting;perineum sluiting
120204008;Perineum reconstruction;perineum reconstructie;perineum reconstructie;perineum reconstructie
120210008;Perineum manipulation;perineum manipulatie;perineum manipulatie;perineum manipulatie
120217006;Forearm incision;onderarm incisie;onderarm incisie;onderarm incisie
123679006;Arterial anastomosis;arteri ë le anastomose;arteri ë le anastomose;arteri ë le anastomose
125883007;Hemipatellectomy;Hemipatellectomy;hemipatellectomy;Hemipatellectomy
133874006;Selective fetal reduction;Selectieve foetale reductie;selectieve foetale reductie;Selectieve foetale reductie
171529006;Aspiration of cerebroventricular shunt;Aspiratie van cerebroventricular shunt;aspiratie van cerebroventricular shunt;Aspiratie van cerebroventricular shunt
172011006;Transsternal thymectomy;Transsternal thymectomie;transsternal thymectomie;Transsternal thymectomie
172120000;Open capsulotomy of breast;Open capsulotomie van de borst;open capsulotomie van de borst;Open capsulotomie van de borst
172667002;Plug myringoplasty;plug myringoplastiek;plug myringoplastiek;plug myringoplastiek
172732009;Implantation of intracochlear prosthesis;Implantatie van intracochlear prothese;implantatie van intracochlear prothese;Implantatie van intracochlear prothese
172733004;Implantation of extracochlear prosthesis;Implantatie van extracochlear prothese;implantatie van extracochlear prothese;Implantatie van extracochlear prothese
172812000;Cauterization of internal nose;Cauterisatie van de interne neus;cauterisatie van de interne neus;Cauterisatie van de interne neus
172887003;Craniofacial resection;craniofaciale resectie;craniofaciale resectie;craniofaciale resectie
172921000;Uncinectomy;Uncinectomy;uncinectomy;Uncinectomy
172938001;Pharyngolaryngoesophagectomy;Pharyngolaryngoesophagectomy;pharyngolaryngoesophagectomy;Pharyngolaryngoesophagectomy
173076000;Tracheopexy;Tracheopexy;tracheopexy;Tracheopexy
173764008;Reconstruction of gastrostomy;Reconstructie van gastrostomie;reconstructie van gastrostomie;Reconstructie van gastrostomie
173830003;Gastric lavage;maagspoeling;maagspoeling;Maagspoeling
173918008;Open jejunoscopy;Open jejunoscopy;open jejunoscopy;Open jejunoscopy
173962004;Ileotransverse colonic bypass;Ileotransverse colon bypass;ileotransverse colon bypass;Ileotransverse colon bypass
174000002;Strictureplasty of ileum;Strictureplasty van ileum;strictureplasty van ileum;Strictureplasty van ileum
174059005;Proctocolectomy;proctocolectomie;proctocolectomie;proctocolectomie
174333001;Excision of perianal wart;Excisie van perianale wratten;excisie van perianale wratten;Excisie van perianale wratten
174385004;Lateral sphincterotomy;laterale sfincterotomie;laterale sfincterotomie;laterale sfincterotomie
174425003;Orthotopic liver transplant;Orthotope levertransplantatie;orthotope levertransplantatie;Orthotope levertransplantatie
174966008;Open cardiac valvotomy;Open cardiale valvotomy;open cardiale valvotomy;Open cardiale valvotomy
175194006;Cardiotachygraphy;Cardiotachygraphy;cardiotachygraphy;Cardiotachygraphy
175262009;Open pulmonary embolectomy;Open pulmonale embolectomie;open pulmonale embolectomie;Open pulmonale embolectomie
175881006;Revascularization for impotence;Revascularisatie voor impotentie;revascularisatie voor impotentie;Revascularisatie voor impotentie
175988004;Nephrostogram;Nephrostogram;nephrostogram;Nephrostogram
176028006;Uretero-ureterostomy;Uretero - ureterostomie;uretero - ureterostomie;Uretero - ureterostomie
176117005;Cecocystoplasty;Cecocystoplasty;cecocystoplasty;Cecocystoplasty
176118000;Ileocecocystoplasty;Ileocecocystoplasty;ileocecocystoplasty;Ileocecocystoplasty
176258007;Open prostatectomy;Open prostatectomie;open prostatectomie;Open prostatectomie
176288003;Transurethral laser prostatectomy;Transurethrale laser prostatectomie;transurethrale laser prostatectomie;Transurethrale laser prostatectomie
176318007;Transurethral biopsy prostate;Transurethrale biopsie prostaat;transurethrale biopsie prostaat;Transurethrale biopsie prostaat
176547004;Prepuceplasty;Prepuceplasty;prepuceplasty;Prepuceplasty
176586000;Clitoroplasty;Clitoroplasty;clitoroplasty;Clitoroplasty
177170007;Piper forceps delivery;Piper tangverlossing;piper tangverlossing;Piper tangverlossing
177246004;Browlift;wenkbrauwlift;wenkbrauwlift;wenkbrauwlift
177256000;Thigh reduction;dij reductie;dij reductie;dij reductie
177279004;Excision of neurofibromata;Excisie van neurofibromata;excisie van neurofibromata;Excisie van neurofibromata
177594004;Piercing of ear lobe;Piercing van oorlel;piercing van oorlel;Piercing van oorlel
177923007;Excision of urachus;Excisie van urachus;excisie van urachus;Excisie van urachus
178055007;Dermatofasciectomy;Dermatofasciectomy;dermatofasciectomy;Dermatofasciectomy
178070008;Fasciotomy upper arm;Fasciotomie bovenarm;fasciotomie bovenarm;Fasciotomie bovenarm
178071007;Fasciotomy forearm;fasciotomie onderarm;fasciotomie onderarm;fasciotomie onderarm
178101005;Drainage of ganglion;Drainage van ganglion;drainage van ganglion;Drainage van ganglion
178203000;Reconstruction of tendon sheath;Reconstructie van peesschede;reconstructie van peesschede;Reconstructie van peesschede
178206008;Drainage of tendon sheath;Drainage van peesschede;drainage van peesschede;Drainage van peesschede
178384006;Biopsy of cranial lesion;Biopsie van craniale laesie;biopsie van craniale laesie;Biopsie van craniale laesie
178526006;Primary microdiscectomy of cervical intervertebral disc;Primaire microdiscectomie van cervicale tussenwervelschijf;primaire microdiscectomie van cervicale tussenwervelschijf;Primaire microdiscectomie van cervicale tussenwervelschijf
178538002;Revisional microdiscectomy of cervical intervertebral disc;Revisional microdiscectomie van cervicale tussenwervelschijf;revisional microdiscectomie van cervicale tussenwervelschijf;Revisional microdiscectomie van cervicale tussenwervelschijf
178618008;Primary lumbar discectomy;Primaire lumbale discectomie;primaire lumbale discectomie;Primaire lumbale discectomie
178631003;Revisional lumbar discectomy;Revisional lumbale discectomie;revisional lumbale discectomie;Revisional lumbale discectomie
178668000;Percutaneous discectomy;percutane discectomie;percutane discectomie;percutane discectomie
178669008;Laser discectomy;laser discectomie;laser discectomie;laser discectomie
178732003;Pyloroduodenotomy;Pyloroduodenotomy;pyloroduodenotomy;Pyloroduodenotomy
178796002;Biopsy of cervical vertebra;Biopsie van halswervel;biopsie van halswervel;Biopsie van halswervel
178914007;Excision of synostosis;Excisie van synostosis;excisie van synostosis;Excisie van synostosis
178934008;Complex osteotomy;complex osteotomie;complex osteotomie;complex osteotomie
179174007;Boot traction;boot tractie;boot tractie;boot tractie
179194003;Epiphysioplasty;Epiphysioplasty;epiphysioplasty;Epiphysioplasty
180223008;Intravenous immunotherapy;intraveneuze immunotherapie;intraveneuze immunotherapie;intraveneuze immunotherapie
181021005;Periosteotomy;Periosteotomy;periosteotomy;Periosteotomy
182513006;Intestinal intubation;intestinale intubatie;intestinale intubatie;intestinale intubatie
182514000;Intestinal drainage;intestinale drainage;intestinale drainage;intestinale drainage
184153002;Biopsy of inner ear;Biopsie van binnenoor;biopsie van binnenoor;Biopsie van binnenoor
197357002;Kutler amputation;Kutler amputatie;kutler amputatie;Kutler amputatie
197922007;Biopsy of lacrimal gland;Biopsie van traanklier;biopsie van traanklier;Biopsie van traanklier
209055006;Biopsy of middle ear;Biopsie van middenoor;biopsie van middenoor;Biopsie van middenoor
220187008;Hymenorrhaphy;Hymenorrhaphy;hymenorrhaphy;Hymenorrhaphy
225202008;Resiting intravenous infusion;Resiting intraveneuze infusie;resiting intraveneuze infusie;Resiting intraveneuze infusie
225202008;Resiting intravenous infusion;Resiting intraveneuze infusie;resiting intraveneuze infusie;Resiting intraveneuze infusie
225236002;Religaturing umbilical cord;Religaturing navelstreng;religaturing navelstreng;Religaturing navelstreng
229316007;Cervical traction;cervicale tractie;cervicale tractie;cervicale tractie
229318008;Lumbar traction;lumbale tractie;lumbale tractie;lumbale tractie
229475000;Wrist stretching;pols stretching;pols stretching;pols stretching
229479006;Knee stretching;knie stretching;knie stretching;knie stretching
229482001;Hamstring stretching;hamstring stretching;hamstring stretching;hamstring stretching
229838003;Removal of onychophosis;Verwijdering van onychophosis;verwijdering van onychophosis;Verwijdering van onychophosis
230878007;Removal of ventriculoperitoneal shunt;Verwijdering van ventriculoperitoneale shunt;verwijdering van ventriculoperitoneale shunt;Verwijdering van ventriculoperitoneale shunt
230976007;Faciofacial anastomosis;Faciofacial anastomose;faciofacial anastomose;Faciofacial anastomose
231162001;Lumbar plexus block;Lumbale plexus block;lumbale plexus block;Lumbale plexus block
231293005;Intradermal infiltration;intradermale infiltratie;intradermale infiltratie;intradermale infiltratie
231390006;Cervical epidural neurolysis;Cervicale epidurale neurolyse;cervicale epidurale neurolyse;Cervicale epidurale neurolyse
231391005;Thoracic epidural neurolysis;Thoracale epidurale neurolyse;thoracale epidurale neurolyse;Thoracale epidurale neurolyse
231601005;Correction of medial ectropion;Correctie van mediale ectropion;correctie van mediale ectropion;Correctie van mediale ectropion
231710008;Keratomileusis;keratomileusis;keratomileusis;keratomileusis
231730007;Iridoplasty;Iridoplasty;iridoplasty;Iridoplasty
231734003;Trabeculoplasty;trabeculoplastiek;trabeculoplastiek;trabeculoplastiek
231735002;Surgical trabeculoplasty;chirurgische trabeculoplastiek;chirurgische trabeculoplastiek;chirurgische trabeculoplastiek
231739008;Iridocyclochoroidectomy;Iridocyclochoroidectomy;iridocyclochoroidectomy;Iridocyclochoroidectomy
231740005;Cyclochoroidectomy;Cyclochoroidectomy;cyclochoroidectomy;Cyclochoroidectomy
231754002;Biopsy of vitreous;Biopsie van glasvocht;biopsie van glasvocht;Biopsie van glasvocht
231766008;Pneumatic retinopexy;pneumatische retinopexie;pneumatische retinopexie;pneumatische retinopexie
231774009;Retinotomy;Retinotomy;retinotomy;Retinotomy
231775005;Retinectomy;Retinectomy;retinectomy;Retinectomy
231792001;Ventriculolumbar shunt with valve;Ventriculolumbar shunt met klep;ventriculolumbar shunt met klep;Ventriculolumbar shunt met klep
232191001;Platinectomy;Platinectomy;platinectomy;Platinectomy
232481001;Septodermoplasty;Septodermoplasty;septodermoplasty;Septodermoplasty
232499009;Inferior meatal antrostomy;Inferior meatal antrostomie;inferior meatal antrostomie;Inferior meatal antrostomie
232507002;Excision of plantar fascia;Excisie van fascia plantaris;excisie van fascia plantaris;Excisie van fascia plantaris
232554003;Epiglottopexy;Epiglottopexy;epiglottopexy;Epiglottopexy
232645008;Pleuropneumonectomy;Pleuropneumonectomy;pleuropneumonectomy;Pleuropneumonectomy
232647000;Pneumonectomy with tracheobronchoplasty;Pneumonectomie met tracheobronchoplasty;pneumonectomie met tracheobronchoplasty;Pneumonectomie met tracheobronchoplasty
232668004;Tongue traction;tong tractie;tong tractie;tong tractie
232674004;Orotracheal intubation;Orotracheal intubatie;orotracheal intubatie;Orotracheal intubatie
232679009;Nasotracheal intubation;nasotracheale intubatie;nasotracheale intubatie;nasotracheale intubatie
232687005;Endobronchial intubation;endobronchiale intubatie;endobronchiale intubatie;endobronchiale intubatie
232704006;Tracheobronchial lavage;tracheobronchiale lavage;tracheobronchiale lavage;tracheobronchiale lavage
232740008;Mitral valve operation;Mitralisklep operatie;mitralisklep operatie;Mitralisklep operatie
232850000;Aortoventriculoplasty;Aortoventriculoplasty;aortoventriculoplasty;Aortoventriculoplasty
232851001;Konno aortoventriculoplasty;Konno aortoventriculoplasty;konno aortoventriculoplasty;Konno aortoventriculoplasty
232872003;Pulmonary valvectomy;pulmonale valvectomy;pulmonale valvectomy;pulmonale valvectomy
232873008;Open pulmonary valvectomy;Open pulmonale valvectomy;open pulmonale valvectomy;Open pulmonale valvectomy
232874002;Closed pulmonary valvectomy;Gesloten pulmonale valvectomy;gesloten pulmonale valvectomy;Gesloten pulmonale valvectomy
233041009;Open atrial fenestration;Open atriale fenestration;open atriale fenestration;Open atriale fenestration
233042002;Closed atrial fenestration;Gesloten atriale fenestration;gesloten atriale fenestration;Gesloten atriale fenestration
233061003;Resection of septomarginal trabeculation;Resectie van septomarginal trabeculation;resectie van septomarginal trabeculation;Resectie van septomarginal trabeculation
233309009;Endarterectomy of profunda femoris;Endarterectomie van profunda femoris;endarterectomie van profunda femoris;Endarterectomie van profunda femoris
233378000;Extra-anatomical bypass graft;Extra - anatomische bypass;extra - anatomische bypass;Extra - anatomische bypass
233379008;Axillobifemoral bypass graft;Axillobifemoral bypass;axillobifemoral bypass;Axillobifemoral bypass
233380006;Femorofemoral crossover bypass graft;Femorofemoral crossover bypass;femorofemoral crossover bypass;Femorofemoral crossover bypass
233448005;Femorofemoral venous crossover shunt;Femorofemoral veneuze crossover shunt;femorofemoral veneuze crossover shunt;Femorofemoral veneuze crossover shunt
233479009;Embolization of arteriovenous graft;Embolisatie van arterioveneuze graft;embolisatie van arterioveneuze graft;Embolisatie van arterioveneuze graft
233493002;Excision of arteriovenous graft;Excisie van arterioveneuze graft;excisie van arterioveneuze graft;Excisie van arterioveneuze graft
233591003;Hemoperfusion;hemoperfusie;hemoperfusie;hemoperfusie
234299008;Lymphonodovenous anastomosis;Lymphonodovenous anastomose;lymphonodovenous anastomose;Lymphonodovenous anastomose
234300000;Lymphovenous anastomosis;Lymphovenous anastomose;lymphovenous anastomose;Lymphovenous anastomose
234319005;Splenectomy;splenectomie;splenectomie;Splenectomie
234321000;Splenic cystogastrostomy;milt cystogastrostomy;milt cystogastrostomy;milt cystogastrostomy
234328006;Bone marrow trephine;Beenmerg trephine;beenmerg , trephine;Beenmerg trephine
234681007;Gingivectomy;gingivectomie;gingivectomie;Gingivectomie
235147008;Enteroscopy;enteroscopie;enteroscopie;enteroscopie
235148003;Push enteroscopy;push enteroscopie;push enteroscopie;push enteroscopie
235159007;Percutaneous endoscopic gastrostomy;Percutane endoscopische gastrostomie;percutane endoscopische gastrostomie;Percutane endoscopische gastrostomie
235226003;Finney pyloroplasty;Finney pyloroplastiek;finney pyloroplastiek;Finney pyloroplastiek
235249001;Gastric lavage with water;Maagspoeling met water;maagspoeling met water;Maagspoeling met water
235292006;Santulli enterostomy;Santulli enterostomie;santulli enterostomie;Santulli enterostomie
235378002;Mesh rectopexy;mesh rectopexie;mesh rectopexie;mesh rectopexie
235477008;Pancreaticojejunostomy;pancreaticojejunostomie;pancreaticojejunostomie;pancreaticojejunostomie
235566000;Biliary drainage;galwegdrainage;galwegdrainage;galwegdrainage
235568004;Bile duct drainage;Galweg drainage;galweg drainage;Galweg drainage
236148009;Open pyelostomy;Open pyelostomy;open pyelostomy;Open pyelostomy
236199002;Transurethral subureteric injection;Transurethrale subureteric injectie;transurethrale subureteric injectie;Transurethrale subureteric injectie
236209003;Salvage cystoprostatourethrectomy;Salvage cystoprostatourethrectomy;salvage cystoprostatourethrectomy;Salvage cystoprostatourethrectomy
236245000;Retropubic urethrolysis;retropubische urethrolysis;retropubische urethrolysis;retropubische urethrolysis
236267004;Vaginal urethrolysis;vaginale urethrolysis;vaginale urethrolysis;vaginale urethrolysis
236359005;Penile revascularization for impotence;Penis revascularisatie voor impotentie;penis revascularisatie voor impotentie;Penis revascularisatie voor impotentie
236886002;Hysterectomy;hysterectomie;hysterectomie;Hysterectomie
236887006;Laparoscopic hysterectomy;laparoscopische hysterectomie;laparoscopische hysterectomie;laparoscopische hysterectomie
236897002;Endometrial resection;endometrium resectie;endometrium resectie;endometrium resectie
236941004;Ampullosalpingoscopy;Ampullosalpingoscopy;ampullosalpingoscopy;Ampullosalpingoscopy
236942006;Microhysteroscopy;Microhysteroscopy;microhysteroscopy;Microhysteroscopy
236975003;Nonrotational forceps delivery;Nonrotational tangverlossing;nonrotational tangverlossing;Nonrotational tangverlossing
236976002;Outlet forceps delivery;Outlet tangverlossing;outlet tangverlossing;Outlet tangverlossing
237400005;Microdochectomy;Microdochectomy;microdochectomy;Microdochectomy
237490000;Mediastinoscopic thymectomy;Mediastinoscopic thymectomie;mediastinoscopic thymectomie;Mediastinoscopic thymectomie
238328000;Minithoracotomy;Minithoracotomy;minithoracotomy;Minithoracotomy
239306009;Osteotomy of glenoid;Osteotomie van glenoid;osteotomie van glenoid;Osteotomie van glenoid
239455004;Cheilectomy;Cheilectomy;cheilectomy;Cheilectomy
239547008;Spinal fusion for spondylolysis;Spinale fusie voor spondylolyse;spinale fusie voor spondylolyse;Spinale fusie voor spondylolyse
239591008;Midfoot amputation;middenvoet amputatie;middenvoet amputatie;middenvoet amputatie
239989009;Rectorectostomy;Rectorectostomy;rectorectostomy;Rectorectostomy
240926008;Percutaneous embolectomy;percutane embolectomie;percutane embolectomie;percutane embolectomie
240929001;Percutaneous thrombolysis;percutane trombolyse;percutane trombolyse;percutane trombolyse
241234000;Abdominal angiography;abdominale angiografie;abdominale angiografie;abdominale angiografie
241252000;Adrenal angiography;bijnier angiografie;bijnier angiografie;bijnier angiografie
241705007;Intravenous sedation;intraveneuze sedatie;intraveneuze sedatie;intraveneuze sedatie
247042001;Holth iridencleisis;Holth iridencleisis;holth iridencleisis;Holth iridencleisis
248352005;Permanent continent ileostomy;Permanente continent ileostoma;permanente continent ileostoma;Permanente continent ileostoma
251548005;Extrapetrosal drainage;Extrapetrosal drainage;extrapetrosal drainage;Extrapetrosal drainage
252471006;Electromagnetic flowmetry;elektromagnetische flowmetry;elektromagnetische flowmetry;elektromagnetische flowmetry
254952003;Lengthening of levator palpebrae muscle;Verlenging van levator palpebrae spier;verlenging van levator palpebrae spier;Verlenging van levator palpebrae spier
255098007;Auditory canaloplasty;auditieve canaloplasty;auditieve canaloplasty;auditieve canaloplasty
257866001;Intracardiac potassium chloride injection;Intracardiale kaliumchloride injectie;intracardiale kaliumchloride injectie;Intracardiale kaliumchloride injectie
260651001;Superior cordotomy;Superior chordotomie;superior chordotomie;Superior chordotomie
260663006;Laryngofissure;Laryngofissure;laryngofissure;Laryngofissure
261479009;Mediastinoscopy;mediastinoscopie;mediastinoscopie;Mediastinoscopie
261517000;Silver bunionectomy;Silver bunionectomy;silver bunionectomy;Silver bunionectomy
261529009;Excision of lash follicles;Excisie van lash follikels;excisie van lash follikels;Excisie van lash follikels
261532007;Fenestrectomy;Fenestrectomy;fenestrectomy;Fenestrectomy
262457001;Cervical mediastinoscopy;cervicale mediastinoscopie;cervicale mediastinoscopie;cervicale mediastinoscopie
264980004;Fasciotomy thigh;fasciotomie dij;fasciotomie dij;fasciotomie dij
265293008;Goniopuncture;Goniopuncture;goniopuncture;Goniopuncture
265294002;Surgical iridotomy;chirurgische iridotomie;chirurgische iridotomie;chirurgische iridotomie
265347008;Cardiomyotomy;Cardiomyotomy;cardiomyotomy;Cardiomyotomy
265380001;Jejunojejunal bypass;Jejunojejunal bypass;jejunojejunal bypass;Jejunojejunal bypass
265420002;Sponge rectopexy;spons rectopexie;spons rectopexie;spons rectopexie
265554003;Percutaneous pyelolysis;percutane pyelolysis;percutane pyelolysis;percutane pyelolysis
268419007;Gastroscopy - via stoma;Gastroscopie - via stoma;gastroscopie - via stoma;Gastroscopie - via stoma
271410001;Anorectal stretch;anorectale stretch;anorectale stretch;anorectale stretch
271416007;Reconstruction of cranial defect;Reconstructie van craniale defect;reconstructie van craniale defect;Reconstructie van craniale defect
274024009;Aneurysm clipping;aneurysma clipping;aneurysma clipping;aneurysma clipping
274031008;Rectal polypectomy;rectale poliepectomie;rectale poliepectomie;rectale poliepectomie
274050008;Osteotomy for hallux valgus;Osteotomie voor hallux valgus;osteotomie voor hallux valgus;Osteotomie voor hallux valgus
274324002;Endoscopic rectum biopsy;Endoscopische rectum biopsie;endoscopische rectum biopsie;Endoscopische rectum biopsie
274324002;Endoscopic rectum biopsy;Endoscopische rectum biopsie;endoscopische rectum biopsie;Endoscopische rectum biopsie
274353001;Anal surgical biopsy;Anale chirurgische biopsie;anale chirurgische biopsie;Anale chirurgische biopsie
274469009;Fascia stretching;fascia stretching;fascia stretching;fascia stretching
274473007;Fetal manipulation;foetale manipulatie;foetale manipulatie;foetale manipulatie
274485004;Halo skull traction;Halo schedel tractie;halo schedel tractie;Halo schedel tractie
274803000;Examination of tympanic membrane;Onderzoek van trommelvlies;onderzoek van trommelvlies;Onderzoek van trommelvlies
274974008;Endoscopic endometrial polypectomy;Endoscopische endometrium poliepectomie;endoscopische endometrium poliepectomie;Endoscopische endometrium poliepectomie
275010000;Drainage of pericolonic tissue;Drainage van pericolonic weefsel;drainage van pericolonic weefsel;Drainage van pericolonic weefsel
275033004;Bileaflet mitral valve replacement;Bileaflet mitralisklepvervanging;bileaflet mitralisklepvervanging;Bileaflet mitralisklepvervanging
275090004;Removal of toenail;Verwijdering van teennagel;verwijdering van teennagel;Verwijdering van teennagel
275249009;Correction of scoliosis;Correctie van scoliose;correctie van scoliose;Correctie van scoliose
276017006;Gastrografin swallow;Gastrografin zwaluw;gastrografin zwaluw;Gastrografin zwaluw
276018001;Gastrografin meal;Gastrografin maaltijd;gastrografin maaltijd;Gastrografin maaltijd
276747001;Uncinectomy and polypectomy;Uncinectomy en poliepectomie;uncinectomy en poliepectomie;Uncinectomy en poliepectomie
276976008;Percutaneous arterial embolectomy;Percutane arteri ë le embolectomie;percutane arteri ë le embolectomie;Percutane arteri ë le embolectomie
277263004;Nasal decrusting;nasale decrusting;nasale decrusting;nasale decrusting
277437006;Bronchial revascularization;bronchiale revascularisatie;bronchiale revascularisatie;bronchiale revascularisatie
277578005;Biliary dilatation intervention;Biliaire dilatatie interventie;biliaire dilatatie interventie;Biliaire dilatatie interventie
277762005;Lumbar puncture;Lumbaalpunctie;lumbaalpunctie;Lumbaalpunctie
278717009;Perirectal incision;perirectaal incisie;perirectaal incisie;perirectaal incisie
278872003;Intravenous regional analgesia;Intraveneuze regionale analgesie;intraveneuze regionale analgesie;Intraveneuze regionale analgesie
281754001;Drainage of intramuscular abscess;Drainage van intramusculaire abces;drainage van intramusculaire abces;Drainage van intramusculaire abces
283165009;Decompression laminectomy;decompressie laminectomie;decompressie laminectomie;decompressie laminectomie
287235008;Lacrimal sac drainage;Traanzak drainage;traanzak drainage;Traanzak drainage
287239002;Thymus transplantation;thymus transplantatie;thymus transplantatie;thymus transplantatie
287292009;Infarct myocardiectomy;infarct myocardiectomy;infarct myocardiectomy;infarct myocardiectomy
287332008;Cardioplasty;Cardioplasty;cardioplasty;Cardioplasty
287549000;Percutaneous needle lymphatic biopsy;Percutane naald lymfatische biopsie;percutane naald lymfatische biopsie;Percutane naald lymfatische biopsie
287599001;Retrograde angiocardiography;retrograde angiocardiografie;retrograde angiocardiografie;retrograde angiocardiografie
287600003;Venous catheter angiocardiography;Veneuze katheter angiocardiografie;veneuze katheter angiocardiografie;Veneuze katheter angiocardiografie
287644000;Supramalleolar ankle amputation;Supramalleolar enkel amputatie;supramalleolar enkel amputatie;Supramalleolar enkel amputatie
287666007;Compression sclerosis;compressie sclerose;compressie sclerose;compressie sclerose
287673002;Perianal cauterization;perianale cauterisatie;perianale cauterisatie;perianale cauterisatie
287696002;Atrial overdrive pacing;Atriale overdrive pacing;atriale overdrive pacing;Atriale overdrive pacing
287719000;Male pelvic clearance;Mannelijke bekken klaring;mannelijke bekken klaring;Mannelijke bekken klaring
287735007;Nephrotomy with exploration;Nephrotomy met exploratie;nephrotomy met exploratie;Nephrotomy met exploratie
287736008;Nephrotomy with drainage;Nephrotomy met drainage;nephrotomy met drainage;Nephrotomy met drainage
287779005;Prostatotomy and drainage;Prostatotomy en drainage;prostatotomy en drainage;Prostatotomy en drainage
287786002;Decompression of rectum;Decompressie van rectum;decompressie van rectum;Decompressie van rectum
287829003;Enterotomy for drainage;Enterotomie voor drainage;enterotomie voor drainage;Enterotomie voor drainage
287962007;Postpartum uterine exploration;Postpartum baarmoeder exploratie;postpartum baarmoeder exploratie;Postpartum baarmoeder exploratie
290649006;Chest wall manipulation;Borstwand manipulatie;borstwand manipulatie;Borstwand manipulatie
291702009;Tympanosympathectomy;Tympanosympathectomy;tympanosympathectomy;Tympanosympathectomy
299693003;Biopsy of jejunum;Biopsie van jejunum;biopsie van jejunum;Biopsie van jejunum
300012004;Intercostal neurectomy;intercostale neurectomie;intercostale neurectomie;intercostale neurectomie
300022005;Diathermy of perineal warts;Diathermie van perineale wratten;diathermie van perineale wratten;Diathermie van perineale wratten
300026008;Cryotherapy of basal cell carcinoma;Cryotherapie van basaalcelcarcinoom;cryotherapie van basaalcelcarcinoom;Cryotherapie van basaalcelcarcinoom
301088001;Biopsy of pylorus;Biopsie van pylorus;biopsie van pylorus;Biopsie van pylorus
301891000;Resurfacing arthroplasty;resurfacing artroplastiek;resurfacing artroplastiek;resurfacing artroplastiek
302354002;Small intestinal strictureplasty;Dunne darm strictureplasty;dunne darm strictureplasty;Dunne darm strictureplasty
302369001;Clitoridectomy;clitoridectomie;clitoridectomie;clitoridectomie
302381002;Placental biopsy;placenta biopsie;placenta biopsie;placenta biopsie
302410007;Primary suture of skin;Primaire hechting van de huid;primaire hechting van de huid;Primaire hechting van de huid
302416001;Removal of metal from skin;Verwijdering van metaal uit de huid;verwijdering van metaal uit de huid;Verwijdering van metaal uit de huid
