SNOMED conceptID;SNOMED term
88373008;Medical procedure on nasopharynx	
88378004;Non-invasive study of peripheral vessel	
88379007;Fasciocutaneous flap to extremity	
88395007;Neuroplasty of major peripheral nerve of arm	
88398009;Transurethral lysis of adhesions of bladder	
88416005;Arthrotomy of ankle with drainage	
88417001;Transplantation of seminal vesicle	
88419003;Chiropractic adjustment of temporomandibular joint subluxation	
88420009;Neuroplasty of major peripheral nerve branch of sciatic nerve	
88421008;Closure of rectovaginal fistula by abdominal approach	
88429005;Intramedullary nailing of ulna	
88433003;Estrogen measurement	
88437002;Apexification/recalcification, initial visit	
88444006;Partial excision of fibula	
88447004;Removal of internal fixation device from tarsals and metatarsals	
88450001;Embolization of artery of head	
88459000;Manipulation of ureteral calculus by catheter	
88466004;Transposition of joint capsule	
88470007;Open reduction of closed shoulder dislocation	
88482003;Orthoptic-pleoptic treatment	
88498005;Compatibility test, crossmatch, screening for compatible unit, enzyme technique	
88504002;Radiography for bone age studies	
88517004;Incision of floor of mouth	
88532006;Cold water bath hydrotherapy	
88549004;Arthroplasty of carpocarpal joint with implant	
88553002;Removal of cardioverter/defibrillator pulse generator without replacement	
88572002;Injection of alcohol into nerve	
88584000;Evacuation of subungual hematoma	
88592009;Gill operation for arthrodesis of shoulder	
88604006;Administration of scarlet fever antitoxin	
88607004;Dysphasia training	
88621002;Metatarsal compression test	
88623004;Excision of lesion of larynx	
88624005;Arthroscopy of toe	
88626007;Suture of bursa	
88628008;Ultrasonography of lung	
88629000;Agar dilution MIC susceptibility test for anaerobes	
88629000;Agar dilution minimum inhibitory concentration susceptibility test for anaerobes	
88632002;Splenopexy	
88642000;Anal cryptectomy, multiple	
88645003;Bicarbonate measurement	
88652001;Suture of major peripheral nerve of arm including transposition	
88655004;Repair of varicocele	
88657007;Manipulation of seminal vesicle	
88658002;Anesthesia for transurethral resection of bladder tumor	
88663003;Thoracic aortography with serialography	
88666006;Correction of chordee without mobilization of urethra	
88667002;Viral serologic study	
88669004;Implantation of Rickham reservoir	
88684008;Replacement of prosthesis of acetabulum	
88695002;Class in walking reeducation, nervous system	
88696001;Division of tympanum	
88698000;Cytotoxicity assay for endothelial/monocyte antigen	
88701008;Diagnostic arthroscopy of elbow with synovial biopsy	
88702001;Suture of infrapatellar tendon, primary	
88705004;Insulin C-peptide measurement	
88708002;Chemical test, quantitative	
88713003;Transection of lingual nerve	
88717002;Removal of foreign body of tunica vaginalis	
88722002;Initial implantation of electrode into cardiac atrium	
88726004;Biofeedback, electrocardiogram	
88732009;Implantation of Swanson prosthesis of wrist	
88733004;Operation on nose	
88734005;Renal pyelostomy	
88745008;Diagnostic radiography of uterus for fetal age, fetal position and/or placental localization	
88748005;Cholelithotomy	
88752005;Formation of pupil by iridectomy	
88762003;Toe to finger transfer, second stage	
88778001;Separation of blood unit into aliquots	
88784003;Transplantation of artery of lower extremity	
88786001;Operculectomy	
88791000;Simple repair of wounds of extremities	
88799003;Removal of prosthesis of joint structures of shoulder	
88810008;Alkaline phosphatase measurement	
88812000;Excision of lesion of ciliary body	
88815003;Peripheral block anesthesia	
88816002;Equalization of leg by epiphyseal stapling of femur	
88820003;Aldosterone measurement, urine	
88821004;Vascular bypass of renal artery	
88823001;Serologic test for influenza virus B	
88829002;Costoclavicular maneuver	
88834003;Construction of shunt	
88840005;freeing of anterior synechiae of iris by injection of air or liquid	
88842002;Arthrotomy of ankle with joint exploration and removal of foreign body	
88848003;Psychiatric follow-up	
88849006;Esophagoesophagostomy	
88849006;Esophagesophagostomy	
88851005;Cerebral ventricular to thoracic cavity shunt	
88853008;Removal of blood clot from ureter by incision	
88856000;Glucose measurement, 2 hour post prandial	
88859007;Angiectomy with graft replacement of upper limb artery	
88865007;Destructive procedure of small intestine	
88868009;Transposition of cranial and peripheral nerves	
88872008;Bilateral endoscopic ligation and crushing of fallopian tubes	
88875005;Orthopedic examination under general anesthesia	
88884005;Alpha-1-antitrypsin phenotyping	
88888008;Excision of lesion of duodenum	
88892001;Incision and drainage of infected bursa of leg	
88892001;Incision and drainage of infected bursa of lower leg	
88893006;Intubation of common bile duct for decompression	
88904009;Repair of epicanthus	
88908007;Rectal massage for levator spasm	
88912001;Anesthesia for procedure on arteries of forearm, wrist and hand	
88914000;Radiography of pelvic bones	
88916003;Anoscopy	
88925009;Chart review by physician with change in entry	
88930008;Recipient nephrectomy	
88930008;Total nephrectomy in recipient	
88932000;Lactate dehydrogenase isoenzymes measurement	
88935003;Spleen imaging with vascular flow	
88937006;introduction of prosthesis	
88960003;Chromosome analysis	
88961004;Excision of lesion of nasopharynx	
88965008;Muscular endurance development exercise	
88966009;Destruction of intervertebral disc by injection	
88967000;L-pyrrolidonyl-beta-naphthylamide test	
88971002;Embolization of artery of upper limb	
88974005;Repair of cisterna chyli	
89002000;Therapeutic ultrasound	
89003005;Oral temperature taking	
89005003;Excision of Morton's neuroma of peripheral nerve	
89038007;Operative procedure on iris	
89044006;Change in bone length of thorax, ribs or sternum	
89046008;Anesthesia for osteotomy of humerus	
89053004;Vaginal cesarean section	
89061009;Removal of implanted material from posterior segment of eye, extraocular	
89063007;Open reduction of closed ulnar shaft fracture	
89070007;General durotomy	
89078000;Serologic test for Ehrlichia canis	
89079008;Venotripsy	
89106004;Harvesting of tendon	
89108003;Arthroplasty with proximal humeral implant	
89113004;Pregnanediol measurement	
89116007;Schilling test with intrinsic factor	
89118008;Fluoroscopic localization for transbronchial biopsy	
89123008;Bilateral repair of inguinal hernia, direct and indirect	
89153001;Extracapsular extraction of cataract by rotoextraction with aspiration by posterior route	
89157000;Capsulotomy of midtarsal region	
89163009;Fine needle biopsy of stomach	
89173006;Anesthesia for closed procedure on radius, ulna, wrist or hand bones	
89176003;Implantation of vitreous for retinal reattachment with buckling	
89193003;Medial fasciotomy of elbow with stripping	
89207003;Destruction of lesion of urethra	
89212002;Urinary manometry	
89226006;Fibrinogen inhibitor assay	
89230009;Closure of ureterovesical fistula	
89234000;Microbial smear, dark field examination	
89240007;Blood vessel thermography	
89245002;Cauterization of lesion of vagina	
89246001;Tympanoplasty type V with fenestra in semicircular canal	
89250008;Drainage of vertebral column	
89283001;Antibody to Ku measurement	
89286009;Diagnostic sphenoid endoscopy	
89287000;Open reduction of closed humeral fracture with external skeletal fixation	
89291005;Orthodontic dental consultation and report	
89297009;Replacement of temporary transvenous pacemaker system	
89299007;Interim complete lower denture	
89300004;Incision and exploration of small intestine	
89305009;Abdominal paracentesis	
89311007;Endoscopic biopsy of jejunum	
89325008;Cauterization of ovary	
89329002;Removal of artificial urinary bladder sphincter	
89330007;Aneurysmectomy with graft replacement of lower limb vein	
89332004;Radical resection of sternum for osteomyelitis	
89333009;Division of abdominal varicose vein	
89334003;Patient discharge, deceased, to anatomic board	
89337005;Endoscopic biopsy of ileum	
89339008;Partial colectomy with coloproctostomy and colostomy	
89343007;Ultrasound study follow-up	
89344001;Intramedullary nailing of femur	
89346004;Delivery by Kielland rotation	
89352003;Repair of tendon of hand by graft or implant of fascia	
89355001;Discectomy for intervertebral herniated disc, nucleus pulposus	
89367004;Correction of bunionette	
89370000;Transplantation of hair follicles of eyelid	
89383004;Osteoplasty of tibia and fibula, lengthening	
89388008;Displacement therapy of nose, Proetz type	
89393006;Reconstruction of ossicles with tympanoplasty	
89398002;Insertion of implantable intra-arterial infusion pump	
89408005;Incision and drainage of forearm for deep abscess	
89411006;Excision of deep cervical lymph nodes	
89432003;Lemesurier operation, cleft lip repair	
89438004;Endoscopic catheterization of pancreatic duct system	
89441008;Jejunocolostomy for obesity	
89462009;Citrate utilization test	
89472007;Incision and drainage of popliteal space	
89473002;Exploration of tendon	
89481001;Suture of mouth	
89483003;Esophagoscopy for control of hemorrhage	
89495003;Destructive procedure on uterus and supporting structures	
89511008;Check artificial pacemaker for voltage threshold	
89516003;Spinal injection of alcohol	
89517007;Clotting factor XIII assay, screen	
89521000;Sensory and motor testing	
89522007;Colocolostomy	
89528006;Cystourethroplasty with unilateral ureteroneocystostomy	
89529003;Coffey operation on uterus	
89540006;Segmental excision and ligation	
89542003;Excision of periaortic lymph nodes	
89560003;Psychiatric somatotherapy	
89562006;Abrasion of epicardial surface	
89572009;Incision and drainage of lacrimal gland	
89575006;Injection of sympathetic ganglion	
89587004;Removal of foreign body from abdominal cavity	
89606003;Politzerization of eustachian tube	
89607007;Exploration of intracranial vein	
89609005;Curettage of tendon sheath of hand	
89610000;Suture of kidney	
89621009;Osteoplasty of carpal or metacarpal	
89622002;Removal of blood clot from anterior segment of eye	
89634005;Microbial identification kit, rapid strep method	
89642006;Anterior resection of rectum with colostomy	
89643001;Osteoplasty of mandible	
89646009;Closure of intestinocolonic fistula	
89659001;Amylase measurement, serum	
89666000;Cardiopulmonary resuscitation	
89671007;Repair of artery with patch graft	
89693002;Catheterization of hepatic vein	
89703000;Potter's obstetrical version	
89710006;Exploration of bursa	
89724005;Rorschach test	
89726007;Drainage of ovary by incision	
89732002;Drug of abuse screen	
89737008;Verapamil measurement	
89746002;Cauterization of adenoid fossa	
89754000;RBC antibody detection	
89754000;Red blood cell antibody detection	
89758002;Partial phalangectomy	
89759005;Secondary repair of ruptured Achilles tendon	
89770003;Anal sphincterotomy	
89788006;Magnet extraction of foreign body from posterior segment of eye	
89793009;Tri-iodothyronine measurement, total	
89798000;Acetylsalicylic acid measurement, quantitative	
89812006;Operation on hymen	
89814007;Repair of ventricular septal defect with prosthesis	
89826002;Nasogastric tube irrigation	
89830004;Osteoclasis of radius	
89833002;Biofeedback, respiratory air volume	
89834008;Cyclohexamide resistance test for molds	
89844005;Surgical reduction of torsion of testis with orchiopexy	
89846007;Orthopantogram	
89849000;High forceps delivery	
89852008;Excision of distal ulna	
89857002;Semen analysis, count only	
89862001;Repair of lung	
89877009;Core needle biopsy of intra-abdominal mass	
89887008;Incomplete sentence test	
89888003;Bisection of stapes footplate	
89898009;Tensing of orbicularis oculi muscle	
89899001;Repair of inguinal hernia with prosthesis or graft, indirect	
89900006;Porphyrin measurement, feces, quantitative	
89901005;Operative procedure on head	
89909007;Employment environmental intervention	
89911003;Retrograde filling per root	
89915007;Malleostapediopexy	
89916008;Medical procedure on perivesical tissue	
89917004;Diagnostic injection of sinus tract	
89942008;Removal of foreign body of iris by incision	
89946006;Pulmonary vein to atrium shunt construction	
89950004;Excision of condyle of bone	
89951000;U-tube hepaticoenterostomy	
89955009;Education of bed-bound child	
89956005;Removal of calculus of lacrimal canaliculi by incision	
89957001;Operation on lacrimal gland	
89961007;Fibrinolysin assay, screening	
89964004;Excision of lesion of bone of radius	
89967006;Partial cholecystectomy	
89978003;Intracapsular extraction of lens with iridectomy for dislocated lens	
89999000;Operation on broad ligament	
90010006;Ligation of blood vessel	
90021002;Esophagoduodenostomy	
90033007;Ligation of middle meningeal artery	
90042000;Encainide measurement	
90061001;Ligation of descending aorta	
90063003;Pyloric antrectomy	
90065005;Open reduction of fracture of hand	
90076009;Partial excision of external ear	
90078005;Lymphocyte transformation with mitogen culture	
90079002;Removal of foreign body of epididymis	
90084008;Magnetic resonance imaging without contrast	
90089003;Surgical occlusion of thoracic artery	
90090007;Anastomosis of pancreatic duct	
90102008;Social psychotherapy	
90103003;Coproporphyrinogen oxidase measurement erythrocytes	
90105005;Biopsy of soft tissue of forearm, superficial	
90110009;Thermotolerance test for molds	
90115004;Lengthening of bone of tibia	
90125009;Biofeedback training by electro-oculogram application in blepharospasm	
90131007;Arthrocentesis	
90133005;Grafting of pelvic bone	
90146000;Injection of salivary gland	
90155002;Curettage of corneal epithelium with chemocauterization	
90161004;Arteriectomy with anastomosis	
90164007;Trabeculodialysis	
90169002;Removal of foreign body from perivesical tissue	
90173004;Transcatheter therapy by infusion	
90174005;Arylsulfatase A measurement, leukocytes	
90183000;Division of vaginal septum	
90185007;Hepatitis B core antigen measurement	
90196004;Paraplegia-paraparesis rehabilitation	
90197008;Lip shave	
90199006;Transurethral prostatectomy	
90203006;Injection of tendon sheath	
90205004;Cardiac revascularization with bypass anastomosis	
90223007;Diagnostic radiography of soft tissues	
90226004;Cytopathology procedure, preparation of smear, genital source	
90231002;Catecholamines, fractionation measurement, urine	
90233004;Open reduction of open sternoclavicular dislocation, chronic, with fascial graft	
90239000;Osteotomy of shaft of femur	
90240003;Frontal sinusotomy with trephine	
90243001;Destruction of lesion of retina by diathermy	
90246009;Probing of nasolacrimal duct	
90249002;Pneumocentesis	
90251003;Diagnostic procedure on clavicle	
90252005;Open osteotomy of mandibular angle	
90269007;Operative procedure on artery of head and neck	
90273005;Talectomy for foot stabilization	
90278001;Secluding patient	
90284003;Attachment of orbicularis oculi to eyebrow	
90287005;Thalamectomy	
90297001;Closure of thoracointestinal fistula	
90312005;Repair of malunion, of femur, distal to head and neck	
90320007;ELISA by avidin biotin peroxidase complex method	
90320007;Enzyme linked immunosorbent assay (ELISA) by avidin biotin peroxidase complex method	
90320007;Enzyme linked immunosorbent assay by avidin biotin peroxidase complex method	
90327005;Periodontic adjunctive service	
90329008;Fine needle biopsy of retroperitoneal mass	
90333001;Direct thrombectomy of vena cava by leg incision	
90337000;Removal of implantable intravenous infusion pump	
90345005;Core needle biopsy of trachea	
90351000;Direct repair of artery of upper extremity	
90358006;Closed reduction of fracture of humerus without internal fixation	
90360008;Suture of ligament of foot	
90372002;Excision of osseous tuberosities of dentoalveolar structures	
90378003;Biofeedback training by electromyogram application in tension headache	
90380009;Removal of pyelostomy and nephrostomy tubes	
90394005;Anesthesia for augmentation mammoplasty	
90405002;Complete meniscectomy of temporomandibular joint	
90407005;Evaluation of psychiatric state of patient	
90410003;Wedge resection of stomach	
90417000;Cervical arthrodesis by posterior technique	
90423005;Removal of electrodes from peripheral nerve with synchronous replacement	
90438006;Delivery by Malstrom's extraction	
90442009;Cerclage of cervix during pregnancy by vaginal approach	
90449000;Endoscopy of retroperitoneum	
90451001;Neurotomy of lacrimal branch nerve	
90454009;Injection of anesthetic agent into greater occipital nerve	
90455005;Medical procedure on respiratory tract	
90463006;Meatotomy of urethra of infact	
90463006;Meatotomy of urethra of infant	
90464000;Repair of diastasis recti	
90470006;Prostatectomy	
90472003;Repair of round ligament of uterus	
90473008;Anesthesia for MRI scan	
90473008;Anesthesia for magnetic resonance imaging scan	
90476000;Creation of subclavian-vertebral artery shunt	
90481009;Thromboendarterectomy with graft of deep profunda femoral artery	
90487008;Aortocoronary bypass of two coronary arteries	
90490002;Tenolysis of extensor tendon of forearm	
90491003;Antibody capture EIA test	
90491003;Antibody capture enzyme immunoassay test	
90499001;Thromboendarterectomy with graft of axillary-brachial artery	
90515006;Repair of laceration of large vein	
90521005;Disarticulation of thumb	
90523008;Computerized axial tomography of lumbar spine with contrast	
90524002;Closure of esophagopleurocutaneous fistula	
90526000;Initial evaluation and management of healthy individual	
90527009;Laparoscopic-assisted anterior resection of rectum	
90533000;Platelet factor 3 release test	
90543002;Replacement of electronic heart device, transvenous electrode	
90548006;Medical procedure on lips	
90551004;Excisional biopsy of bone of ulna	
90552006;Subtrochanteric osteotomy with internal fixation and cast	
90554007;Removal of foreign body from muscle of hand	
90564003;Field block design and fabrication	
90565002;Bilateral repair of inguinal hernia, indirect	
90589009;Removal of superficial foreign body from eye without incision	
90600001;Division of brain tissue for cortical adhesions	
90603004;Restriction fragment length polymorphism analysis	
90609000;Operation for bone injury of phalanges of hand	
90621001;Specimen dispatch and referral, complex	
90622008;Sodium chloride tolerance test (6.5%)	
90629004;Needling of hydrocephalic head	
90640007;Coronavirus vaccination	
90648000;Partial cystectomy with reimplantation of ureter into bladder	
90650008;Lengthening of tendon of hand	
90651007;Anesthesia for liver transplant, recipient	
90660004;Application of dressing for burn	
90663002;Tolerance test, oral	
90665009;Antibody to epidermal antigen measurement	
90681004;Suture of spinal dura mater	
90686009;Angiography of arteries of extremities, bilateral	
90689002;Stain, iron, blood or bone marrow	
90689002;Iron stain method, blood or bone marrow	
90690006;Arsenic measurement, urine	
90697009;Imaging of adrenal cortex	
90705003;Extracorporeal shockwave lithotripsy of the bile duct	
90707006;Implantation of tongue	
90711000;Radiography of uterus	
90713002;Wiring of sternum	
90722001;Removal of supernumerary finger	
90728002;Intra-atrial recording	
90730000;Repair of vas deferens	
90741003;Catell infant intelligence scale	
90742005;Hysteroscopy with endometrial ablation	
90744006;Fibrinogen assay	
90747004;Diagnostic procedure on muscle	
90750001;Biopsy of tonsil	
90775002;Reduction of closed hyoid fracture with manipulation	
90775002;Manual reduction of closed fracture of hyoid bone	
90777005;Compatibility test, crossmatch, minor, includes recipient and donor typing and antibody screening	
90783008;Cryoextraction	
90788004;Revision of stoma of rectum	
90798005;Minor crossmatch	
90805008;Diagnostic radiography of lumbar spine	
90807000;Biopsy of lymphatic structure	
90810007;Removal of embolus of bovine graft	
90814003;Coagulation or electrocoagulation of arteriovenous fistula	
90817005;Home care by visiting nurse	
90827004;Arthroplasty of knee, condyle and plateau, medial compartment	
90838004;Removal of gastrostomy tube	
90843006;Grafting of thumb for reconstruction	
90844000;Anesthesia for endoscopic procedure on head and neck	
90852002;percutaneous injection of therapeutic substance into cyst of kidney	
90853007;Factor VIII: C assay	
90854001;Revision of filtering bleb	
90856004;Total excision of small intestine	
90864005;Special autopsy procedure, explain by report	
90871000;Grafting of fascia to tarsal cartilage	
90877001;Excision of thoracic varicose vein	
90883003;Vascular impedance determination	
90897006;Anesthesia for transvenous pacemaker insertion	
90899009;Closed reduction of fracture of phalanges of hand with internal fixation	
90904008;Removal of utricle of labyrinth	
90907001;Shortening of tendon of hand	
90915003;Excision of bone for graft	
90931006;Introduction of catheter into carotid artery	
90939008;Transplantation of penis	
90941009;Aspiration of nasal sinus	
90952003;Antibody to histone measurement	
90954002;Cystourethroscopy with internal female urethrotomy	
90964006;Removal of cervical collar	
90965007;Arthrectomy of ankle	
90976006;Endoscopy of jejunum	
90982009;Wedge filter design and fabrication	
90983004;Partial excision of bone, superficial	
90989000;Arteriectomy of thoracic aorta	
90991008;Periprosthetic capsulectomy of breast	
90992001;Venous thrombosis study with radioactive fibrinogen	
90997007;Removal of foreign body from posterior segment of eye without use or magnet	
90997007;Removal of foreign body from posterior segment of eye without use of magnet	
90999005;Division of artery of head and neck	
91005004;Audiological evaluation	
91008002;Bone imaging, tomographic	
91015005;Creation of oleothorax	
91024001;Removal of internal penile prosthesis	
91045008;Destruction of tissue of mediastinum	
91047000;Retinoids measurement	
91049002;Heparin-protamine titration assay	
91073005;Repair of intrinsic muscles of hand	
91084003;Gonioscopy with evaluation	
91090004;Monitoring of ECG and pressure during major surgery	
91092007;Myotenontoplasty of hand	
91094008;Porphyrin measurement, total, erythrocytes	
91096005;Monitoring of ECG at surgery	
91096005;Monitoring of electrocardiogram at surgery	
91097001;Neuromuscular procedure	
91101005;Operation on ligament	
91114006;Uterine implantation of radium	
91115007;Cardiac catheterization, left heart, combined transseptal and retrograde	
91119001;Abdominal lymphangiogram	
91130003;Euthanasia by barbiturate	
91157001;Graft of fascia	
91157001;Grafting of fascia	
91160008;Transcricoid bronchography	
91161007;Pedal pulse taking	
91165003;Subapical osteotomy of mandible	
91172002;Hypnodrama	
91176004;Direct thrombectomy of femoropopliteal vein by abdominal and leg incision	
91177008;Eye examination under anesthesia	
91184000;Exploration of intracranial artery	
91186003;Radiography for bone length studies	
91193004;Hearing therapy	
91201003;Closed excisional biopsy of nerve ganglion	
91212003;Excision of tumor of wrist area, deep, subfascial	
91218004;Hydrogen sulfide test	
91219007;Correction of atresia of rectum	
91220001;Repair of uvula with synchronous cleft palate repair	
91223004;Emergency immunization during epidemic	
91225006;Hypoxia response curve measurement	
91228008;Excision of lesion of joint of finger	
91243005;Osteotomy and transfer of greater trochanter	
91250009;Frontal sinusotomy by intranasal approach	
91251008;Physical therapy procedure	
91253006;Destruction of lesion by ultrasound	
91256003;Lysis of adhesions of female perineum	
91270003;Arytenoidectomy by external approach	
91276009;Thyroid isthmectomy	
91292004;Repair of ventricular septum in total repair of total anomalous pulmonary venous connection	
91301001;Repair and refitting spectacles	
91308007;Blood gases, arterial measurement	
91310009;Patient follow-up to return when and if necessary	
91315004;ABO typing	
91321000;Immediate allogeneic transplantation, cadaver donor	
91333005;Magnetic resonance imaging of thoracic spine with contrast	
91338001;Infusion of intra-arterial thrombolytic agent with percutaneous transluminal coronary angioplasty, single vessel	
91346000;Complement hemolytic assay	
91360003;Arthrography of knee with positive contrast	
91392002;Incision of thrombosed hemorrhoid	
91400004;Bisection	
91402007;Salabrasion	
91404008;Insertion of bone growth stimulator	
91425008;Environmental intervention on a psychiatric patient's behalf with employers	
91438000;Amalgam restoration, one surface, primary	
91439008;Exploration of parathyroid gland	
91441009;Cisternal puncture with injection	
91453008;Echography of chest, A-mode	
91457009;Colpocleisis, Le Fort type	
91458004;Cystine measurement, qualitative	
91462005;Injection of testis	
91480001;Iontophoresis procedure	
91481002;Environmental intervention on a psychiatric patient's behalf with agencies	
91485006;Participation in ward rounds	
91491008;Diagnostic procedure on uterus and supporting structures	
91509000;Excision of meniscus of sternoclavicular joint	
91512002;Diagnostic procedure on breast	
91515000;Special audiologic evaluation for functional hearing loss	
91516004;Distal subtotal pancreatectomy with pancreaticojejunostomy	
91520000;injection of steroid into spinal canal	
91522008;Excision of ovarian varicose vein	
91528007;Chondrectomy of finger	
91531008;One stage subtotal suprapubic prostatectomy	
91552000;Postoperative revision of scleral fistulization procedure	
91558001;Synergism testing, broth microdilution method	
91567001;Take-down of stoma of bronchus	
91568006;excision of lesion and/or tissue of carotid body	
91571003;Endoscopic removal of intraluminal foreign body from trachea	
91573000;Tympanometry testing	
91578009;Recession of eye muscle	
91579001;Repair of mandibular ridge	
91583001;Diagnostic radiography of spine, survey study	
91592003;Closure of fistula of sinus of Valsalva	
91596000;Complete excision of lung with mediastinal dissection	
91597009;Excisional biopsy of joint structure of wrist	
91600005;Open reduction of closed coccygeal fracture	
91602002;Thoracentesis	
91615006;Immunologic identification of antigen or antibody	
91617003;Incision and exploration of spleen	
91621005;Total gastrectomy with intestinal interposition	
91625001;Selective vagotomy	
91627009;Grafting of bone of scapula	
91640004;Removal of external immobilization device	
91643002;Cerebral ventricular shunt to ureter	
91644008;Neurectasis	
91649003;Diagnostic radiography with gas-air, negative contrast	
91652006;Incision of cerebral subdural space	
91658005;Phenylbutazone measurement	
91660007;Extensive drainage of lymph node abscess	
91672001;Ultrasound examination of joint	
91675004;Arthroscopy of elbow with removal of foreign body	
91679005;Plication of jejunum	
91681007;Anesthesia for vulvectomy	
102986000;Straight line walking test	
102989007;Eyes closed straight line walking test	
103693007;Diagnostic procedure	
103695000;Preparation of medical certificate	
103696004;Patient referral to specialist	
103697008;Patient referral for dental care	
103698003;Patient referral to non-physician provider	
103699006;Patient referral to dietitian	
103700007;Patient referral to massage therapist	
103701006;Patient referral to homeopath	
103702004;Patient referral to naturopath	
103703009;Patient referral to acupuncturist	
103704003;Patient referral to sex therapist	
103705002;Patient status observation	
103708000;Diagnostic surgical procedure	
103710003;Microscopy during surgical procedure	
103712006;Manipulation of catheter	
103713001;Replacement of catheter	
103714007;Occlusion of catheter	
103715008;Removal of catheter	
103716009;Placement of stent	
103717000;Manipulation of stent	
103718005;Removal of stent	
103719002;Replacement of stent	
103720008;Elevation	
103721007;Manual elevation	
103722000;Instrumental elevation	
103723005;Angioscopy	
103724004;Destructive procedure on skin using laser surgery	
103725003;Laser resurfacing of skin	
103726002;Microvascular decompression surgery of cranial nerve	
103727006;Vestibular nerve section	
103729009;Insertion of middle ear prosthesis	
103730004;Cryocardioplegia	
103734008;External camera medical photography	
103735009;Palliative care (regime/therapy)(procedure)	
103736005;History and physical examination, sports participation	
103737001;History and physical examination, pre-employment	
103738006;History and physical examination, immigration	
103739003;History and physical examination, occupation	
103740001;Periodic physical examination	
103741002;Optical transillumination	
103742009;Renewal of prescription	
103743004;Self-administration of antibiotic therapy at home	
103744005;Administration of intravenous fluids	
103745006;Intra-oral photography	
103746007;Heparin therapy	
103747003;Tocolysis	
103748008;Cloning procedure	
103749000;Sleep disorder assessment	
103750000;Sleep apnea assessment	
103751001;Peripheral visual field examination	
103752008;Perimetry	
103753003;Computed perimetry	
103754009;Prescribing change of spectacles	
103755005;Pressure test for perilymph fistula	
103759004;Metamyelocyte count, blood	
103760009;Specimen mass measurement	
103761008;Specimen dry weight measurement	
103762001;Specimen volume measurement	
103763006;Specimen volume measurement for timed urine collection	
103764000;Laboratory reporting, service comment	
103766003;Evocative or suppression testing panel	
103768002;Chorionic gonadotropin stimulation panel, testosterone response	
103769005;Chorionic gonadotropin stimulation panel, estradiol response	
103770006;Renal vein renin stimulation panel	
103771005;Peripheral vein renin stimulation panel	
103774002;Glucagon tolerance test	
103798009;Chromogenic substrate assay	
103799001;Prothrombin fragment 1.2 assay	
103800002;Coagulation factor assay	
103801003;Factor VIII assay, Xa activation method	
103802005;Kallikrein assay	
103803000;Lupus anticoagulant assay, platelet neutralization method	
103804006;Factor V inhibitor assay	
103805007;Factor VII inhibitor assay	
103806008;Factor X inhibitor assay	
103807004;Factor XI inhibitor assay	
103808009;Factor XII inhibitor assay	
103810006;Activated protein C inhibitor assay	
103811005;Fibrinogen antigen assay, immunologic	
103812003;Soluble fibrin assay	
103813008;Fibrin-fibrinogen split products assay, semi-quantitative	
103814002;Fibrin-fibrinogen split products assay, quantitative	
103815001;Fibrinogen fragments assay	
103816000;Fibrin fragments assay	
103817009;Fibrin monomer assay	
103818004;Fibrinopeptide assay	
103819007;Fibrinopeptides A assay	
103820001;Fibrinopeptides B assay	
103821002;Fibrinopeptide B-beta (1-14) assay	
103822009;Fibrinopeptide B-beta (1-42) assay	
103823004;Fibrinopeptide B-beta (15-42) assay	
103824005;Fibrinopeptide B-beta (43-47) assay	
103825006;D-dimer assay, semi-quantitative	
103826007;D-dimer assay, quantitative	
103827003;Alpha-2 antiplasmin antigen assay	
103828008;Urokinase type plasminogen activator assay	
103829000;Plasminogen activator inhibitor antigen assay	
103830005;Plasminogen activator inhibitor type 1 assay	
103831009;Plasminogen activator inhibitor type 1 antigen assay	
103832002;Plasminogen activator inhibitor type 2 assay	
103833007;Plasminogen activator inhibitor type 2 antigen assay	
103834001;tPA-PAI complex assay	
103834001;Tissue plasminogen activator-plasminogen activator inhibitor assay	
103835000;Tissue plasminogen activator assay	
103836004;Tissue plasminogen activator activity assay	
103837008;Tissue plasminogen activator antigen assay	
103838003;Unfractionated heparin assay	
103839006;Low molecular weight heparin assay	
103840008;Heparin neutralization assay	
103841007;Platelet aggregation with calcium ionophore test	
103842000;Platelet aggregation with norepinephrine test	
103843005;Platelet aggregation with ristocetin test	
103844004;Platelet aggregation with arachidonate test	
103845003;Platelet aggregation with serotonin test	
103846002;Platelet factor 3 assay	
103847006;Platelet factor 4 assay	
103848001;Platelet antibody, IgG measurement	
103848001;Platelet antibody, immunoglobulin G measurement	
103850009;Platelet associated antibody, IgM measurement	
103850009;Platelet associated antibody, immunoglobulin M measurement	
103851008;Heparin associated thrombocytopenia assay	
103852001;Russell viper venom time	
103853006;Reptilase time	
103854000;Thromboglobulin measurement	
103855004;Thrombomodulin measurement	
103857007;Heparin cofactor II assay	
103858002;Low molecular weight kininogen assay	
103859005;Reverse ABO group typing	
103860000;Blood group typing A variant	
103861001;Blood group typing A>m<	
103862008;Blood group typing A>x<	
103863003;Blood group typing A>1<	
103864009;Blood group typing A>3<	
103865005;Blood group typing A>1<B	
103866006;Blood group typing A>2<B	
103867002;Blood group typing A>3<B	
103868007;Blood group typing AB	
103869004;B variant blood group, typing	
103870003;H blood group typing	
103871004;Bombay blood group typing	
103872006;Blood group typing, RH phenotyping	
103873001;Ce blood group typing	
103874007;C^w^ blood group typing	
103875008;C^x^ blood group typing	
103876009;C blood group typing	
103877000;Little c blood group typing	
103878005;D blood group typing	
