conceptId;Beschrijving Google;conceptId;Beschrijving
71824006;Verlenging van de musculus abductor hallicis;71824006;verlengen van musculus abductor hallucis
71827004;choledochojejunostomie;71827004;choledocho - jejunostomie
71842001;Lineaire reparatie van scheuren van de wenkbrauw;71842001;lineair herstel werkbrouw
71849005;Gesloten vermindering van gescheiden epiphysis van radius en ulna;71849005;gesloten reductie van de epifyse van de radius en ulna
71861002;implantatie;71861002;implantatie
71861002;implantatie;71861002;inbrengen
71861002;implantatie;71861002;plaatsen
71868008;Chirurgische occlusie van abdominale vena;71868008;chirurgische occlusie van abdominale vene
71871000;Osteotomie van talus;71871000;osteotomie van de talus
71876005;Catheterisatie van de buis van Eustachius;71876005;catheterisatie van buis van Eustachius
71890008;Implantatie van systemische slagaders in de hartspier , Vineberg soort operatie;71890008;implanteren van systeemarteries op myocardium , type Vinberg operatie
71907001;Neuroplasty van de nervus vagus bij de elleboog;71907001;release n ulnaris thv cubitale tunnel
71917006;Reparatie van de lip;71917006;lip herstel
71925008;Lingual thyroidectomy door submental route;71925008;linguale thyro ï dectomie via submentale route
71956000;Suture van oude anale verloskundige laceration;71956000;sluiten van oud obstretisch anaal letsel
71980001;Urethroplasty , reparatie van membraneuze urethra , eerste fase;71980001;urethraplastie membraneuze urethra , eerste stap
72019009;Mechanische vitrectomie door posterieure benadering;72019009;mechanische vitrectomie met posterieure benadering
72055001;Hartkatheterisatie , rechter hart en retrograde links;72055001;hartscatheterisatie , rechts en retrograde links
72068009;Verdeling van posterior synechiae van iris;72068009;losmaken van posterieure iris synaechien
72091008;Myocutaneoosseous transplantatie;72091008;Osteomyocutane flap
72106008;Uitsnijden van letsel van de lever;72106008;excisie van letsel ter hoogte van de lever
72109001;Reparatie van bronchus;72109001;herstel van bronchus
72147006;Incisie en drainage van de buik voor pancreatitis;72147006;laparotomie voor pancrteatitis
72169004;Vernietiging van rectale aambeien , externe;72169004;destructie van externe hemmoro ï den
72173001;Thrombectomy met catheter onbenoemde slagader door nek incisie;72173001;katheter trombectomie van arteria innominata via nek incisie
72176009;Herbevestiging van de choroidea en het netvlies door xenon arc lichtcoagulatie;72176009;heraanhechting chorioidea en retina met xenon fotocoagulatie
72185009;Adductoren transfer naar zitbeen;72185009;adductortransfer naar ischium
72193009;Cardiosplenopexy;72193009;cardiosplenopexie
72199008;Verwijdering van vreemde lichaam van glasvocht door incisie;72199008;verwijderen van vreemd voorwerp uit vitreum met incisie
72202003;Spoeling van de nasale sinus door natuurlijke ostium;72202003;spoelen van de nasale sinus via de natuurlijke opening
72218009;Vermindering van gesloten nervus styloideus fractuur;72218009;reductie van gesloten processus styloideus ulnae
72221006;Magnetische resonantie beeldvorming van de nek;72221006;NMR hals
72223009;Osteotomie van fibula;72223009;fibulaostetomie
72227005;Postpartum doorsnijding van de eileider door vaginale benadering;72227005;postpartum transsectie van eileider - vaginale procedure
72261007;Resectie van rectum met bekken exenteration;72261007;rectumresectie met pelvische excenteratie
72273007;Centralisatie van de pols op ellepijp;72273007;ulnaire transpositie van de pols
72283006;Suture van ileum;72283006;hechten van het ileum
72310004;Besnijdenis;72310004;circumcisio
72314008;Full - thickness graft - tot - mondreclame , behalve gehemelte;72314008;full - thickness greffe van de mond , behalve verhemelte
72356007;Dilatatie en curettage van cervicale stomp;72356007;dilatatie en curettage van cervicale stomp
72360005;Manipulatie van de enkel onder narcose;72360005;Manipulatie van het enkelgewricht onder algemene anesthesie
72362002;Excisie van trochanteric decubitus met primaire hechtdraad;72362002;excisie van decubitus ulcus ter hooge van de trochanter met primaire hechting
72370007;Reparatie van recidiverende ventrale hernia;72370007;sluiten recidief ventrale eventratie
72386000;Sluiting van jejunale fistel;72386000;sluiten van jejunale fistel
72396009;Thromboendarterectomy van de bovenste ledematen slagader;72396009;tromboendarteri ë ctomie van arterie van bovenste lidmaat
72411001;Dacryoadenectomy;72411001;dacryoadenectomie
72432009;Excisie van letsel van de huid van de borst;72432009;excisie van letsel van huid van de borst
72491000;Reparatie van scheuring van de cornea met toepassing van weefsellijm;72491000;herstel van corneale laceratie met weefsellijm
72528001;Implantatie van Custodis oog;72528001;implantatie van Custodis oog
72540001;Destructieve procedure van buikslagader;72540001;destructieve procedure van abdominale arterie
72577009;Excisie van tepel;72577009;excisie van de tepel
72580005;Uitsnijden van letsel van kootjes van de hand;72580005;excisie van een letsel ter hoogte van de falanx van de hand
72599001;Sekwesterectomie van het bot van de radius;72599001;sequestrectomie van de radius
72638004;Fasciotomie van de voet;72638004;fasciotomie van de voet
72662009;Verwijding van de anus;72662009;anale dilatatie
72672007;Thromboendarterectomy met graft van iliofemoral slagader;72672007;trombo - endarteri ë ctomie met greffe van arteria ilio - femoralis
72707008;Insnijding van het bot van de bovenarm;72707008;incisie van de humerus
72708003;Verdeling van de spatader;72708003;divisie van variceuze vene
72710001;Reparatie van sclera;72710001;scleroplastiek
72726000;Fenestration van de halfcirkelvormige kanalen met graft;72726000;fenestratie van semicirculair kanaal met greffe
72731003;Fijne naald biopsie van de penis;72731003;fijne naaldbiopsie van de penis
72734006;Gedeeltelijke vernietiging van de vagina;72734006;parti ë le obliteratie van vagina
72741000;Oprichting van de lumbale subarachno ï dale - peritoneale shunt met laminectomie;72741000;creatie van lumbale subarachnoidale - peritoneale shunt met laminectomie
72749003;Sluiting van ureterocutaneous fistel;72749003;sluiten van ureterocutane fistel
72757000;Hymenectomy;72757000;hymenectomie
72767005;herziening neuscorrectie;72767005;revisie rhinoplastie
72771008;Naald biopsie van het bot;72771008;naaldbiopsie van het bot
72782000;Uitsnijden van letsel van sympathieke;72782000;excisie laesie thv sympathische zenuw
72786002;Verwijdering van intacte borstklier implantaat;72786002;verwijderen van intact borstimplantaat
72791001;laryngectomie;72791001;laryngectomie
72811008;Sluiting van sigmoidostomy;72811008;sluiten van een sigmoiedostomie
72816003;Uitsnijden van letsel van epicard;72816003;excisie van letsel van epicard
72821000;Biopsie van temporele slagader;72821000;biopsie van de arteria temporalis
72841005;Nasale endoscopie met gedeeltelijke ethmoidectomy;72841005;FESS met parti ë le ethmoidectomie
72842003;Debridement van de voorvoet;72842003;debridement van de voorvoet
72848004;Tussenkomst arthroplasty van intercarpale gewrichten;72848004;interpositie arthroplastie van intercarpaal gewricht
72874005;Implantaat oorkraakbeen tot oor;72874005;greffe oorschelpkraakbeen
72874005;Implantaat oorkraakbeen tot oor;72874005;greffe oorschelpkraakbeen
72910005;lumbale sympathectomy;72910005;lumbale sympathectomie
72912002;Herziening van de cerebrale ventriculaire shunt;72912002;revisie van ventrikelshunt
72915000;Verwijding van colon;72915000;dilatatie van het colon
72916004;Injectie van stembanden;72916004;injectie in de stembanden
72953005;operative esophagogastroscopy;72953005;esophageal liesbreukherstel van oscopie en chirurgicale
72988005;Direct thrombectomy van femoropopliteale ader van been incisie;72988005;open trombectomie vena femoralis en vena poplitea via been incisie
73006002;Cranial decompressie , posterior fossa;73006002;decompressie van de fossa posterior
73021008;Pyeloileocutaneous anastomose;73021008;ileal stal liesbreukherstel van py é lo en cutan é e s
73038007;Embolectomie van de onderste ledematen slagader;73038007;embolectomie van arterie van onderste lidmaat
73039004;' tarsectomie Van het ooglid;73039004;tarsectomie van ooglid
73070007;Vernietiging van letsel van choroidea door cryotherapie;73070007;destructie choroidaal letsel met cryotherapie
73109006;Verwijdering van elektronische stimulator van perifere zenuwen;73109006;verwijderen van een perifere zenuwstimulator
73156009;Gesloten reductie van fractuur van humerus met interne fixatie;73156009;gesloten reductie en inwendige fixatie van een humerusfractuur
73164003;Neurorrhaphy;73164003;neurorafie
73178002;Lymphangiectomy;73178002;lymfangi ë ctomie
73186002;Transplantatie van de haarzakjes van de wenkbrauw;73186002;haar follikel transplantatie wenkbrauw
73199004;Artrodese van carpometacarpale gewricht van de duim met autograft;73199004;arthrodese van het cmc gewricht van de duim met autogreffe
73202009;Aortofemoral naar knieholte vasculaire bypass;73202009;aorto - femoro - popliteale bypass
73207003;Reconstructie otoplastie van het kraakbeen van het oor;73207003;reconstructie otoplastie met kraakbeen
73231008;Interne fixatie van tibia;73231008;inwendige fixatie van de tibia
73269003;Volledige excisie van de vagina;73269003;complete excisie van vagina
73282006;Oesofagoscopie voor injectie van oesofageale varices;73282006;endoscopische sclerotherapie van slokdarmvarices
73354002;Thrombectomy met catheter of slagader door arm incisie;73354002;kathetertrombectomie van arteria brachialis via arm incisie
73361003;Schwabach - test;73361003;stemvorkproef van Schwabach
73486006;Injectie in zenuw ganglion;73486006;injectie van ganglion
73497006;Vrijlating van contractuur Volkmann door spier transplantatie;73497006;losmaken van volkmann ' s contractuur door spiertransplantatie
73499009;Atticotomy van het oor;73499009;atticotomie
73509004;Gedeeltelijke colectomy met de huid niveau colostoma;73509004;partiele colectomie met vlakke colostomie
73543008;Open biopsie van de dikke darm;73543008;open biopsie van de dikke darm
73570001;Dupuytren schouder exarticulatie;73570001;dupuytren schouderdesarticulatie
73582005;Uitsnijden van letsel van de baan;73582005;excisie van letsel van orbita
73593007;Muscle transfer voor klauw teen reparatie;73593007;spiertransfer voor klauwteen herstel
73599006;Vernietiging van chorioretinale letsel door fotocoagulatie;73599006;destructie chorioretinaal letsel met fotocoagulatie
73670008;Resectie van het hoofd van de falanx van teen;73670008;resectie van kop van teenphalanx
73672000;gedeeltelijke acromionectomy;73672000;partiele acromionectomie
73689008;Vernietiging van letsel van iris;73689008;destructie van letsel van de iris
73713008;Reparatie van gastroschisis;73713008;sluiten van gastroschisis
73759005;Duodenectomy;73759005;duodenectomie
73761001;colonoscopie;73761001;coloscopie
73764009;Reparatie van de heupkom;73764009;acetabulumplastie
73802004;Excisie van urethrovaginal septum;73802004;Excisie van urethrovaginaal septum
73809008;Open reductie van de open claviculafractuur;73809008;open reductie van een open claviculafractuur
73812006;Tenotomie van stapedius;73812006;tenotomie van musculus stapedius
73819002;injectie van vestibule van benige labyrint voor de vernietiging;73819002;injectie vestibulum voor destructie
73850000;pedikel graft;73850000;gesteelde huidgreffe
73872003;Manipulatie van rectum;73872003;manipuleren van het rectum
73895007;Totaal claviculectomy;73895007;volledige resectie van de clavicula
73914006;Verwijdering van drain uit de vagina;73914006;Verwijderen van vaginale drain
73921006;Reparatie van rectale prolaps door abdominale benadering;73921006;herstel van rectale prolaps langs abdominale weg
73922004;Verwijdering van pyelostomy buis;73922004;verwijderen van pyelostomie catheter
73924003;Tarsal tunnel vrijlating;73924003;tarsal tunnel release
73934007;Ossiculectomy met stijgbeugel mobilisatie;73934007;ossiculectomie met mobilisatie van stapes
73953002;Sluiting van rectovesical fistel;73953002;herstel van rectovesicale fistel
73978003;Meerdere segmentale resectie van de dunne darm;73978003;meerdere segmentresecties van de dunnedarm
73988002;Verkenning van peesschede van de hand;73988002;exploratie van peesschede van de hand
73996007;Proctopexy gecombineerd met sigmoid resectie door abdominale benadering;73996007;proctopexie met sigmoiedresectie langs abdominale weg
74004007;Epileren ooglid door een tang;74004007;epilatie wimpers met pincet
74011006;Open reductie van fractuur van het scheenbeen en kuitbeen met interne fixatie;74011006;open reductie en inwendige fixatie van een tibia - en fibulafractuur
74037009;Uitsnijden van de tumor uit voorarm , diep , subfascial;74037009;excisie van een diepe subfasciale tumor van de onderarm
74038004;Excisie van letsel van buikwand;74038004;excisie van letsel ter hoogte van de buikwand
74041008;Reparatie van tricuspidalisatresie;74041008;herstel atresie tricuspidalisklep
74051009;Suture van hamstring spierscheuring , primaire;74051009;hechting van hamstringsspierscheur
74070004;Introductie van katheter in vertebrale slagader;74070004;plaatsing van katheder in arterie vertebralis
74170002;Radiografie van de bovenste ledematen;74170002;Rx bovenste lidmaat
74180003;Hepatectomy , trisegmentectomy;74180003;hepatectomie , trisegmentectomie
74186009;Opponensplasty door pees overdracht met graft;74186009;opponensplastie met peestranfer met greffe
74208003;Percutane fijne naald biopsie van de lever;74208003;percutane fijnenaald biopsie van de lever
74220006;Vitrectomie complex;74220006;vitrectomie , complex
74239001;Knieholte - peroneal artery bypass graft met ader;74239001;arteria poplitea naar arteria peronealis bypass greffe met vena
74253001;Artroplastiek van kaakgewricht met allograft;74253001;arthroplastie temporomandibulair gewricht met allogreffe
74278002;Synovectomy van peesschede van de hand;74278002;synovectomie van peesschede van de hand
74284004;Diverticulectomy van de slokdarm;74284004;resectie slokdarmdivertikel
74316009;Verwijding van de ductus nasolacrimalis , retrograde;74316009;retrograde dilatatie nasolacrimaal kanaal
74373008;Enterocentesis van de dunne darm;74373008;small inal liesbreukherstel van de en gr ê le Enterocentesis
74410004;subconjunctivale injectie;74410004;subconjunctivale injectie
74414008;Hallux valgus correctie door falanx osteotomie;74414008;hallux valgus correctie door middel van een osteotomie van de falanx
74422001;fasciectomie;74422001;verwijderen van fascia
74446008;Reparatie van defect van radius met autograft;74446008;herstel van een radiusdefect met autologe greffe
74467008;Vervanging van opblaasbare penis prothese;74467008;vervangen opblaasbare penisprothese
74485001;Sekwesterectomie van sleutelbeen;74485001;excisie botsequesters van de clavicula
74490003;Mechanische fragmentatie van de primaire membraneuze cataract;74490003;mechanische fragmentatie van een primair membraneus catararct
74539002;Intra - abdominale manipulatie van dikke darm;74539002;intra - abdominaal manipuleren van colon
74544009;Percutane kern naald biopsie van pleura;74544009;percutane holle naald biopsie van pleura
74556005;Thromboendarterectomy;74556005;trombo - endarterectomie
74625006;Reparatie van supracristal defect met prothese;74625006;herstel van supracristaal ventrikel septumdefect met prothese
74663003;Gedeeltelijke submukeuze resectie van turbinate;74663003;parti ë le submucosale resectie van de neusschelp
74688006;Reparatie van ooghoek;74688006;canthoplastie
74716006;Totaal uitsnijding van radius;74716006;volledige excisie van de radius
74720005;Embolectomie met een catheter van de halsslagader door nek incisie;74720005;katheter - embolectomie van arteria carotis via nek incisie
74721009;Radicale resectie van de tumor van zacht weefsel van voorarm;74721009;radicale resectie van tumor van zachtweefsel van voorarm regio
74738008;Huid niveau cecostomy;74738008;vlakke caecostomie
74753000;Reparatie van carpometacarpale gewricht;74753000;arthroplastie van het CMC gewricht
74756008;Transplantatie van gracilisspier;74756008;transplantatie van gracilis spier
74766000;Het scheuren van de voorhuid van de penis;74766000;slit voorhuid
74786001;Electrocoagulatie van de vulva;74786001;elektrocoagulatie van vulva
74809003;Radiografie van de onderarm;74809003;Rx voorarm
74834003;Angiocardiografie door serialography , enkel vlak;74834003;uniplanaire cardiale angigrafie
74854002;Cauterisatie van de anus;74854002;cauterisatie van de anus
74864006;Overdracht van extensor hallucis longus pees;74864006;transfer van de extensor hallucis longus pees
74869001;Arthrotomie elleboog op besmetting met de exploratie;74869001;arthrotomie van de elleboog met exploratie omwille van infectie
74878007;Bronchotracheal anastomose;74878007;bronchotracheale anastomose
74906006;Incisie en drainage van de galblaas;74906006;incisie en drainage van de galblaas
74909004;Oogsten van ligament;74909004;oogsten van ligament
74948004;Magneet extractie van vreemd lichaam van retina;74948004;magnetische extractie van vreemd voorwerp uit retina
74967000;Debridement open fractuur van radius en ulna;74967000;debridement an een open radius en ulnafractuur
75014006;pelvimetrie;75014006;rx pelvimetrie
75015007;Sluiting van anorectale fistel;75015007;herstel van de ano - rectale fistel
75016008;Biopsie van zacht weefsel;75016008;biopsie van zacht weefsel
75078003;Reparatie van ventrikelseptumdefect in totaal reparatie van tetralogie van Fallot;75078003;herstel ventriculair septum defect in compleet herstel tetralogie van fallot
75087007;Reparatie van aneurysma;75087007;herstel aneurysma
75108001;Suture van rectum;75108001;hechten van het rectum
75113002;Ligatie van adrenale ader;75113002;ligatie van vene van bijnier
75146008;Thromboendarterectomy met graft onbenoemde slagader door thoracale incisie;75146008;trombo - endarteri ë ctomie met greffe van truncus brachio - cephalicus via thoracale incisie
75149001;Orbitotomy;75149001;posterieure orbitotomie
75157003;Cryosurgery bij goedaardige tumor rectale;75157003;cryochirurgie voor goedaardige rectum tumor
75165000;Debridement van sesamoid been van de voorvoet;75165000;debridement van os sesamoideum van de voorvoet
75170007;Extractie van de lens van het oog;75170007;extractie van ooglens
75171006;Cystourethroscopy met een unilaterale ureteral meatotomy;75171006;cystourethroscopie met unilaterale ureterale meatotomie
75176001;Tympanectomy;75176001;tympanectomie
75194007;Curettage van de pees van de hand;75194007;curettage van handpees
75221004;Ligatie van spataders;75221004;ligatie van variceuze vene
75227000;Excision en prothetische vervanging van de lens;75227000;excisie en herplaatsen van kunstlens
75240005;Cerebrale ventriculaire shunt aan veneuze systeem;75240005;ventriculaire shunt in veneus systeem
75255001;Vernietiging van letsel van het uitwendige oor;75255001;destructie van letsel van buitenoor
75282009;Open reductie van de scheiding der epiphysis van tibia;75282009;open reductie van epiphysiolyse van de tibia
75312003;Gedeeltelijke colectomie met ileostoma en de creatie van mucofistula;75312003;partiele colectomie met ileostoma en muceuze fistel
75318004;Suture van scheur van sclera;75318004;hechten van sclerale laceratie
75325006;Verwijdering van cystostomy buis;75325006;verwijderen suprapubische sonde
75337008;Incisie en drainage van de achtervoet;75337008;incisie en drainage van de achtervoet
75389003;alvleesklier Cystogastrostomy;75389003;pancreaticocysto - gastrostomie
75392004;Uitsnijden van letsel van het bot van schouderblad;75392004;excisie van een botletsel van de scapula
75404005;Epiploectomy;75404005;epiplo ë ctomie
75409000;Implantatie van uitstroom tract prothese in de totale reparatie van tetralogie van Fallot;75409000;implantatie outflow tract prothese in totaal herstel tetralogie van Fallot
75420000;Uitsnijden van overtollige slijmvlies van duodenostomy;75420000;excisie van overtollige mucosa uit duodenostomie
75489002;Bilaterale ooglidcorrectie van de bovenste en onderste oogleden;75489002;bilaterale ooglidcorrectie bovenste en onderste oogleden
75514003;Fixatie van de pees van de hand;75514003;fixatie van pees van het hand
75533008;Aneurysmectomy met graft vervanging van thoracoabdominal aorta;75533008;excisie van aneurysma van thoracoabdominale aorta met vervanging door prothese
75579003;Reparatie van de slagader met ader graft van de onderste extremiteit;75579003;herstel van arterie met vene van onderste lidmaat
75582008;Open vermindering van de ontwrichting van de heup;75582008;open reductie van luxatie van de heup
75588007;Uitsnijden van letsel van het hoornvlies;75588007;excisie van letsel van cornea
75601006;Excisie van choro ï dplexus;75601006;excisie van de plexus choro ï deus
75626002;Pallidoamygdalotomy;75626002;pallido - amygdalotomie
75637001;Chondrectomy van de schouder;75637001;kraakbeenresectie van de schouder
75639003;Het verwijderen van de buis cholecystostomy;75639003;verwijderen van cholecystostomiedrain
75675001;Diagnostische radiografie van banen;75675001;Rx orbita
75691003;Magnetische resonantie beeldvorming van de prostaat;75691003;NMR prostaat
75732000;vitrectomie;75732000;vitrectomie
75734004;Verwijdering van vreemde lichaam van choroidea door incisie;75734004;verwijderen vreemd voorwerp uit de chorioidea door incisie
75743008;Gedeeltelijke resectie van wervel component , doornuitsteeksels proces van lendenstreek;75743008;partiele resectie van lumbale processus spinosus
75747009;Herziening van de orbitale implantaat buiten spier kegel;75747009;revisie extraconaal orbitaal implant
75792002;Transplantatie van glasvocht;75792002;vitreumtransplantatie
75810001;frontale sinusotomy;75810001;sinusotomie van frontale sinus
75826000;Artrodese van ellebooggewricht met autograft;75826000;arthrodese van de elleboog met autogreffe
75835007;- Laparoscopische bijgestaan ​​ vaginale hysterectomie;75835007;laparoscopisch geassisteerde vaginale hysterectomie
75870009;Iridocystectomy;75870009;verwijderen van iriscyste
75882000;Extraorale sialolithotomy van parotis;75882000;extra - orale sialolithotomie van de parotis
75894009;Delorme operatie , proctopexy;75894009;rectopexie volgens Delorme
75903006;Vernietiging van de laesie van het netvlies door xenon arc lichtcoagulatie;75903006;destructie van retinaletsel met xenon fotocoagulatie
75905004;Sigmoidoproctostomy;75905004;sigmoiedo - proctostomie
75924001;Urine cystotomy voor het uitsnijden van de blaas divertikel;75924001;cystotomie met excisie van blaasdivertikel
75928003;Pinard manoeuvre;75928003;manoeuver van pinard
75936007;Charnley operatie op de enkel;75936007;charnley operatie van de enkel
75942006;De totale correctie van transpositie van grote vaten;75942006;totale correctie transpositie van de grote vaten
75986001;Open reductie van dislocatie interne fixatie;75986001;open reductie van luxatie met interne fixatie
76005006;Nephrolithotomy voor het verwijderen van staghorn calculus;76005006;nefrolithotomie voor extractie koraalsteen
76009000;gastroscopie;76009000;oesofago - gastro - duodenoscopie
76017008;Gordon - Taylor achtervoet operatie;76017008;gordon - taylor hemipelvectomie
76034000;Artroplastiek met prothetische vervanging van lunate;76034000;arthroplastiek met prosthetische vervanging van os lunatum
76038002;Insnijding van bilspieren huid;76038002;incie van de huid t . h . v . de gluteus
76054004;Artroplastiek van metacarpofalangeaal gewricht met implantatie van gewrichtsprothese;76054004;arthroplastiek van het metacarpophalangeaal gewricht met implantatie van gewrichtsprothese
76062007;Duhamel operatie , abdominoperineal pull - through;76062007;Duhamel operatie , abdomino - perineale pullthrough
76066005;Gilliam operatie op baarmoeder;76066005;ingreep op uters volgens Gilliam
76077004;Total pancreatectomy met transplantatie;76077004;totale pancreatectomie met transplantatie
76081004;Craniectomy voor osteomyelitis;76081004;craniectomie voor osteomyelitis
76116002;Implantatie van prothese of prothese van de heupkom van heupgewricht;76116002;Implantatie van een prothese van het acetabulum
76143007;Reparatie van canaliculus van traansysteem;76143007;herstel canaliculus
76148003;Fijne naald biopsie van de bijbal;76148003;fijne naaldbiopsie van de epididymis
76164006;Biopsie van de dikke darm;76164006;colonbiopsie
76165007;Avulsion van obturator zenuw , intrapelviene , met adductor tenotomie;76165007;intrapelvische avulsie van de nervus obturatorius met adductor tenotomie
76167004;Verwijdering van oculaire implantaat;76167004;verwijderen van oculair implant
76192001;Mikulicz operatie resectie van de dikke darm , tweede fase;76192001;Mikulicz ingreep , resectie van het colon in een tweede fase
76240002;Lysis van verklevingen corneovitreal;76240002;lyse van corneovitreale adhesies
76256007;Verwijdering van vreemde lichaam van de zaadleider;76256007;verwijdering van vreemd lichaam van de ductus deferens
76263007;Uitsnijden van letsel van middenoor;76263007;excisie van letsel van middenoor
76292006;Artroplastiek van carpals;76292006;arthroplastiek van carpale beenderen
76311002;Biopsie van zaadblaasjes;76311002;biopsie van het zaadblaasje
76340004;Passing van de pees van de hand;76340004;plicatuur van handpees
76359002;Insnijden van hematoom brede ligament;76359002;incisie van hematoom van het ligamentum latum
76363009;Drainage van scrotum muur abces;76363009;drainage abces scrotale wand
76372001;Embolectomie van buikslagader;76372001;embolectomie van abdominale arterie
76414006;Sluiting van urethrovesicovaginal fistel;76414006;herstel van urethrovesicovaginale fistel
76443003;Total slokdarmresectie met gastropharyngostomy;76443003;totaleverwijdering van de oesophagusmet gastropharyngostomie
76453002;Tenotomie van adductor van de heup , subcutane , geopend;76453002;open subcutane tenotomie van heupadductoren
76458006;Photocoagulation van de iris;76458006;fotocoagulatie van iris
76471009;Injectie van hartzakje;76471009;injectie pericardium
76480009;Verwijdering van pulmonaire embolie;76480009;verwijderen van pulmonale embolie
76508002;Rhytidoplasty van het ooglid;76508002;ooglidcorrectie
76517002;Endoscopie van het oor;76517002;otoscopie
76558009;Periarterial sympathectomy;76558009;periarteri ë le sympathectomie
76580007;Perifere arteri ë le bypass;76580007;perifere arteri ë le bypass
76611008;Atherectomie door laser;76611008;laser atherectomie
76634004;Sluiting van anale fistels;76634004;sluiten van anale fistel
76677003;inbrengen van de naald , retrograde , slagader;76677003;retrograde naald plaatsing in arteria brachialis
76681003;Thrombectomy met catheter onbenoemde slagader door arm incisie;76681003;kathetertrombectomie van arteria innominata via arm incisie
76699006;Ligamentaire reconstructie van de knie , intra - articulaire en extra - articulaire;76699006;intra - en extra - articulaire ligament reconstructie van knie
76706001;Vermindering van gesloten tarsometatarsaal gezamenlijke dislocatie met percutane skelet fixatie;76706001;reductie van gesloten tarsometatarsale gewrichtsluxatie met percutane skeletfixatie
76777009;Kunstmatige beademing door electrophrenic stimulatie;76777009;elektrofrenische beademing
76806008;Handmatige breuk van de ovari ë le cyste;76806008;manuele ruptuur van ovari ë le cyste
76808009;Suture van de spier;76808009;spierhechting
76835000;Reparatie van de borstwand;76835000;herstel van de thoraxwand
76864009;Aspiratie van de pees van de hand;76864009;aspiratie van handpees
76876009;bilaterale ovari ë ctomie;76876009;bilaterale o ö phorectomie
76913009;Radiografie van de elleboog;76913009;Rx elleboog
76927004;Radio - isotoop studie van urogenitale systeem;76927004;radioisotopen onderzoeken van het genito - urinaire stelsel
76930006;Oogheelkundige echografie , onderdompeling B - scan;76930006;oftalmologische echografie , immersie B - scan
76934002;Reparatie van de knie collaterale ligamenten;76934002;herstel van een collateraal ligament van de knie
76949005;gonioscopie;76949005;gonioscopie
76967003;Ileopancreatostomy;76967003;ileo - pancreatische anastomose
76971000;Reparatie van nasolabiale flappen;76971000;herstel van de nasolabiale plooi
76981001;discogram;76981001;discografie
76987002;Reparatie van de aorta;76987002;aortoplastie
76992000;Synovectomy van de knie;76992000;synovectomie van de knie
77018005;Uitsnijden van letsel van intracrani ë le slagader;77018005;excisie van een intracraniale arterie letsel
77062001;Gedeeltelijke ostectomy van tarsals en middenvoetsbeentjes;77062001;partiele excisie van metatarsalen en tarsale beenderen
77067007;Biopsie van uitwendige gehoorgang;77067007;biopsie van het uitwendig oorkanaal
77071005;Herziening van de stoma van de maag;77071005;herstel van maagstoma
77095007;Reparatie van arterioveneuze fistel;77095007;herstel van arterioveneuse fistula
77100009;Reconstructie van ureteropelvic junction;77100009;pyeloplastie
77109005;Directe afsluiting van sinus venosus met anomale pulmonaire veneuze drainage;77109005;direct sluiten sinus venosus met atypische pulmonair veneuze drainage
77135006;Decompressie van trigeminal zenuwwortel;77135006;decompressie van de N . trigeminus
77163008;Endarterectomie van de aorta met patch graft;77163008;endarterectomie van aorta met patch
77166000;Percutane ballon valvuloplasty van de aortaklep;77166000;percutane ballondilatatie van aortaklep
77171007;Het inbrengen van de testis prothese;77171007;plaatsen testisprothese
77180007;Denis - Browne spalk strapping;77180007;aanleggen van Denis - Browne splint
77187005;Vermindering van gesloten schaamhaar fractuur;77187005;reductie van een gesloten pubistakfractuur
77202008;Incisie en exploratie mediastinum;77202008;incisie en exploratie van mediastinum
77228006;Suture van beenvlies van de fibula;77228006;hechting van periostium van fibula
77234004;Opponensplasty door Sublimis pees overdracht soort;77234004;opponensplastie met sublimis peestransfer
77241005;Oprichting van ventriculo - auriculaire shunt;77241005;aanleggen ventriculo - auriculaire shunt
77272009;Open tenotomie van strekpees van onderarm;77272009;open tenotomie van extensorpees van de onderarm
77341008;Artroscopie van de schouder met een complete synovectomy;77341008;volledige arthroscopische synovectomie van de schouder
77342001;Het verwijderen van de buis van de dikke darm;77342001;verwijderen van coloncanule
77356004;Insnijding van vulva;77356004;incisie van vulva
77392000;Uitsnijden van letsel van het onderhuidse weefsel van de lies;77392000;excisie letsel van subcutaan weefsel van de lies
77397006;Implant verwijdering van radiuskop;77397006;verwijderen van radiuskopprothese
77399009;Excisie van prepatellar bursa;77399009;excisie van de bursa prepatellaris
77417009;Norman Miller operatie op de vagina;77417009;procedure van norman miller ter hoogte van vagina
77419007;Vermindering osteoplastiek van gezichtsbeenderen;77419007;reductie van faciaal bot
77442000;Verwijdering van subarachno ï dale - peritoneale shunt;77442000;verwijderen subarachno - peritoneale shunt
77445003;Thromboendarterectomy met graft van gemeenschappelijke dijbeenslagader;77445003;tromboendarteri ë ctomie met greffe van arteria femoralis communis
77463003;Gratis huidtransplantatie;77463003;vrije huidgreffe
77474007;Reparatie van acromion;77474007;acromioplastie
77521004;Implantaat elektronische stimulator anus;77521004;implantatie van anale sfincterstimulator
77539008;Pancreaticocystoduodenostomy;77539008;pancreatico - cysto - duodenostomie
77543007;Ligatie van eileider;77543007;ligatie van eileider
77556000;Eenvoudige een etappe distale hypospadie reparatie met meatal vooruitgang;77556000;éé nstaps distaal hypospadieherstel met meatale correctie
77558004;Reparatie van aneurysma graft popliteale slagader;77558004;herstel met greffe van aneurysma van arteria poplitea
