SNOMED conceptID;Thot vertaling
56148004;van hamstring recession
56149007;naald bot biopsie diep
56153009;reconstructie van radiuskop
56157005;bicuspidization van mitralisklep
56159008;brugtussendeel , porseleinen vergroeiing aan hoge noble metalen
56162006;sequestrectomie van tibia en fibula
56168005;van cavum douglasi
56172009;maag vocht analyse totale zuur -
56182005;baby syndrome acetyltransferase diathesis test
56195000;excisie van van aangezichtsbeenderen
56204000;oftalmodynamometrie
56206003;hemimaxillectomy met bottranplantaat of met prothese
56207007;microbial identification kit , api staph - ident - kleuring
56216006;scan lokalisatiegebonden ( neoplasma whole - body
56221009;inbrengen van van retrograde van arteria brachialis
56222002;operatie nao schedel
56223007;verwijdering van wervelkanaal
56237003;drainage van gehoorgang abces
56241004;biopsie beenmerg , naald of trocar
56245008;monsters preparation
56247000;anesthesie en amniocentese
56249002;herstel van ruptuur rotator cuff ,
56250002;acetowhitening van cervix
56251003;nebulizer therapie
56255007;biopsie speekselklier
56256008;herstel van fistel
56274004;cryoprecipitate thawing en pooling
56275003;suture ligatuur
56278001;advancement van pees van hand
56283009;dunne darmtransplantaat
56288000;dunne darm intussusceptie reductie
56289008;endodontische behandeling , retreatment - bicuspidalis door report
56295009;perfusie dunne darm
56306000;cosmetica chirurgie
56315007;anesthesie en colpohysterectomie
56326001;thromboplastin generation - met substitution
56331004;vingerartrodese met inwendige fixatie
56333001;zenuwblok
56342008;temperatuur taking
56349004;aorto - shunt
56358006;herstel recent wond van direct ligatie , split - thickness
56361007;excisie van weke delen
56371009;prostatotomy door perineale approach
56373007;excisie van arterie van hoofd en hals
56377008;laboratoriumtest ratio
56390001;spinale inspuiting van phenol
56398008;artrotomie met verwijdering
56402004;biopsie van slijmvlies
56413001;herstel van clavicula
56417000;autopsie , mastopathie / microscopie met hersenen
56418005;vaginaal neoplasma
56420008;gesloten repositie van diastase van mortise
56429009;transnasal buis van inflation met katheterisatie
56433002;thyroidorrhaphy
56438006;neuroanastomosis
56442009;artroscopie schouderstreek met lysis en resectie adhesie met manipulatie
56445006;spirometrie voor bronchospasme met langdurige onderzoek na lichaamsbeweging
56449000;plaatsing van groeivertraging vagus stimulatorverwijdering naar clavicula
56463006;diverticulectomie slokdarm met spierincisie
56464000;transurethrale niercalculus verwijdering blaas zonder incisie
56469005;bewegend pati ë
56483007;bassett chirurgie voor vulvectomie met liesbreuk lymfeknopen dissecans
56486004;chirurgie van de uvula
56495007;microbial identification kit , api 20s - kleuring
56503007;antistof identification , trombocyten - antistof
56519000;mandril shunt
56520006;excisie van cardioma
56527009;chirurgische conduit , pulmonale atrium en arteria pulmonalis
56539001;inspuiting van contrast media voor radiografie door katheterisatie , selectieve
56543002;atomic ziekte van furnace type
56569008;schedelletselexcisie
56570009;van diafragma naar vagina
56577007;mandibulaire coronoidectomy
56582000;osteotomie patella
56583005;mephobarbital -
56584004;sperma analyse , motility en bloedceltelling
56597002;medische verrichting orbita
56598007;open reductie van gesloten breuk van grotere knobbel van fractuur
56599004;sesamoidectomy van teen
56603004;tatoe ë ren van neus
56606007;herstel pleurocutaneous fistel
56614001;herstel van fistel van blaas en darm
56620000;bevalling , door geboorte kind outside , ziekenhuis
56621001;anesthesie en extractie met herstel poplitea aneurysma
56633006;hla - - typering
56636003;isodose computation voor teletherapy
56638002;flow - cytometric crossmatch
56646001;tuip
56655003;medische verrichting thorax
56657006;galvanocauterisatie van de farynx
56670002;osteotomie van anonyma bot open reductie van
56673000;inspuiting van ovarium
56674006;herstel van ureter
56678009;herstel van niet aangroeien van os naviculare ( scaphoid ) met radialis styloidectomy
56680003;endoscopie bijschildkliertumor
56682006;mri -
56683001;herstel aneurysma met transplantaat van arteria poplitea
56706002;lichamelijk onderzoek vliezen anesthesie
56712007;computertomografie , vasculaire vlak
56721008;epidurale bloedpatch
56742005;irrigatietherapie van eustachius
56749001;perfusie lymfe met koorts
56757003;scraping
56761009;hechting gewrichtskapsel met implantatie van
56767008;gas - vloeistofchromatografie - coulson conductivity type
56770007;anti - dnase - a -
56782003;directe trombectomie vena subclavia op nek incisie
56783008;drainage via de incisie
56784002;verwijdering van automatic implanteerbare defibrillator , defibrillator pads en electrodes
56791004;hervormen ectomie
56792006;test van circumference
56801004;percutane transluminale angioplastiek van arteria renalis
56807000;ureterolithotomie
56810007;open reductie van voet en teen
56812004;verwijdering van hartpacemaker met synchronous implantatie
56816001;plaatsing van davidson button naar buik
56821003;plaatsing van drain naar vagina
56833008;office endometrium curettage
56834002;herstel van abdominaal aneurysma van viscerale bloedvaten met transplantaat
56857008;serum neutralization -
56862009;open biopsie sacrococcigeale regio
56868008;measuring volume
56870004;avulsie van supraorbital zenuw
56872007;core biopsienaald speekselklier
56875009;aneurysmaherstel met transplantaat van arteria hepatica
56876005;drugs rehabilitatie en detoxificatie ,
56880000;ferric chloride test
56897006;grote thoracotomie met verwijdering van intrapulmonary corpus alienum
56901000;inspuiting van anesthetica naar okselzenuw
56908006;van vas deferens
56909003;paracentese bronchus
56919009;butabarbital -
56948003;sondevoeding door drip - kleuring
56957009;reconstructie van ooglid , volledige dikte
56959007;chirurgie globus pallidus
56960002;, harem -
56967004;bilaterale van ovo - testis -
56970000;centraal shunt met implantatie transplantaat
56976006;van hematoom van
56987003;bsp clearance functieonderzoek
56991008;discission
56993006;vaginale spoeling
56994000;dorsale fusie voor pseudoartrose
57004004;b è ta - lactamase opwekking diathesis test
57011000;open reductie van ontwrichting , kaak
57018006;anesthesie en verrichting venen van knie en poplitea gebied
57025004;herstel van ductus
57026003;reductie atraumatic heup luxatie met algemene anesthesie
57065000;cauterisatie van neusschelp - letsel
57069006;herstel van verkeerd humerus met iliaca autograft
57070007;confrontation therapie
57071006;sympathectomie
57083008;vasculaire diagnostische verrichting sympathische ganglia
57084002;amalgam restoration , twee surfaces primair
57093001;echocardiografie , real - tijd met image documentation met - overdraagbare recording , volledige
57103007;retinaloslating herstel door diathermie
57109006;cytotoxicity test voor autoantibody
57113004;pulmonale ventilatie functieonderzoek
57128004;drainage via de incisie bekken en diepe abces
57139001;fysiotherapeutische service door een corpus gebied
57144008;huid snip verwijdering en onderzoek voor onchocerca
57151004;cheilostomatoplasty
57152006;herstel van hallux valgus
57157000;excisie van weke delen van thorax diep - subfascial , intramusculaire
57166001;marsupialisatie van prostaat
57168000;botoperatie
57170009;audiologic functietest met medisch onderzoek
57173006;paracetamol urine
57179005;anesthesie en radicale verrichting opperarmbeen of elleboog
57200001;colpotomie
57212002;calico - ileoneocystostomy
57214001;effleurage
57217008;thompson chirurgie nao hazenlip herstel
57224009;anamnese met taking , medicolegal investigation
57233006;inseminatie , met spermatelling wash en capacitation
57235004;r ö ntgenfoto van sacrum
57236003;herstel van fistel
57238002;selectieve embolisatie van arterie
57239005;rapid urine - - bioluminescence
57242004;cytopathology - screening uitstrijkje , routine - genitale bevindingen door cytotechnologist
57245002;pylorostomy
57262007;manipulatie van epifyse
57271003;extraperitoneal keizersnede
57274006;beginlaesies van nier
57276008;excisie van pelvirectal weefsel
57278009;open reductie van uiteen femurepifyse tibia en fibula
57297009;implantatie elektrode naar hartboezem en ventrikel - implantatie
57299007;verwijdering fascia
57307001;release voor synovitis , abductor pollicis longus
57324007;restoration , kroon , resin met overwegend schedelbasisfractuur metalen
57330007;excisie van van of weefsel van tibia en fibula
57338000;elektrocardiogram slokdarm loodvergiftiging
57343007;nonobstetrical van bougie naar cervix
57347008;stollingsstoornis - met substitution
57350006;slocum - test
57354002;denver shunt patency -
57363000;transplantatie heterotopisch niervene
57365007;excisie van aorta , met interposition transplantaat implantatie
57366008;exploration van
57367004;verwijderen van weke delen
57378007;eiwit urine
57385006;inwendige foetale monitor maintenance
57388008;bloeding voorzorgsmaatregelen
57398002;polydactylie van nervus hypoglossus anastomose
57399005;plasminogeen
57401004;borstreconstructie derde graad van transplantaat
57411006;colpoperineoplastiek na bevalling
57416001;segmentale osteotomie mandibula
57417005;darm beeldvorming voor divertikel
57422005;ureter dilatatieverrichting
57425007;witte gespecificeerde hemorragische preparation - invert - spin
57430006;chart onderzoek niet - healthcare professional
57434002;radicale hysterectomie met en bloc resectie van crohn organen en weefsels
57435001;endoscopie dikke darm via kunstmatige stoma
57438004;autopsie , mastopathie / microscopie , granulomateuze
57443006;physiatric stretching van fascia
57447007;microcomplement gebruik test
57449005;kwik nagels
57456004;met staan ntentransport training
57462009;vervanging tube of enterostomie van dikke darm
57464005;medisch onderzoek vliezen hypnotherapie
57470004;open reductie van fractuur met inwendige fixatie
57474008;digitale onderzoek enterostomie stoma
57485005;zuurstofinhalatietherapie
57486006;torsie van testes reductie met van contralateral testis
57496002;excisie sacrococcigeale regio
57501001;laboratorium , reporting - cum sum
57520004;ziekenverzorging audit
57523002;tenotomie veneuze met ligatuur
57525009;subtotale perineale prostatectomie
57526005;coproporphyrin -
57532000;anesthesie en intrathoracale nao
57537006;zorgevaluatie
57545001;ligatie , arterie , thoracale
57551006;iridotasis
57554003;borst capsulotomie
57561004;osteotomie van calcaneus
57563001;letsel drainage via de incisie van
57569002;opticociliary neurectomie
57571002;gekruist rechte been test
57580002;anesthesie en verrichting thoracalis
57582005;alcohol , methyl -
57589001;artroplastiek , acetabular en van femoralis vervanging , allograft
57598003;ventriculaire fistel van beenmerg
57617002;urine monsters subduraal
57624001;calculus analyse kwantitatief
57632009;plication van
57633004;aspiratie spermatok è le
57639000;resectie van blaas
57640003;van radius zonder tenotomie
57655007;ureterosigmoidostomy
57660006;verwijdering van huid zonder incisie
57668004;excisie naevus van
57673005;restoration , inlay - metallic , oppervlak
57674004;drainage van hematoom neus door inwendige approach
57677006;verwijdering van het punctum lacrimale door incisie
57687005;implantatie pessaria naar vagina
57696005;excisie van van of weefsel van radius
57698006;anesthesie en thoracoplastiek
57700002;verwijdering van het punctum lacrimale
57703000;extractie , permanent
57704006;plaatfixatie van van thorax ribben , sternum
57721002;tricuspidalisvalvotomie
57746002;hechting beenvlies femur
57751008;herstel gewrichtskapsel
57761001;implantatie allen - brown cannula
57780004;radioiodohippurate natrium renogram , serial scan
57806001;chirurgie van de huid van hals
57810003;open reductie van tandlijst maxilla
57822000;van arteria cerebralis
57833002;hechting gewrichtskapsel met enkelartroplastiek
57839003;fascia lata transplantaat door stripper
57847003;crisisinterventie door groepstherapie
57867007;kunstmatige urinesfincterplaatsing
57872003;myoplastiek door transplantatie en implantatie fascia
57874002;abdominale flebectomie
57875001;provisional spalkaanbrenging , intracoronal
57876000;inspuiting van van tussenwervelschijf ruimte met chymotrypsin
57878004;fractuur van patella
57881009;ventriculaire shunt - cisterna magna
57888003;allen - test
57896008;penisprothese verwijdering
57900006;costotransversectomy
57902003;mri van kaak
57904002;drainage van cerebrale subduraal door aspiratie
57906000;bacterieel typering
57919001;intercarpal fusie met autograft
57922004;laparoscopische pyloromyotomie
57931004;slagaderperforatie
57932006;stain , peroxidase - en beenmerg
57942008;elektrostimulatietherapie
57944009;pees pulley herstel
57946006;chloralhydraten ne urine
57961007;attachment van pedicle transplantaat van extremiteiten
57966002;radiotherapie delen en geometric inhomogeneity herstel
57970005;virus serologische test van paired samples
57976004;transport , pati ë nten - in - ziekenhuizen service - service
57983006;chirurgie voor wervelletsel op phalanges van voet
57990001;ptoseherstel door pudendalis spier ,
58000006;pati ë nten
58011003;r ö ntgenfoto van strottenhoofd
58012005;ganglion gasseri block
58013000;unbridling van arterie van extremiteit
58029008;speciaal cytopathology nao , liquefaction - sputum / uitstrijkje
58030003;exploration van de traanzak
58036009;gedeeltelijk anterovertical laryngectomie
58057001;excisie neurofibroom cutane zenuwletsel
58058006;afzuigen van
58059003;wash rode voor transfusie
58063005;monsters subduraal onderwijzen
58065003;prefabricated syndroom met kern van addition - etsbrug retentieapparatuur
58073007;van lymfeklieren
58074001;bronchoplastiek met transplantaat herstel
58076004;fotorefractieve keratectomie
58079006;herstel bronchomediastinal fistel
58082001;luchtembolie contrast orbitography
58088002;urine monsters subduraal , suprapubische
58090001;pancreaticocystoenterostomy
58094005;galweg stentverwijdering
58101007;incisie en exploration van
58113002;volledige bovengebitsprothese
58114008;endoscopie , van de vulva
58117001;destructieve operatie van schouder en bovenarm
58127007;coretomie met corneoscleral keizersnede met cyclectomy
58145007;em functieonderzoek soa - onderzoek en report
58157003;splenorenale shunt
58169006;biofeedback , thermaal
58191004;enkelvoudige sialodochoplasty
58204008;herstel van annulus , hartklep -
58205009;verwijdering van intraluminal corpus alienum in bronchus door bronchoscopie
58211007;verwijdering van hartpacemaker batterijvervanging
58216002;preventive incisie
58225008;wijziging in bot lengte van tibia
58231006;venasectie been
58238000;tracheoscopie via stoma
58245000;oogspieraanpassing meerdere , resectie en recession
58259007;r ö ntgenfoto van weke delen
58268009;indirecte laryngoscopie , diagnostisch
58277002;dilatatie en curettage ( ( cavum douglasi
58302005;tenotomie arm
58303000;anastomose , galblaas - lever galwegkanker
58316000;angiografie armarterie extremiteiten met serialography
58318004;galweg oplosbaarheid test
58321002;osteotomie voor korte van phalanx van teen
58324005;transplantatie dura
58332002;allergie voor onderwijs
58333007;van temporale pouches
58337008;transorbital leukotomie
58347006;lymfadenectomie
58365005;diathermie van de dunne darm
58366006;plastische chirurgie met radialis incisie
58372006;transradiculaire opbouw
58375008;iq - test , wais
58378005;phrenicotomy
58380004;pericardiostomie
58385009;transplantatie , tuba fallopii
58388006;herstel inscheuring van conjunctiva
58390007;lymfocytenreactie beenmerg transplantatie
58391006;diafragma aanmeten met instructions
58396001;calculus analyse qualitative
58400001;chiropraxis onderzoek
58401002;extractie van resttype tand roots
58413007;transport , pati ë nten - - gespecialiseerde verpleeginrichting voor serum 2 zorg
58418003;epidurale injectie , neurolytic aambeien van coccyx
58420000;excisie overmatige huid abdomen
58425005;chirurgische tracheostomie sluiting met plastische chirurgie
58427002;antibiotica -
58428007;koorts agglutinines panel tyfus gespecificeerde en h - a en b brucella en proteus nagel 19
58448000;lyophilized stollingsstoornis concentrate - reconstitution
58452000;fysiotherapie training
58456002;chirurgie van de parotis
58473000;door gebruik van van qualitative screen
58486009;br -
58490006;hervormen van subarachnoidale , ureter shunt
58492003;enucleatie van van subcutis
58494002;ankylose van elleboog
58496000;restoration van wenkbrauw met transplantaat
58506009;embolectomie aorta ascendens
58515002;cryoleucotomy
58518000;botscan nao vasculaire functieonderzoek
58519008;implantatie van attachment met arruga
58530006;bathing pati ë nt bed
58533008;inseminatie
58534002;microbial groeivertraging hartfrequentie test
58543006;plasminogeen - activator inhibitor
58551009;dichtnieten handwortel
58553007;leuko - b - fibroblasts
58563004;endoscopie klep
58568008;goldthwaite chirurgie voor enkel stabilization
58582008;hiv groeihormoon - antistof
58586006;microbial ei - parasiet onderzoek
58587002;diagnostische culdoscopie met biopsie
58589004;hepatitis - antigeen
58599009;reductie carpometacarpale duim met manipulatie
58611004;epidurale injectie , anesthesie stoffen therapie , lenden - continue
58614007;van fistel
58622000;operatieve transluminale coronaire angioplastiek viscerale arterie
58632007;herstel van pols generator
58633002;littekenexcisie thorax
58651001;van thenar ruimte
58653003;stollingsstoornis ( galvanocauterisatie uitwendig oor
58661008;herstel van uterus
58662001;verwijderen heterotopisch bloedvaten
58665004;revisie van corrective verrichting hart
58681009;sputumkweek , slide
58685000;herstel cholecystocolic fistel
58689006;magnet van lens
58704009;verwijdering van voet , diepe
58705005;bracht maneuver
58707002;mondhygi ë ne onderwijzen
58709004;cryochirurgie van duodenum
58713006;mri van het skeletspierstelsel structuren
58715004;bewegend pati ë en - stretcher
58717007;infusie , arteri ë le profylaxe stof
58719005;scan van uterus
58746000;artrogram van kaak
58771002;game analyse
58776007;autologe transplantatie , beenmerg -
58779000;biologische assay
58791009;tepelvormig oedeem
58809006;osteoarthrotomy
58814005;endodontische behandeling , retreatment voorste door report
58818008;excisie van van buik arterie
58821005;traankanaal probe speekselgangen
58825001;gesloten repositie van ontwricht gewricht
58828004;van verbandmiddelen steriel
58835007;thermocauterization voor cryochirurgie van cornea
58837004;drainage van temporale pouches
58844008;bypass transplantaat met heterologe transplantatie
58857000;herstel perirectaal fistel
58862004;entropion herstel met teennagelwig resectie
58863009;beginlaesies innesteling van transseksueel - oogkamer hulpmiddel
58866001;implantatie implanteerbare intraveneuze infuuspomp
58873006;gewijzigde goeckerman regimen
58877007;anesthesie en axillaris - aneurysma
58884004;suture kapselruptuur voet
58889009;laserpexy
58902001;ilioiliac bypass met vene
58920005;beeldvorming carotis arterie
58932009;individu natuurlijke geboorte onderwijzen
58951003;bekken ultrasonografie nao nao , beperkte
58953000;nystagmus test
58968004;parti ë le van speekselklier
58981006;inspuiting van contrast media voor radiografie
58982004;verwijderen gewrichtskapsel
58985002;cauterisatie van de vulva
58987005;implantatie van stimoceiver van wervelkolom
58992007;patellectomie
58993002;herstel van ulna
59000001;chirurgische pathologie consult en report van uitstralende slides prepared elders
59012002;carotid - subclavian bypass met vene
59014001;procainamide -
59042004;gesloten repositie van ontwrichte elleboog
59046001;laryngotracheobronchoscopy met biopsie
59048000;mono -
59053005;artroscopie elleboog met volledig synovi ë ctomie
59077004;canthotomy
59081004;ossiculectomy met tympanoplastiek
59085008;bilaterale gemodificeerde radicale nekdissectie
59092003;monitoring van ventriculaire druk
59096000;fecale urobilin kwantitatief
59100004;segmentale osteoplasty van kaak
59105009;darm beeldvorming voor ectopie
59108006;injectie
59109003;herstel van arteria carotis externa
59117006;implantatie van hart met weefseltransplantaten
59124007;verwijdering van calcareous neerslag in bursa hand
59133009;biopsie gewricht van
59148003;inspuiting van therapeutische stof naar lever
59164006;herstel gastroschisis met gewrichtsprothese transplantaat
59167004;implantatie van hersenzenuwen
59175005;ligamentous herstel van niet - gewricht
59180001;injectie naar het hoofd
59184005;hervormen klepplaatsing
59196003;faryngoplastiek met silastic implantaat
59200008;segmentale dermabrasie aangezicht
59209009;toxicologie test voor insecticide
59213002;herstel van ruptuur supraspinatus pees , acute
59214008;borstverkleining
59218006;tijdelijke transcutane pacing
59219003;imbrication gewricht
59230000;verwijdering van klep vas deferens
59234009;coretomie met corneoscleral keizersnede , optische
59254005;water analyse
59260005;auto - s - a -
59290003;anesthesie en transabdominal hernia diaphragmatica herstel
59295008;biopsie vingerkootjes
59300005;miltoperatie
59302002;hexosaminidase a en hexosaminidase a en b - leucocyten -
59304001;open pancreasbiopsie
59306004;flexibele sigmo laryngoscopie met vreemd lichaam verwijdering
59322003;anesthesie en phleborrhaphy van venen van onderarm , hand
59323008;fusie met transplantaat
59325001;dunnenaaldaspiratie van bronchus
59355008;irrigatietherapie door katheterisatie van sinus maxillaris
59360007;anesthesie en parti ë le hepatectomie
59364003;script analyse
59368000;phenol ï ne urine
59372001;inwendige drainage van pancreas
59377007;open reductie van acromioclaviculair verschuiving ,
59378002;destructieve operatie van neus en nasofarynx
59388001;celtelling vloeistof
59389009;herstel van verkeerd tibia met iliaca autograft
59390000;fasciotomie voet en teen
59392008;endoscopie mamma
59395005;reductie van gesloten clavicular van fractuur met manipulatie
59408004;sitting pati ë up in stoel betrokken is
59411003;van weefsel diafragma
59413000;radiologic guidance voor urethradilatatieverrichting
59415007;positienystagmus test
59416008;avulsie van nervus phrenicus
59418009;nonexcisional wondtoilet wond of van huidsysteem
59420007;open maagbiopsie
59421006;nasoenteric buis van aspiratie
59424003;reagent bloed - preparation enzyme deficiency ' treated pool
59427005;, langzamegolf - intermitterende mandatory beademing
59428000;decompressie van de voetzool nervus digitalis
59429008;pedicle nao periapicaal weefseltransplantaten nao
59430003;drainage via de incisie van hematoom van
59444009;bifemoral bypass met vene
59446006;suture anale sfincterherstel
59458006;manipulatie van hoofd
59460008;periapicaal bot implantatie graft - , inclusief weefsellap entry en sluiting
59461007;directe herstel abdominale arterie
59465003;cryochirurgie van cornea door cryotherapie
59474001;reductie van mandibularis fractuur met manipulatie met uitwendige fixatie
59476004;herstel oronasal fistel
59478003;vasoactive de polypeptide -
59493004;verwijdering van de traanzak door incisie
59500009;witte gespecificeerde hemorragische preparation - nylon - inferiorfilter
59504000;uterus suspension met presacrale sympathectomie
59517002;radioiron body distribution functieonderzoek
59518007;zure fosfatase
59524001;bloed bank nao
59543001;autopsie - clerical nao
59557004;koper lever weefsel
59567009;imbrication diafragma
59573005;kalium
59578001;chirurgische pneumoperitoneum en long
59580007;herstel van hersenzenuwen
59582004;hepatitis - b - kernantistof
59585002;psychiatrische commitment - psychiatrische instelling
59590004;oogexcisie met implantaten en attachment van spier
59596005;nier training thuis
59601001;huidabrasio aangezicht
59607002;verwijdering van sinus frontalis
59608007;diagnostische radiografie met doorlichting borstkas
59615004;test order door laboratoriumtest initiatief
59619005;verwijdering van bloedstolsel door culdoscopie
59620004;mastectomie voor gynaecomastie
59626005;parti ë le , diepe
59629003;destructieve operatie van enkel en voet
59632000;cpr onderwijzen
59638001;drainage van bursa door aspiratie
59649007;excisie van bloedvaten
59654003;van vagina weefsel
59656001;van pancreas
59657005;intestinale bypass obesitas
59661004;herstel incontinentie
59669002;fistelvorming van door trepanatie
59677003;interposition implantatie carpometacarpale gewrichten
59681003;fecale urobilinogeen kwantitatief
59687004;laryngeale poliepectomie
59688009;verplaatsing van lengte pees
59690005;compensating - inferiorfilter design en fabrication
59694001;beroepsmatige sociale therapie
59696004;curettage cerebrale meningen
59697008;synovi ë ctomie vinger
59701006;herstel ureterocervical fistel
59703009;fusie van wervelkolom cervicaal door voorste ,
59705002;korte - golf diathermie
59710003;eenvoudige orchidectomie met placement testiculaire prothese door scrotale approach
59712006;verwijdering van subduraal hematoom
59716009;reductie van grootte buikwand
59719002;exteriorization
59734008;biopsie van oog en orbita
59750000;totale hysterectomie met enkelzijdig verwijdering fallopii en oforitis
59766003;excisie parovariumcyste
59778004;positief contrast laryngography
59784001;tractus service ( nao
59789006;type i , gingivitis oppervlakkige pocket therapie
59792005;serum antimicrobial niveau assay kleuring
59793000;armamputatie via opperarmbeen , reamputation
59800002;radiografie , met contrast media injecties , dubbelzijdig
59810006;excisie van van door halving nao
59823004;fistelherstel scrotum
59825006;medische verrichting urethra
59829000;reductie van gesloten talotarsal luxatie met anesthesie
59851008;elektronystagmogram
59856003;exploration van arterie van hoofd en hals
59858002;assembly en operatie van pomp met oxygenator of warmte exchanger met monitoring
59860000;verwijdering van intact van mamma implantaat , bilateraal , plus capsulectomies
59861001;destructieve operatie van bovenbeen en onderbeen
59866006;excisie van perifere
59868007;borstreconstructie met split - thickness transplantaat
59875008;open reductie van sternoclaviculair luxatie acuut
59879002;aneurysmaherstel met transplantaat van arteria vertebralis
59893009;tricuspidalisklepherstel met weefseltransplantaten
59896001;dilatatie van het rectum
59900003;manual en mechanische tractie
59902006;osteoclasis van vingers
59911006;weefsel , autoradiography
59912004;pancreaticoduodenostomy
59916001;cerebrospinaal vocht flow beeldvorming shunt onderzoek
59921003;restoration , kroon , porseleinen vergroeiing van hoofdzakelijk schedelbasisfractuur metalen
59933008;implantatie pijnongevoeligheid met anhidrose prothese , hand
59942001;stripping van subduraal membraan
59943006;cauterisatie van cyste van
59959006;herstel van
59960001;ammonium
59965006;van submental ruimte
59982008;korte - uterosacral ligament
59985005;beenmerg verkleuring en interpretation
59991007;verwijdering van intraluminal uit cervix
59993005;galactose urine
60006002;intrathoracale flebografie
60027007;r ö ntgenfoto van pols
60041003;laryngofaryngectomie
60044006;gesloten repositie van ontwricht gewricht , hand
60055006;herstel cholecystojejunal fistel
60056007;inbrengen van therapeutische stof naar fascia
60059000;ziekenhuis , admission - infant - en observatie , met outside , ziekenhuis
60060005;biopsie extraoculaire pees
60068003;van saccus endolymphaticus
60079008;curettage meninges
60089007;gedeeltelijk rhinectomy
60095008;injectie naar bekken
60096009;enucleatie van speekselklier
60104001;drainage via de incisie van manus
60112009;afhankelijkheid advies
60116007;complementfactor fractuur titration
60128004;gecompliceerde scrotoplasty
60133000;kleuronderscheidingsvermogentests nao uitgebreide
60139001;chirurgie oesophagogastroduodenoscopie
60143002;galactose - 1 - fosfaaturidyltransferasedefici -
60151004;pasgeborenen
60158005;bilaterale bisection ovarium
60159002;implantatie pijnongevoeligheid met anhidrose prothese , knie
60170009;arteri ë le bloedgassen
60172001;partieel wervelkolom lumbaal
60173006;serum antimicrobial niveau immuno - assay
60177007;mechanische vitrectomie
60183005;alfa globuline gen analyse vruchtwater
60186002;laparoscopie met aspiratie
60194009;distale pancreatectomie met splenectomie
60196006;inspuiting van alcohol sympathische zenuwen
60201002;anesthesie en gesloten operatie van sacrum
60204005;cauterisatie van de conjunctiva
60218003;urine prote ï ne - qualitative
60228007;cholecystectomie , met exploration ductus communis met cholangiografie
60229004;diepe incisie met lichaamsopeningen van cortex van streek
60256002;fysiotherapeutische service
60263002;destructieve operatie bloedvaten
60267001;carcino - embryonaal antigeen
60270002;replace tanden - per tand tandheelkundig brugwerk
60278009;verwijdering van femur
60282006;hlar agar - kleuring test
60283001;herstel aorto - duodenale fistel
60284007;immunoreactive insuline
60287000;fotomicrografie
60305009;herstel mesenterium
60306005;folaat serum
60312000;implantatie , biliaire
60353008;microbial identification , net eustachius kleuring
60362005;hechting van het sigmo ï d
60369001;bathing pati ë nt
60372008;hla class i typering
60374009;morphometric analyse
60385006;trombectomie met katheterisatie van arteria ulnaris op arm incisie
60388008;anesthesie en verrichting huidsysteem hoofd en hals
60408005;osteoclasis van scapula
60419008;c - 1 - - complementfactor
60422005;open reductie van open heupdislocatie luxatie
60440009;knie artroplastiek femorale condyles met wondtoilet en parti synovi ë ctomie
60443006;mri van wervelkolom met contrastmicroscopie
60453007;hydro - in hubbard tank
60463004;salpingostomie
60465006;permanente gastrostomie
60478006;lokale actinotherapie
60480000;immunoperoxidase - met avidin biotinedefici complex
60482008;clips , en clean wond plaatsen
60486006;bevestiging , intramedullaire radius
60497006;transplantatie , huid en slijmvliezen
60501001;ventriculoperitoneale shunt jugularis shunt
60510009;operatie van , subduraal , jugularis shunt
60515004;spier - test electrodiagnosis met chronaximetry
60519005;turbidity - kwantitatief
60523002;herstel caecostomie
60538001;verwijdering van interne fixatie van tibia
60539009;ultrasonografie nao nao nao
60554003;polysomnografie
60562006;tandextractie cement van exposed roots
60568005;herstel van de ligamenten door interposition
60572009;vasculaire subclavia - subclavian bypass
60581003;intrathoracale slokdarm anastomose met interposition van dunne darm
60595000;aangezicht accessorius anastomose
60606003;duodenocholedochotomy met transhepatische choledocholithotomie
60611001;vineland sociale maturity -
60619004;r ö ntgenfoto vingers
60624001;van klep van vas deferens
60629006;synergism test
60633004;bilaterale subcutane met synchronous implantaat
60639000;excisie van van weke delen van aangezicht
60648005;incisie van vene
60654006;buikr ö ntgenfoto
60656008;keratoplastiek
60659001;physiatric manipulatie van
60660006;operatie van caldwell - luc met verwijdering van lining
60661005;incisie van radius
60664002;controle orofaryngeale bloeding
60668004;sarcoom ö ntgenfoto van buikwand
60685002;prostatocystotomy
60689008;thuiszorg
60709001;verwijdering van de huid en transplantaat
60712003;excisie van van
60723004;dilatatie van ureterovesical mond
60725006;complex vestibuloplastiek
60726007;crush
60744004;anesthesie en schouder spica nao
60749009;hervormen eerdere herstel hersenzenuw
60752001;parasiet test bloed
60753006;mcindoe chirurgie voor vaginale constructie
60758002;lysis van adhesie
60761001;endoscopie aorta
60768007;trigeminusablatie binnenooranomalie door cryochirurgie
60775008;core biopsienaald dikke darm
60779002;artrotomie voet en teen
60785009;van bot
60799008;antistof huid antigeen door immunofluorescentie
60800007;blaas retraining
60809008;biopsie van clitoris
60827006;lak celtherapie
60836005;verwijdering van antecubital fossa
60841002;tenotomie voorste synechia iridis
60851001;core biopsienaald vesicula seminalis
60852008;zorg nursing borst
60858007;herstel urethroperineale fistual
60864000;autopsie review voor conference
60869005;verwijderen van aorta ascendens
60873008;transport , teen - vingers , duim
60883007;training bij persoonlijke periodontale zorg plaque controle
60890002;vrouwelijke sterilisatie
