conceptId;Beschrijving;conceptId;Beschrijving Matecat;conceptId;Beschrijving thot mw;conceptId;beschrijving thot
90871000;fasciale greffe voor tarsaal kraakbeen;90871000;Enten van fascia te tarsal kraakbeen;90871000;transplantatie fascia van tarsalia kraakbeen;90871000;transplantatie fascia van tarsalia kraakbeen
90899009;gesloten reductie en inwendige fixatie van een fractuur van een falanx van de hand;90899009;Gesloten vermindering van de breuk van vingerkootjes van de hand met interne fixatie;90899009;gesloten repositie van fractuur van vingers met inwendige fixatie;90899009;gesloten repositie van fractuur van vingers met inwendige fixatie
90904008;utriculectomie;90904008;Verwijdering van utricle labyrint;90904008;verwijdering utriculus van labyrint;90904008;verwijdering utriculus van labyrint
90907001;verkorten van handpees;90907001;Verkorting van de pees van de hand;90907001;korte pees van hand;90907001;korte pees van hand
90931006;introductie van catheter in arteria carotis;90931006;Introductie van katheter in de halsslagader;90931006;katheterisatie , arteria carotis;90931006;katheterisatie , arteria carotis
90976006;endoscopie van het jejunum;90976006;Endoscopie van jejunum;90976006;endoscopie van jejunum;90976006;endoscopie jejunum
90989000;arteriectomie van thoracale aorta;90989000;Arteriectomy van thoracale aorta;90989000;arteri ë ctomie van thoracale aorta;90989000;arteri ë ctomie aorta thoracalis
90991008;periprosthetische capsulectomie van borst;90991008;Periprosthetic capsulectomy van de borst;90991008;periprothetische capsulectomie borst;90991008;periprothetische capsulectomy borst
91015005;aanleggen van oleothorax;91015005;Oprichting van oleothorax;91015005;chirurgische oleothorax;91015005;chirurgische oleothorax
91045008;destructie van weefsel van mediastinum;91045008;Vernietiging van weefsel van mediastinum;91045008;destructie weefsel van het mediastinum;91045008;van weefsel van het mediastinum
91073005;herstel van intrinsieke handmusculatuur;91073005;Reparatie van de intrinsieke spieren van de hand;91073005;herstel binnenmusculatuur hand;91073005;herstel van intrinsieke spieren hand
91115007;linker hartscatheterisatie , links , gecombineerd retrograad en transseptaal;91115007;Hartkatheterisatie , links hart , gecombineerd transseptale en retrograde;91115007;hartkatheterisatie linker hart neuromusculaire transseptal en retrograde;91115007;hartkatheterisatie linker hart neuromusculaire transseptal en retrograde
91157001;greffen van fascia;91157001;Implantaat fascia;91157001;transplantatie , fascia;91157001;transplantatie , fascia
91157001;greffen van fascia;91157001;Implantaat fascia;91157001;transplantatie , fascia;91157001;transplantatie , fascia
91165003;subapicale osteotomie in de onderkaak;91165003;Subapicale osteotomie van de onderkaak;91165003;subapical osteotomie mandibula;91165003;subapical osteotomie mandibula
91176004;open trombectomie van vena femoralis en vena poplitea via abdominale en been incisie;91176004;Direct thrombectomy van ader femoropopliteale door abdominale en been incisie;91176004;directe trombectomie van femoropopliteal v door buik en been incisie;91176004;directe trombectomie van femoropopliteal v door buik en onderste incisie
91184000;exploratie van een intracraniale arterie;91184000;Verkenning van intracrani ë le slagader;91184000;exploratie arteria;91184000;exploration van arteria cerebralis
91186003;rx lengtepredictie;91186003;Radiografie voor botlengte studies;91186003;r ö ntgenfoto voor bot lengte test;91186003;radiografie voor bot lengte test
91219007;corrigeren van een rectum atresie;91219007;Correctie van atresie van rectum;91219007;herstel atresie van rectum;91219007;herstel congenitaal nao
91228008;excisie van letsel ter hoogte van de vinger;91228008;Uitsnijden van letsel van gewricht van de vinger;91228008;excisie van gewricht;91228008;excisie van gewricht
91243005;osteotomie en transfer van grote trochanter;91243005;Osteotomie en de overdracht van grote trochanter;91243005;osteotomie en ntentransport trochanter major;91243005;osteotomie en transport , greater trochanter
91250009;frontale sinusotomie via intranasale weg;91250009;Frontale sinusotomy door intranasale aanpak;91250009;frontalis sinusotomie door intranasal approach;91250009;frontale sinusotomy door antrostomie approach
91276009;thyro ï d isthmectomie;91276009;schildklier isthmectomy;91276009;schildklier istmusresectie;91276009;struma isthmectomy
91292004;herstel interventriculair septum in tapvu;91292004;Reparatie van ventriculaire septum in de totale reparatie van de totale abnormale pulmonale veneuze verbinding;91292004;herstel ventrikelklepdefect in totale herstel anomalie;91292004;herstel ventrikelklepdefect in totale herstel verbinding
91333005;MRI thoracale wervelkolom met contrast;91333005;Magnetische resonantie beeldvorming van thoracale wervelkolom met contrast;91333005;mri van wervelkolom met contrastmicroscopie;91333005;mri van wervelkolom met contrastmicroscopie
91392002;incisie van een getromboseerde haemorroide;91392002;Insnijding van thrombosed aambei;91392002;van getromboseerde aambeien;91392002;van getromboseerde aambeien
91404008;insertie van een botstimulator;91404008;Het inbrengen van botgroei stimulator;91404008;katheterisatie van groeivertraging vagus stimulatorverwijdering;91404008;plaatsing van groeivertraging vagus stimulatorverwijdering
91439008;exploratie van parathyroidklier;91439008;Verkenning van de bijschildklier;91439008;exploratie bijschildkliertumor;91439008;exploration van de bijschildklier
91441009;punctie van cisterne met injectie;91441009;Cisternal punctie met injectie;91441009;cisternal aspiratie met injectie;91441009;cisternal aspiratie met injectie
91453008;echografie van de thorax , A - mode;91453008;Echografie van de borst , A - mode;91453008;echo borst , niet - overdraagbare;91453008;echo thorax - overdraagbare
91457009;colpocleisis , type Le Fort;91457009;Colpocleisis , Le Fort soort;91457009;colpocleisis - cellen fort type;91457009;colpocleisis - cellen fort type
91509000;excisie van meniscus thv sternoclaviculair gewricht;91509000;Uitsnijden van meniscus van sternoclavicular joint;91509000;verwijdering van meniscus van sternoclaviculair gewricht;91509000;verwijdering van meniscus van sternoclaviculair gewricht
91516004;distale subtotale pancreatectomie met pancreatico - jejunostomie;91516004;Distale subtotaal pancreatectomy met pancreaticojejunostomie;91516004;distale pancreatectomie met pancreaticojejunostomie;91516004;distale pancreatectomie met pancreaticojejunostomie
91522008;excisie van de varikeuze vena ovarica;91522008;Excisie van ader ovari ë le spataderen;91522008;verwijdering ovarium spataderen;91522008;verwijdering ovarium spataderen
91528007;kraakbeenresectie van een vinger;91528007;Chondrectomy van de vinger;91528007;verwijdering van vinger;91528007;verwijdering van vinger
91531008;subtotale suprapubische prostatectomie;91531008;Een podium subtotaal suprapubische prostatectomie;91531008;n stadium subtotale suprapubische prostatectomie;91531008;n stadium subtotale suprapubische prostatectomie
91567001;innemen van stoma van bronchus;91567001;Take - down van de stoma van bronchus;91567001;tracheostomie sluiting bronchus;91567001;tracheostomie sluiting bronchus
91568006;excisie van de glomus caroticus;91568006;excisie van letsel en / of weefsel van caroticum;91568006;excisie van of weefsel caroticum;91568006;excisie van of weefsel caroticum
91579001;herstel van de bovenkaak;91579001;Reparatie van de onderkaak ridge;91579001;herstel van rand;91579001;herstel van rand
91592003;herstel fistel sinus van valsalva;91592003;Sluiting van fistula van de sinus van Valsalva;91592003;fistelherstel sinus valsalvae;91592003;fistelherstel sinus valsalvae
91596000;pneumonectomie met klierevidement;91596000;Volledige excisie van long met mediastinum dissectie;91596000;enucleatie van long met mediastinaal dissecans;91596000;enucleatie van long met mediastinaal dissecans
91600005;open reductie van gesloten coccyxfractuur;91600005;Open reductie van gesloten coccygeale fractuur;91600005;open reductie van gesloten coccygeum fractuur;91600005;open reductie van gesloten pilonidalis fractuur
91602002;thoracocentese;91602002;Pleurapunctie;91602002;pleurapunctie;91602002;pleurapunctie
91621005;totale gastrectomie met darm interpositie;91621005;Totale gastrectomie met intestinale tussenkomst;91621005;totale gastrectomie met intestinale interposition;91621005;totale gastrectomie met intestinale interposition
91625001;selectieve vagotomie;91625001;selectieve vagotomie;91625001;selectieve vagotomie;91625001;selectieve vagotomie
91627009;plaatsen van botgreffes in de scapula;91627009;Enten van bot schouderblad;91627009;transplantatie , bot scapula;91627009;transplantatie , scapula
91675004;arthroscopisch verwijderen van een vreemd voorwerp uit de elleboog;91675004;Artroscopie van de elleboog met de verwijdering van vreemd lichaam;91675004;artroscopie elleboog met vreemd lichaam verwijdering;91675004;artroscopie elleboog met vreemd lichaam verwijdering
91679005;plicatuur van het jejunum;91679005;Sing van jejunum;91679005;plication van het jejunum;91679005;plication - colostomie
103723005;angioscopie;103723005;angioscopie;103723005;angioscopie;103723005;angioscopie
103725003;laser resurfacing van de huid;103725003;Laser resurfacing van de huid;103725003;netvlies laser resurfacing huid;103725003;netvlies laser resurfacing huid
103726002;microvasculaire decompressie van een craniale zenuw;103726002;Microvasculaire decompressie chirurgie hersenzenuw;103726002;microvascular decompressie chirurgie van de craniale zenuwen;103726002;microvascular decompressie chirurgie van hersenzenuwen
103727006;transsectie n vestibularis;103727006;Vestibulaire zenuw sectie;103727006;nervus vestibularis keizersnede;103727006;nervus vestibularis keizersnede
103729009;implantatie middenoorprothese;103729009;Het inbrengen van middenoor prothese;103729009;middenoorprothese plaatsing;103729009;middenoorprothese plaatsing
105371005;SPECT;105371005;Enkel foton emissie gecomputeriseerde tomografie;105371005;spect;105371005;spect
105377009;echografie lever;105377009;Echografie van de lever;105377009;echo lever;105377009;echo lever
107808005;excisie accessoire sinus;107808005;Accessoire sinus uitsnijding;107808005;neusbijholten excisie;107808005;neusbijholte excisie
107812004;vernietigende procedure van accessoire sinus;107812004;Accessoire sinus destructieve procedure;107812004;neusbijholten destructieve operatie;107812004;neusbijholte destructieve operatie
107818000;manuele facilitatie van de larynx;107818000;strottenhoofd manipulatie;107818000;larynx manipulatie;107818000;larynx manipulatie
107820002;tracheobronchiale excisie;107820002;tracheobronchiale uitsnijding;107820002;tracheobronchiale excisie;107820002;tracheobronchiale excisie
107938000;excisie van de dunne darm;107938000;Dunne darm uitsnijding;107938000;dunne darmresectie;107938000;dunne darmresectie
107940005;endoscopie van de dundarm;107940005;endoscopie van de dunne darm;107940005;endoscopie dunne darm;107940005;endoscopie dunne darm
107948003;manipuleren van colon;107948003;Dikke darm manipulatie;107948003;dikke manipulatie;107948003;dikke manipulatie
107963000;lever excisie;107963000;lever uitsnijding;107963000;hepatectomie;107963000;hepatectomie
108028005;ureterectomie;108028005;urineleider uitsnijding;108028005;ureterectomie;108028005;ureterectomie
108034003;cystectomie;108034003;Urineblaas uitsnijding;108034003;cystectomie;108034003;cystectomie
108039008;excisie urethra;108039008;urethra uitsnijding;108039008;urethrectomie;108039008;urethrectomie
108104006;obstetische endoscopie;108104006;verloskunde endoscopie;108104006;amnioscopie;108104006;amnioscopie
108112003;hersenendoscopie;108112003;Brain endoscopie;108112003;hersenen endoscopie;108112003;hersenen endoscopie
108150009;endocopie van het voorste oogsegment;108150009;Anterieure segment van het oog endoscopie;108150009;voorste oogsegment endoscopie;108150009;voorste oogsegment endoscopie
108152001;incisie van lens;108152001;lens incisie;108152001;lens incisie;108152001;lens incisie
108156003;excisie van posterieur oogsegment;108156003;Achterste segment van het oog uitsnede;108156003;achterste oogkameranomalie , verwijdering;108156003;achterste oogkameranomalie , verwijdering
108164009;endoscopie van buitenoor;108164009;Uitwendige oor endoscopie;108164009;oor endoscopie;108164009;oor endoscopie
108180004;excisie van mediastinum;108180004;mediastinum excisie;108180004;mediastinum excisie;108180004;mediastinum excisie
108184008;excisie van het diafragma;108184008;diafragma uitsnijding;108184008;diafragma excisie;108184008;diafragma excisie
110471002;verwijderen van stolsel uit shunt;110471002;Ontstollingstherapie van de shunt;110471002;declotting - shunt;110471002;declotting - shunt
110472009;onderhouden van vasculaire shunt;110472009;Onderhoud van vasculaire shunt;110472009;maintenance - shunt;110472009;maintenance - shunt
110473004;cataract ingreep;110473004;Cataractextractie;110473004;cataract - operatie;110473004;cataract - operatie
112699005;incisie van fascia;112699005;Insnijding van fascia;112699005;van fascia;112699005;van fascia
112702003;curettage van de peesschede;112702003;Curettage van peesschede;112702003;curettage peesschede;112702003;curettage peesschede
112704002;verwijderen van vreemd lichaam uit bursa;112704002;Verwijdering van vreemd lichaam uit bursa;112704002;verwijdering van bursa;112704002;verwijdering van bursa
112716008;excisie van de eerste rib;112716008;Uitsnijding van de eerste rib;112716008;excisie van eerste rib;112716008;excisie van eerste rib
112718009;excisie van de eerste rib en een cervicale rib;112718009;Uitsnijding van de eerste en de cervicale rib;112718009;excisie van eerste en rib;112718009;excisie van eerste en rib
112719001;xiphoidectomie;112719001;Xiphoidectomy;112719001;xiphoidectomy;112719001;xiphoidectomy
112721006;interne fixatie van wervel;112721006;Interne fixatie van het bot van de wervels;112721006;plaatfixatie van fractuur van wervel;112721006;fractuur van wervel
112722004;correctie an een pseudarthrose van de wervelkolom;112722004;Correctie van spinale pseudoartrose;112722004;correctie van pseudoartrose;112722004;herstel van pseudoartrose
112725002;destructie van de intervertebrale discus;112725002;Vernietiging van de tussenwervelschijf;112725002;van tussenwervelschijf;112725002;van tussenwervelschijf
112727005;revisie heupprothese;112727005;Herziening van de heupprothese;112727005;hervormen van heup;112727005;hervormen van heup
112728000;Volledige heuprevisie met gebruik van botcement;112728000;Totaal herzien heupprothese gebruik methylmethacrylaat;112728000;totale hervormen van heup met gebruik van methyl methacrylate;112728000;totale revisie van heup met gebruik van methyl methacrylate
112729008;hechting van wonde van het heupkapsel;112729008;Suture van wond van coxofemorale gewrichtskapsel;112729008;hechting van wond van heup kapsel;112729008;hechting van wond van heup kapsel
112730003;reductie van een congenitale heupluxatie door abductie;112730003;Vermindering van aangeboren heup dislocatie van ontvoering;112730003;reductie , congenitale heup luxatie door abductie;112730003;reductie , congenitale heup luxatie door abduction
112731004;reductie van een congenitale heupluxatie door een spalk;112731004;Vermindering van aangeboren heup dislocatie door spalk;112731004;reductie , congenitale heup luxatie door spalk;112731004;reductie , congenitale heup luxatie door spalken
112732006;reductie van een congenitale heupluxatie door tractie;112732006;Vermindering van aangeboren heup dislocatie door tractie;112732006;reductie , congenitale heup luxatie door tractie;112732006;reductie , congenitale heup luxatie door tractie
112734007;excisie van de scapula als greffe;112734007;Excisie van schouderblad voor graft;112734007;excisie van de scapula en transplantaat;112734007;excisie van scapula en transplantaat
112737000;biopsie van radius en ulna;112737000;Biopsie van radius en ulna;112737000;biopsie van radius en ulna;112737000;biopsie van radius
112738005;arthroscopisch verwijderen van een vreemd voorwerp uit de schouder;112738005;Artroscopie van de schouder met het verwijderen van vreemd lichaam;112738005;artroscopie schouderstreek met vreemd lichaam verwijdering;112738005;artroscopie schouderstreek met vreemd lichaam verwijdering
112739002;beperkt arthroscopisch debridement van de elleboog;112739002;Artroscopie van de elleboog met beperkte debridement;112739002;artroscopie elleboog met beperkte wondtoilet;112739002;artroscopie elleboog met beperkte wondtoilet
112742008;clavicula osteotomie met inwendige fixatie;112742008;Osteotomie van sleutelbeen met interne fixatie;112742008;osteotomie sleutelbeen met inwendige fixatie;112742008;osteotomie van clavicula met inwendige fixatie
112745005;open reductie en inwendige fixatie van een radiusfractuur;112745005;Open reductie van fractuur van de radius met interne fixatie;112745005;open reductie van fractuur met inwendige fixatie;112745005;open reductie van fractuur met inwendige fixatie
112748007;excisie van een letsel van de fascia van de hand;112748007;Uitsnijden van letsel van fascia van de hand;112748007;excisie van fascia;112748007;excisie van fascia hand
112752007;arthroscopische fractuurbehandeling van de pols met interne fixatie;112752007;Artroscopie van de pols met interne fixatie op fracturen;112752007;artroscopie pols met inwendige fixatie voor fractuur;112752007;artroscopie pols met inwendige fixatie voor fractuur
112753002;kessler arthroplastie van het cmc gewricht;112753002;Kessler arthroplasty van carpometacarpale gewricht;112753002;kessler implantatie carpometacarpale gewricht;112753002;kessler implantatie carpometacarpale gewricht
112756005;hechting van een flexorpees van de hand;112756005;Suture van flexorpees van de hand;112756005;hechting van buigpees hand;112756005;herstel flexor pees van hand
112761007;incisie en drainage van deep ge ï nfecteerde bursa van de dij;112761007;Incisie en drainage van diepe ge ï nfecteerde bursa van de dij regio;112761007;drainage via de incisie van bursitis dij regio;112761007;drainage via de incisie van bursitis dij regio
112762000;open iliotibiale fasciotomie;112762000;Open iliotibiale fasciotomie;112762000;open iliotibial fasciotomie;112762000;open iliotibial fasciotomie
112763005;osteotomie van tibia en fibula;112763005;Osteotomie van scheenbeen en kuitbeen;112763005;osteotomie van tibia en fibula;112763005;osteotomie van tibia en fibula
112770005;excisie van de patella als greffe;112770005;Excisie van patella voor graft;112770005;excisie van en transplantaat;112770005;excisie van en transplantaat
112775000;osteoclasie van de tibia en fibula;112775000;Osteoclasis van scheenbeen en kuitbeen;112775000;osteoclasis van tibia en fibula;112775000;osteoclasis van tibia en fibula
112777008;gesloten reductie van een femurfractuur;112777008;Gesloten reductie van fractuur van femur;112777008;gesloten repositie van fractuur;112777008;gesloten repositie van fractuur
112786003;transvers midtarsale arthodese;112786003;Tarsale artrodese , dwars;112786003;middenvoetwortelbeentje ( fusie transversum;112786003;middenvoetwortelbeentje ( fusie transversum
112787007;correctie va metatarsus varus;112787007;Correctie van de middenvoet varus;112787007;herstel metatarsus;112787007;herstel varus
112789005;holle naaldbiopsie van de nasale sinus;112789005;Kern naald biopsie van nasale sinus;112789005;core biopsienaald sinusitis;112789005;core biopsienaald sinusitis
112790001;sinus endoscopie;112790001;Nasale sinus endoscopie;112790001;sinusitis endoscopie;112790001;sinusitis endoscopie
112792009;FESS met totale ethmoidectomie;112792009;Nasale endoscopie met een totale ethmoidectomy;112792009;rinoscopie met totale etmo ï dectomie;112792009;rinoscopie met volledig etmo ï dectomie
112793004;fistulisatie van de nasale sinus;112793004;Fistulization nasale sinus;112793004;fistelvorming sinusitis;112793004;fistelvorming sinusitis
112794005;herstellen orbitaal dak en sinus frontalis;112794005;Verhoging van de orbitale botfragmenten van voorhoofdsholte;112794005;impressiefractuur van os zygomaticum fragmentarische voorhoofdsholte;112794005;impressiefractuur van de jukboog fragmentarische voorhoofdsholte
112797003;laryngeale reinnervatie met een neuromusculaire steel;112797003;Laryngeal reinnervation door neuromusculaire vaatsteel;112797003;strottenhoofd reinnervation door neuromusculaire pedicle;112797003;strottenhoofd reinnervation door neuromusculaire pedicle
112798008;endotracheale intubatie;112798008;Het inbrengen van de endotracheale tube;112798008;endotracheale intubatie;112798008;endotracheale intubatie
112801002;sluiten van fistel van trachea met patch;112801002;Sluiting van tracheale fistel met plastic reparatie;112801002;tracheafistelherstel met plastische chirurgie;112801002;tracheafistelherstel met plastische chirurgie
112803004;aneurysmectomie;112803004;Aneurysmectomy;112803004;aneurysmectomie;112803004;aneurysmectomie
112809000;splitsen chordae tendinae;112809000;Afdeling peesdraden;112809000;verwijderen chordae tendineae;112809000;verwijderen chordae tendineae
112811009;atrioseptoplastie;112811009;Sluiting van atriumseptumdefect;112811009;atrium - septumdefectherstel;112811009;atrium - septumdefectherstel
112812002;doornemen van gemeenschappelijke wand tussen achterste linker atrium en sinus coronarius met bedekken van resulterend defect met patch;112812002;Verdeling van de gemeenschappelijke muur tussen posterior linkerboezem en coronaire sinus met overkapping van daaruit voortvloeiende gebrek en patch graft;112812002;divisio communis wand tussen posterior linker boezem en sinus coronarius met roofing van resultant defect en epicutane transplantaat;112812002;tenotomie communis wand tussen achterste linker atrium en coronaire sinus met roofing van resultant defect en epicutane transplantaat
112813007;re ï mplantatie van arteria pulmonalis voor hemitruncus herstel;112813007;Re ï mplantatie van longslagader voor hemitruncus reparatie;112813007;replantatie pulmonalis voor hemitruncus herstel;112813007;replantatie pulmonalis voor hemitruncus herstel
112814001;minimaal invasieve valvulotomie van aortaklep;112814001;Gesloten hart valvotomy van de aortaklep;112814001;gesloten hart valvotomy aortaklep;112814001;gesloten hart valvotomy aortaklepstenose
112816004;valvuloplastie van aortaklep;112816004;Valvuloplasty van aortaklep;112816004;aortaklepherstel;112816004;aortaklepherstel
112821001;trombectomie met catheter van aortoiliacala arterie via liesincisie;112821001;Thrombectomy met catheter van aortoiliacale slagader door been incisie;112821001;trombectomie met katheterisatie , aortoiliac arteria door been incisie;112821001;trombectomie met katheterisatie , aortoiliac arteria op been incisie
112823003;aanleggen van aorto - carotido - brachialis bypass;112823003;Oprichting van aorta - halsslagader - arm vasculaire bypass;112823003;shunt , aorta - - bypass;112823003;operatie van carotis - - bypass
112825005;intracraniale arteri ë ctomie met anastomose;112825005;Intracrani ë le arteriectomy met anastomose;112825005;intracraniale arteri ë ctomie met anastomose;112825005;intracraniale arteri ë ctomie met anastomose
112826006;excisie van intracraniale arterie;112826006;Excisie van intracrani ë le slagader;112826006;excisie van arteria cerebralis;112826006;excisie van arteria cerebralis
112827002;excisie van arterie van onderste lidmaat;112827002;Excisie van de onderste ledematen slagader;112827002;excisie van arterie van onderste extremiteit;112827002;excisie van arterie van onderste extremiteit
112828007;arteria femoralis communis naar arteria poplitea bypass greffe;112828007;Femorale - popliteale bypass;112828007;femoralis - poplitea arteria coronaris bypass;112828007;femoralis - poplitea arteria coronaris bypass
112831008;anastomoses van venen;112831008;Anastomose van aderen;112831008;anastomose van venen;112831008;anastomose , veneuze
112833006;behandeling van web - vormige contractuur van de huid;112833006;Vrijgave van web contractuur van de huid;112833006;release webachtige structuur in contractuur van huid;112833006;release webachtige structuur in contractuur van
112851007;totale wand excisie van de lip , reconstructie met lokale flap;112851007;Volledige dikte uitsnijding van de lip , de wederopbouw met lokale flap;112851007;brandwonden derde graad van de lip , reconstructieve met solitaire weefsellap;112851007;brandwonden derde graad van de lip , reconstructieve met solitaire weefsellap
112857006;sluiten van pharyngeale fistel;112857006;Sluiting van de keelholte fistel;112857006;farynxfistel herstel;112857006;farynxfistel herstel
112860004;hemi - gastrectomie langs abdominale weg;112860004;Hemigastrectomy door abdominale benadering;112860004;hemigastrectomie door ectopisch approach;112860004;hemigastrectomy door ectopisch approach
112861000;vervangen van maagsonde;112861000;Vervanging van neussonde;112861000;implantatie , nasogastrische;112861000;implantatie , nasogastrische
112868006;herinplanten van een ileostomie;112868006;Ileostoma transplantatie naar nieuwe site;112868006;ileostomie transplantaat van nieuwe plaats;112868006;ileostomie graft - nieuw plaatsen
112870002;flexibele sigmoiedoscopie voor verwijderen van een corpus alienum;112870002;Flexibele fiberoptische sigmo ï doscopie voor het verwijderen van vreemd lichaam;112870002;flexibele sigmo ï doscopie verwijdering van vreemd lichaam;112870002;flexibele sigmo ï doscopie verwijdering vreemd lichaam
112872005;hechten van de dikke darm;112872005;Suture van de dikke darm;112872005;hechting van dikke darm;112872005;hechting van dikke darm
112873000;herstel van een perineo - sigmoiedale fistel;112873000;Sluiting van perineosigmoidal fistel;112873000;herstel perineosigmoidal fistel;112873000;herstel perineosigmoidal fistel
112877004;abdominale rectopexie volgens Frickman;112877004;Frickman operatie , abdominale proctopexy;112877004;frickman chirurgie , abdominale rectopexie;112877004;frickman chirurgie , buik rectopexie
112881004;excisie van de glandula sublingualis;112881004;Excisie van ondertongspeekselklier;112881004;excisie van de sublinguale klier;112881004;excisie van de sublinguale klier
112883001;verwijderen van corpus alienum uit de lever;112883001;Verwijdering van vreemd lichaam uit de lever;112883001;verwijdering van lever;112883001;verwijdering van lever
112884007;cholecystoduodenostomie;112884007;cholecystoduodenostomie;112884007;cholecystoduodenostomy;112884007;cholecystoduodenostomy
112886009;endoscopisch plaatsen van een stent in de Wirsung;112886009;Endoscopische plaatsing van stent in alvleesklierbuis;112886009;endoscopie van arteriestentplaatsing naar ductus pancreaticus;112886009;endoscopische van stent naar ductus pancreaticus
112890006;linguale thyroidectomie via transorale route;112890006;Lingual thyroidectomy door transoral route;112890006;tong thyro ï dectomie door transoral toediening;112890006;tong thyro ï dectomie door transoral toediening
112891005;autotransplantatie van schildklierweefsel;112891005;Autotransplantatie van de schildklier weefsel;112891005;autotransplantaat van schildklier;112891005;autograft van schildklier
112892003;radicale excisie van iliacale lymfeklieren;112892003;Radicale excisie van iliacale lymfeknopen;112892003;excisie nodi lymphatici iliaci;112892003;excisie iliaca lymfeknopen
112896000;vervangen van mechanische nier;112896000;Vervanging van mechanische nier;112896000;vervanging mechanische nier;112896000;vervanging mechanische nier
112898004;sluiten pyelostomie;112898004;Sluiting van renale pyelostomy;112898004;herstel van pyelostomy;112898004;herstel van pyelostomy
112902005;parti ë le cystectomie;112902005;Gedeeltelijke urine cystectomy;112902005;parti ë le cystectomie;112902005;parti ë le cystectomie
112903000;excisie perivesicaal weefsel;112903000;Excisie van perivesicaal weefsel;112903000;excisie van perivesical weefsel;112903000;excisie van perivesical weefsel
112905007;Herstel van urothrovaginale fistel;112905007;Reparatie van urethrovaginal fistel;112905007;herstel van fistel;112905007;herstel van fistel
112907004;passen externe penisprothese;112907004;Montage van de externe prothese - inrichting op de penis;112907004;aanmeten uitwendige prothesen van penis;112907004;aanmeten uitwendige implantatie van penis
112908009;hechten laceratie penis;112908009;Suture van scheur van de penis;112908009;hechting van penislaceratie;112908009;hechting penislaceratie
112920001;incisiebiopsie van het uteriene ligament;112920001;Incisiebiopsie van de baarmoeder ligament;112920001;incisie biopsie uterus ligament;112920001;incisie biopsie uterus ligament
112922009;cauterisatie van uterus;112922009;Cauterisatie van baarmoeder;112922009;cauterisatie van de uterus;112922009;cauterisatie van de uterus
112923004;transsectie van eileider - vaginale procedure;112923004;Doorsnijding van de eileider door vaginale benadering;112923004;vagotomie eileider door vaginale approach;112923004;vagotomie eileider door vaginale approach
112926007;Herstel van obstetrische vaginale laceratie;112926007;Suture van verloskundige scheuren van de vagina;112926007;hechting van obstetrische vagina;112926007;hechting van bevalling vagina
112927003;manuele rotatie van foetaal hoofd;112927003;Handmatige rotatie van foetale hoofd;112927003;manueel spildraai van foetaal hoofd;112927003;manual spildraai van foetaal hoofd
112928008;manoeuver van Cr é d é;112928008;Crede manoeuvre;112928008;crede maneuver;112928008;crede maneuver
112929000;supratentori ë le craniotomie;112929000;Verkennende craniotomy , supratentori ë le;112929000;exploratieve craniotomie , supratentorieel;112929000;exploratieve craniotomie , supratentorieel
112932002;drainage van de intracrani ë le ruimte door aspiratie;112932002;Drainage van intracrani ë le ruimte door aspiratie;112932002;drainage van proces ruimte door aspiratie;112932002;drainage proces ruimte door aspiratie
112936004;re ï mplantatie van Holterklep;112936004;herintegratie van holter klep in de hersenen;112936004;replantatie , klepplaatsing naar hersenen;112936004;replantatie , klepplaatsing naar hersenen
112946002;hypogastische plexectomie;112946002;hypogastric plexectomy;112946002;hypogastricus plexectomie;112946002;hypogastrische plexectomy
112950009;implantatie van zenuweinde in spier;112950009;Implantatie van zenuwuiteinde in de spier;112950009;implantatie van nervus deel naar spier;112950009;implantatie van nervus deel naar spier
112955004;Incisie ooglidrand;112955004;Insnijding van ooglidrand;112955004;incisie van margo;112955004;incisie van rand
112957007;parti ë le conjunctivale flap;112957007;Conjunctivale flap , gedeeltelijke;112957007;conjunctiva weefsellap , partieel;112957007;conjunctiva weefsellap , partieel
112958002;ptosisherstel met transplantatie m . rectus superior;112958002;Reparatie van blepharoptosis door een superieure rectus pees transplantatie;112958002;ptoseherstel door superior rectus pees transplantatie;112958002;ptoseherstel door superior rectus pees transplantaat
112960000;conjunctivoplastie met greffe met herstel van de fornix;112960000;Reconstructie van conjunctivale cul - de - sac met graft;112960000;reconstructie van conjunctiva cavum douglasi met transplantaat;112960000;reconstructie van conjunctiva cavum douglasi met transplantaat
112961001;cryocoagulatie wimpers;112961001;Cryochirurgie epileren ooglid;112961001;cryosurgical ontharing ooglid;112961001;cryosurgical ontharing ooglid
112963003;aspiratie van cataract;112963003;Aspiratie van cataract;112963003;aspiratie van cataract;112963003;aspiratie van cataract
112964009;extractie van een cataract door middel van rotoextractie met aspiratie;112964009;Extractie van cataract door rotoextraction met aspiratie;112964009;cataractextractie door rotoextraction met aspiratie;112964009;cataractextractie door rotoextraction met aspiratie
112967002;incisie van posterieur oogsegment;112967002;Insnijding van de achterste segment van het oog;112967002;van achterste oogsegment;112967002;van achterste oogsegment
112970003;destructie choroidaal letsel met xenon fotocoagulatie;112970003;Vernietiging van letsel van choroidea door xenon arc lichtcoagulatie;112970003;cryochirurgie van choroidea door xenon related lichtcoagulatie;112970003;cryochirurgie van choroidea door xenon lymfadenopathie lichtcoagulatie
112971004;ooramputatie;112971004;Excisie van uitwendige oor , volledige amputatie;112971004;excisie van uitwendig oor , volledig amputatie;112971004;excisie van uitwendig oor , volledig amputatie
